<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7249,EWEIN,D,20080328,0.4307,0.5201,0.4307,0.4953,16929922,0
7249,EWEIN,D,20080331,0.4953,0.5367,0.4953,0.5102,7895945,0
7249,EWEIN,D,20080401,0.5135,0.5466,0.5135,0.5433,10643510,0
7249,EWEIN,D,20080402,0.5532,0.5565,0.5400,0.5499,6758538,0
7249,EWEIN,D,20080403,0.5499,0.5565,0.5135,0.5135,4166240,0
7249,EWEIN,D,20080404,0.5234,0.5300,0.5135,0.5300,2915396,0
7249,EWEIN,D,20080407,0.5300,0.5466,0.5267,0.5300,3397283,0
7249,EWEIN,D,20080408,0.5300,0.5367,0.5035,0.5035,3084475,0
7249,EWEIN,D,20080409,0.5102,0.5135,0.4919,0.4969,3328748,0
7249,EWEIN,D,20080410,0.5002,0.5002,0.4803,0.4969,1259776,0
7249,EWEIN,D,20080411,0.4953,0.4969,0.4770,0.4837,873336,0
7249,EWEIN,D,20080414,0.4803,0.4803,0.4638,0.4638,1242728,0
7249,EWEIN,D,20080415,0.4704,0.4704,0.4588,0.4671,888183,0
7249,EWEIN,D,20080416,0.4671,0.4704,0.4588,0.4638,710241,0
7249,EWEIN,D,20080417,0.4654,0.4704,0.4472,0.4472,1468610,0
7249,EWEIN,D,20080418,0.4472,0.4638,0.4456,0.4638,985605,0
7249,EWEIN,D,20080421,0.4621,0.4704,0.4538,0.4572,978825,0
7249,EWEIN,D,20080422,0.4572,0.4621,0.4489,0.4555,951254,0
7249,EWEIN,D,20080423,0.4555,0.4572,0.4489,0.4538,1269399,0
7249,EWEIN,D,20080424,0.4555,0.4555,0.4456,0.4538,703518,0
7249,EWEIN,D,20080425,0.4505,0.4522,0.4456,0.4505,607012,0
7249,EWEIN,D,20080428,0.4489,0.4505,0.4423,0.4472,852999,0
7249,EWEIN,D,20080429,0.4489,0.4489,0.4373,0.4456,858150,0
7249,EWEIN,D,20080430,0.4472,0.4472,0.4373,0.4439,896183,0
7249,EWEIN,D,20080502,0.4456,0.4472,0.4389,0.4472,883789,0
7249,EWEIN,D,20080505,0.4456,0.4472,0.4389,0.4439,942354,0
7249,EWEIN,D,20080506,0.4439,0.4439,0.4356,0.4423,335508,0
7249,EWEIN,D,20080507,0.4423,0.4423,0.4323,0.4356,394752,0
7249,EWEIN,D,20080508,0.4406,0.4538,0.4373,0.4538,1034190,0
7249,EWEIN,D,20080509,0.4538,0.4704,0.4538,0.4605,544468,0
7249,EWEIN,D,20080512,0.4605,0.4671,0.4572,0.4638,328535,0
7249,EWEIN,D,20080513,0.4638,0.4671,0.4572,0.4671,347753,0
7249,EWEIN,D,20080514,0.4638,0.4704,0.4555,0.4555,504825,0
7249,EWEIN,D,20080515,0.4621,0.4621,0.4505,0.4555,567256,0
7249,EWEIN,D,20080516,0.4605,0.4605,0.4505,0.4522,285406,0
7249,EWEIN,D,20080520,0.4505,0.4572,0.4423,0.4472,496062,0
7249,EWEIN,D,20080521,0.4439,0.4472,0.4356,0.4406,595849,0
7249,EWEIN,D,20080522,0.4389,0.4423,0.4307,0.4356,731321,0
7249,EWEIN,D,20080523,0.4373,0.4406,0.4340,0.4373,613382,0
7249,EWEIN,D,20080526,0.4373,0.4423,0.4307,0.4423,603046,0
7249,EWEIN,D,20080527,0.4423,0.4423,0.4356,0.4406,512208,0
7249,EWEIN,D,20080528,0.4439,0.4439,0.4356,0.4406,440811,0
7249,EWEIN,D,20080529,0.4423,0.4472,0.4356,0.4472,646971,0
7249,EWEIN,D,20080530,0.4439,0.4472,0.4389,0.4472,510317,0
7249,EWEIN,D,20080602,0.4423,0.4472,0.4340,0.4439,627290,0
7249,EWEIN,D,20080603,0.4406,0.4406,0.4356,0.4406,476604,0
7249,EWEIN,D,20080604,0.4406,0.4406,0.4307,0.4356,496714,0
7249,EWEIN,D,20080605,0.4340,0.4373,0.4307,0.4356,919904,0
7249,EWEIN,D,20080606,0.4356,0.4406,0.4307,0.4356,572671,0
