<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5222,FGV,D,20120628,5.3900,5.4600,5.2400,5.3000,261577400,0
5222,FGV,D,20120629,5.2700,5.3500,5.2500,5.3200,38187600,0
5222,FGV,D,20120702,5.3500,5.4000,5.3300,5.3900,27731500,0
5222,FGV,D,20120703,5.4100,5.4800,5.3900,5.4600,38814900,0
5222,FGV,D,20120704,5.4900,5.5200,5.4700,5.5000,29902600,0
5222,FGV,D,20120705,5.5100,5.5500,5.4800,5.4800,15084000,0
5222,FGV,D,20120706,5.4800,5.4900,5.3800,5.4400,15789300,0
5222,FGV,D,20120709,5.4200,5.4200,5.3500,5.3700,12882700,0
5222,FGV,D,20120710,5.3700,5.4200,5.3400,5.4200,23260000,0
5222,FGV,D,20120711,5.4000,5.5000,5.4000,5.5000,83489200,0
5222,FGV,D,20120712,5.4800,5.4800,5.3300,5.3400,10844800,0
5222,FGV,D,20120713,5.3500,5.3800,5.3300,5.3500,8554800,0
5222,FGV,D,20120716,5.3500,5.3500,5.3000,5.3100,14072600,0
5222,FGV,D,20120717,5.3200,5.4000,5.3100,5.3900,12258500,0
5222,FGV,D,20120718,5.4000,5.4000,5.3200,5.3300,3498100,0
5222,FGV,D,20120719,5.3400,5.3900,5.3100,5.3200,11659700,0
5222,FGV,D,20120720,5.3100,5.3400,5.3100,5.3400,2578900,0
5222,FGV,D,20120723,5.3200,5.3200,5.3000,5.3000,3504500,0
5222,FGV,D,20120724,5.2800,5.3100,5.2700,5.3000,8363800,0
5222,FGV,D,20120725,5.2700,5.2900,5.2400,5.2500,8543600,0
5222,FGV,D,20120726,5.2500,5.2500,5.1600,5.1900,13869300,0
5222,FGV,D,20120727,5.1800,5.1900,5.1200,5.1500,8830300,0
5222,FGV,D,20120730,5.1000,5.1600,5.1000,5.1500,8712800,0
5222,FGV,D,20120731,5.1300,5.1700,5.1300,5.1500,8520400,0
5222,FGV,D,20120801,5.1400,5.1500,5.1100,5.1200,11288400,0
5222,FGV,D,20120802,5.1100,5.1100,4.9900,5.0500,17091600,0
5222,FGV,D,20120803,5.0300,5.0600,4.9900,5.0500,9720500,0
5222,FGV,D,20120806,5.0400,5.0700,5.0400,5.0600,2734200,0
5222,FGV,D,20120807,5.0700,5.1300,5.0700,5.0900,6166200,0
5222,FGV,D,20120808,5.1100,5.1400,5.1100,5.1400,7725300,0
5222,FGV,D,20120809,5.1300,5.1300,5.1100,5.1300,4768200,0
5222,FGV,D,20120810,5.1100,5.1300,5.1000,5.1200,2427400,0
5222,FGV,D,20120813,5.1000,5.1300,5.0800,5.0900,3316100,0
5222,FGV,D,20120814,5.0900,5.0900,5.0500,5.0800,3466700,0
5222,FGV,D,20120815,5.0600,5.0600,5.0300,5.0500,3627500,0
5222,FGV,D,20120816,5.0500,5.0500,5.0100,5.0300,3280400,0
5222,FGV,D,20120817,5.0100,5.0300,5.0100,5.0200,2369000,0
5222,FGV,D,20120822,5.0400,5.0500,5.0200,5.0200,3171100,0
5222,FGV,D,20120823,5.0200,5.0500,5.0200,5.0400,3743000,0
5222,FGV,D,20120824,5.0300,5.0500,5.0100,5.0300,1976700,0
5222,FGV,D,20120827,5.0200,5.0400,5.0200,5.0200,3537900,0
5222,FGV,D,20120828,5.0200,5.0300,5.0000,5.0200,3301900,0
5222,FGV,D,20120829,5.0300,5.0300,4.9800,5.0000,8200400,0
5222,FGV,D,20120830,5.0000,5.0000,4.9900,5.0000,8090300,0
5222,FGV,D,20120903,5.0000,5.0100,4.9800,5.0000,6473700,0
5222,FGV,D,20120904,5.0000,5.0000,4.9800,5.0000,5952200,0
