<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0157,FOCUSP,D,20100727,0.1950,0.1950,0.1950,0.1950,0,0
0157,FOCUSP,D,20100823,0.2000,0.2075,0.1800,0.1800,18509800,0
0157,FOCUSP,D,20100824,0.1800,0.1900,0.1775,0.1875,2444400,0
0157,FOCUSP,D,20100825,0.1850,0.1900,0.1850,0.1850,1223600,0
0157,FOCUSP,D,20100826,0.1825,0.1850,0.1800,0.1800,1558400,0
0157,FOCUSP,D,20100827,0.1800,0.1800,0.1625,0.1800,3233400,0
0157,FOCUSP,D,20100830,0.1775,0.1775,0.1675,0.1675,558600,0
0157,FOCUSP,D,20100901,0.1650,0.1800,0.1600,0.1800,707400,0
0157,FOCUSP,D,20100902,0.1750,0.1775,0.1725,0.1725,502400,0
0157,FOCUSP,D,20100903,0.1725,0.1725,0.1650,0.1650,2140000,0
0157,FOCUSP,D,20100906,0.1675,0.1700,0.1650,0.1700,216000,0
0157,FOCUSP,D,20100907,0.1700,0.1700,0.1675,0.1700,305000,0
0157,FOCUSP,D,20100908,0.1675,0.1675,0.1650,0.1650,616000,0
0157,FOCUSP,D,20100909,0.1650,0.1675,0.1650,0.1675,401600,0
0157,FOCUSP,D,20100913,0.1675,0.1775,0.1675,0.1725,340000,0
0157,FOCUSP,D,20100914,0.1725,0.1725,0.1725,0.1725,80000,0
0157,FOCUSP,D,20100915,0.1725,0.1725,0.1725,0.1725,110000,0
0157,FOCUSP,D,20100917,0.1725,0.1725,0.1700,0.1700,237400,0
0157,FOCUSP,D,20100920,0.1700,0.1700,0.1675,0.1700,57000,0
0157,FOCUSP,D,20100921,0.1675,0.1725,0.1675,0.1725,109800,0
0157,FOCUSP,D,20100922,0.1675,0.1725,0.1675,0.1725,45000,0
0157,FOCUSP,D,20100923,0.1700,0.1700,0.1700,0.1700,40000,0
0157,FOCUSP,D,20100924,0.1700,0.1700,0.1700,0.1700,94400,0
0157,FOCUSP,D,20100927,0.1775,0.1775,0.1700,0.1725,172400,0
0157,FOCUSP,D,20100928,0.1725,0.1775,0.1725,0.1775,190000,0
0157,FOCUSP,D,20100929,0.1775,0.1800,0.1775,0.1800,52200,0
0157,FOCUSP,D,20100930,0.1750,0.1750,0.1750,0.1750,20000,0
0157,FOCUSP,D,20101001,0.1750,0.1750,0.1725,0.1725,60000,0
0157,FOCUSP,D,20101004,0.1725,0.1725,0.1700,0.1725,106000,0
0157,FOCUSP,D,20101005,0.1675,0.1725,0.1675,0.1725,154000,0
0157,FOCUSP,D,20101006,0.1700,0.1700,0.1700,0.1700,40000,0
0157,FOCUSP,D,20101007,0.1700,0.1700,0.1675,0.1700,62000,0
0157,FOCUSP,D,20101008,0.1675,0.1700,0.1675,0.1700,30000,0
0157,FOCUSP,D,20101011,0.1650,0.1700,0.1650,0.1675,113600,0
0157,FOCUSP,D,20101012,0.1700,0.1725,0.1700,0.1700,56000,0
0157,FOCUSP,D,20101013,0.1700,0.1700,0.1650,0.1700,220000,0
0157,FOCUSP,D,20101014,0.1700,0.1700,0.1675,0.1700,170000,0
0157,FOCUSP,D,20101015,0.1650,0.1700,0.1650,0.1700,126400,0
0157,FOCUSP,D,20101018,0.1700,0.1700,0.1675,0.1700,74000,0
0157,FOCUSP,D,20101019,0.1675,0.1700,0.1650,0.1675,542000,0
0157,FOCUSP,D,20101020,0.1650,0.1700,0.1650,0.1700,104000,0
0157,FOCUSP,D,20101021,0.1675,0.1700,0.1675,0.1700,250000,0
0157,FOCUSP,D,20101022,0.1700,0.1725,0.1700,0.1725,42000,0
0157,FOCUSP,D,20101025,0.1700,0.1700,0.1675,0.1675,352000,0
0157,FOCUSP,D,20101026,0.1650,0.1675,0.1650,0.1675,219600,0
0157,FOCUSP,D,20101027,0.1675,0.1675,0.1675,0.1675,432000,0
0157,FOCUSP,D,20101028,0.1675,0.1675,0.1675,0.1675,272000,0
0157,FOCUSP,D,20101029,0.1675,0.1700,0.1675,0.1675,108000,0
0157,FOCUSP,D,20101101,0.1675,0.1675,0.1675,0.1675,624000,0
0157,FOCUSP,D,20101102,0.1675,0.1675,0.1675,0.1675,226000,0
0157,FOCUSP,D,20101103,0.1675,0.1675,0.1675,0.1675,156000,0
0157,FOCUSP,D,20101104,0.1675,0.1700,0.1675,0.1700,311800,0
0157,FOCUSP,D,20101108,0.1675,0.1725,0.1675,0.1725,904400,0
