<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5277,FPGROUP,D,20161229,0.4357,0.4857,0.4357,0.4714,73256680,0
5277,FPGROUP,D,20161230,0.4750,0.4929,0.4679,0.4786,19640180,0
5277,FPGROUP,D,20170103,0.4786,0.4857,0.4750,0.4786,8061760,0
5277,FPGROUP,D,20170104,0.4750,0.4786,0.4679,0.4786,9973880,0
5277,FPGROUP,D,20170105,0.4750,0.4786,0.4714,0.4714,5497800,0
5277,FPGROUP,D,20170106,0.4714,0.5000,0.4714,0.4857,26652220,0
5277,FPGROUP,D,20170109,0.4857,0.4964,0.4786,0.4821,7789040,0
5277,FPGROUP,D,20170110,0.4786,0.4893,0.4786,0.4857,3706500,0
5277,FPGROUP,D,20170111,0.4821,0.4929,0.4786,0.4821,6342280,0
5277,FPGROUP,D,20170112,0.4821,0.5143,0.4821,0.5107,26851720,0
5277,FPGROUP,D,20170113,0.5107,0.5214,0.5036,0.5143,16743300,0
5277,FPGROUP,D,20170116,0.5143,0.5393,0.5143,0.5286,17954720,0
5277,FPGROUP,D,20170117,0.5321,0.5393,0.5179,0.5286,19353320,0
5277,FPGROUP,D,20170118,0.5286,0.5286,0.5071,0.5143,12114620,0
5277,FPGROUP,D,20170119,0.5143,0.5179,0.5036,0.5143,4377660,0
5277,FPGROUP,D,20170120,0.5143,0.5143,0.5036,0.5107,6854400,0
5277,FPGROUP,D,20170123,0.5071,0.5143,0.5036,0.5143,7174160,0
5277,FPGROUP,D,20170124,0.5107,0.5250,0.5071,0.5250,7199360,0
5277,FPGROUP,D,20170125,0.5250,0.5286,0.5179,0.5250,1784860,0
5277,FPGROUP,D,20170126,0.5214,0.5250,0.5143,0.5214,2589160,0
5277,FPGROUP,D,20170127,0.5179,0.5250,0.5179,0.5214,1907500,0
5277,FPGROUP,D,20170131,0.5214,0.5250,0.5179,0.5214,2158520,0
5277,FPGROUP,D,20170202,0.5214,0.5464,0.5179,0.5393,7845180,0
5277,FPGROUP,D,20170203,0.5357,0.5393,0.5321,0.5393,5983040,0
5277,FPGROUP,D,20170206,0.5393,0.5536,0.5357,0.5500,9630320,0
5277,FPGROUP,D,20170207,0.5464,0.5500,0.5357,0.5357,5553800,0
5277,FPGROUP,D,20170208,0.5393,0.5464,0.5357,0.5429,6051360,0
5277,FPGROUP,D,20170210,0.5393,0.5464,0.5393,0.5393,3594080,0
5277,FPGROUP,D,20170213,0.5393,0.5500,0.5393,0.5500,5416880,0
5277,FPGROUP,D,20170214,0.5500,0.5679,0.5464,0.5643,8855560,0
5277,FPGROUP,D,20170215,0.5714,0.5786,0.5643,0.5714,10776220,0
5277,FPGROUP,D,20170216,0.5679,0.5750,0.5607,0.5714,7255080,0
5277,FPGROUP,D,20170217,0.5714,0.5750,0.5607,0.5679,4610900,0
5277,FPGROUP,D,20170220,0.5643,0.5679,0.5607,0.5643,3257940,0
5277,FPGROUP,D,20170221,0.5643,0.5679,0.5571,0.5643,7599200,0
5277,FPGROUP,D,20170222,0.5607,0.5679,0.5571,0.5607,5974080,0
5277,FPGROUP,D,20170223,0.5536,0.5536,0.5321,0.5393,9104200,0
5277,FPGROUP,D,20170224,0.5393,0.5429,0.5214,0.5250,4768540,0
5277,FPGROUP,D,20170227,0.5286,0.5357,0.5286,0.5357,2265620,0
5277,FPGROUP,D,20170228,0.5357,0.5357,0.5179,0.5286,2005220,0
5277,FPGROUP,D,20170301,0.5286,0.5286,0.5071,0.5179,5159980,0
5277,FPGROUP,D,20170302,0.5214,0.5321,0.5214,0.5286,2954000,0
5277,FPGROUP,D,20170303,0.5286,0.5286,0.5143,0.5214,2314900,0
5277,FPGROUP,D,20170306,0.5214,0.5250,0.5071,0.5143,3523520,0
