<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0128,FRONTKN,D,20081118,0.1971,0.1971,0.1710,0.1757,198831,0
0128,FRONTKN,D,20081119,0.1805,0.1924,0.1733,0.1924,121634,0
0128,FRONTKN,D,20081120,0.1876,0.1876,0.1686,0.1757,410055,0
0128,FRONTKN,D,20081121,0.1757,0.1852,0.1757,0.1829,188169,0
0128,FRONTKN,D,20081124,0.1757,0.1805,0.1590,0.1590,54883,0
0128,FRONTKN,D,20081125,0.1686,0.1757,0.1543,0.1686,300858,0
0128,FRONTKN,D,20081126,0.1638,0.1638,0.1614,0.1638,202735,0
0128,FRONTKN,D,20081127,0.1638,0.1638,0.1638,0.1638,18314,0
0128,FRONTKN,D,20081128,0.1638,0.1686,0.1448,0.1638,252916,0
0128,FRONTKN,D,20081201,0.1590,0.1590,0.1590,0.1590,41937,0
0128,FRONTKN,D,20081202,0.1495,0.1590,0.1495,0.1590,96455,0
0128,FRONTKN,D,20081203,0.1519,0.1638,0.1424,0.1638,156584,0
0128,FRONTKN,D,20081204,0.1424,0.1638,0.1376,0.1471,303464,0
0128,FRONTKN,D,20081205,0.1400,0.2067,0.1162,0.1567,3764729,0
0128,FRONTKN,D,20081209,0.1352,0.1543,0.1257,0.1543,207615,0
0128,FRONTKN,D,20081210,0.1305,0.1471,0.1257,0.1448,206366,0
0128,FRONTKN,D,20081211,0.1352,0.1400,0.1281,0.1352,343927,0
0128,FRONTKN,D,20081212,0.1305,0.1400,0.1305,0.1400,102143,0
0128,FRONTKN,D,20081215,0.1352,0.1400,0.1281,0.1305,153538,0
0128,FRONTKN,D,20081216,0.1305,0.1305,0.1257,0.1305,56585,0
0128,FRONTKN,D,20081217,0.1281,0.1305,0.1233,0.1305,70511,0
0128,FRONTKN,D,20081218,0.1281,0.1329,0.1281,0.1329,155656,0
0128,FRONTKN,D,20081219,0.1281,0.1329,0.1257,0.1305,311658,0
0128,FRONTKN,D,20081222,0.1329,0.1329,0.1329,0.1329,17688,0
0128,FRONTKN,D,20081223,0.1329,0.1376,0.1329,0.1376,83673,0
0128,FRONTKN,D,20081224,0.1376,0.1376,0.1376,0.1376,0,0
0128,FRONTKN,D,20081226,0.1376,0.1376,0.1329,0.1376,56079,0
0128,FRONTKN,D,20081230,0.1329,0.1329,0.1329,0.1329,35376,0
0128,FRONTKN,D,20081231,0.1352,0.1352,0.1281,0.1352,27507,0
0128,FRONTKN,D,20090102,0.1376,0.1376,0.1376,0.1376,17803,0
0128,FRONTKN,D,20090105,0.1376,0.1400,0.1352,0.1376,63200,0
0128,FRONTKN,D,20090106,0.1376,0.1400,0.1305,0.1376,76018,0
0128,FRONTKN,D,20090107,0.1305,0.1352,0.1281,0.1352,115530,0
0128,FRONTKN,D,20090108,0.1352,0.1352,0.1352,0.1352,0,0
