<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
9261,GADANG,D,19940803,2.4223,2.5811,2.3825,2.4024,1820742,0
9261,GADANG,D,19940902,2.4223,2.5811,2.2436,2.3428,2314332,0
9261,GADANG,D,19940905,2.3428,2.3627,2.2039,2.2237,292125,0
9261,GADANG,D,19940906,2.2039,2.2833,2.2039,2.2436,236722,0
9261,GADANG,D,19940907,2.2634,2.4620,2.2634,2.4223,639652,0
9261,GADANG,D,19940908,2.4223,3.5738,2.4223,3.4944,5769460,0
9261,GADANG,D,19940909,3.6135,3.7724,3.2959,3.3753,5192766,0
9261,GADANG,D,19940912,3.5143,3.5143,3.3554,3.3554,1168498,0
9261,GADANG,D,19940913,3.3554,3.4944,3.2561,3.4348,924222,0
9261,GADANG,D,19940914,3.4745,4.0503,3.4348,4.0106,5172619,0
9261,GADANG,D,19940915,4.0503,4.1297,3.8716,3.8915,3110119,0
9261,GADANG,D,19940916,3.9709,3.9709,3.8319,3.9312,1425366,0
9261,GADANG,D,19940919,3.9312,3.9709,3.8319,3.8319,1183608,0
9261,GADANG,D,19940920,3.9312,3.9312,3.7922,3.7922,1266712,0
9261,GADANG,D,19940921,3.8121,3.8121,3.6532,3.6731,1163462,0
9261,GADANG,D,19940922,3.6929,3.9113,3.6334,3.6532,1211310,0
9261,GADANG,D,19940923,3.7327,3.7327,3.5738,3.5738,501145,0
9261,GADANG,D,19940926,3.5738,3.6532,3.3753,3.3951,1188645,0
9261,GADANG,D,19940927,3.4547,3.5341,3.2561,3.2561,1007326,0
9261,GADANG,D,19940928,3.3753,3.5937,3.2760,3.3356,1775412,0
9261,GADANG,D,19940929,3.3753,3.4547,3.2164,3.2959,780678,0
9261,GADANG,D,19940930,3.2959,3.3356,3.0377,3.2959,1077839,0
9261,GADANG,D,19941003,3.3356,3.3753,3.1767,3.1767,647207,0
9261,GADANG,D,19941004,3.1767,3.2164,3.0179,3.0377,1007326,0
9261,GADANG,D,19941005,3.0973,3.3753,3.0973,3.2561,1246566,0
9261,GADANG,D,19941006,3.3356,3.3356,3.1767,3.1767,853709,0
9261,GADANG,D,19941007,3.1767,3.2164,3.0377,3.0576,773123,0
9261,GADANG,D,19941010,3.0576,3.0973,2.8789,2.9782,974588,0
9261,GADANG,D,19941011,2.9782,3.1767,2.9782,3.0973,800824,0
9261,GADANG,D,19941012,3.2164,3.2561,3.0179,3.0775,700092,0
9261,GADANG,D,19941013,3.1172,3.1172,3.0179,3.0576,324863,0
9261,GADANG,D,19941014,3.0576,3.1767,3.0179,3.0576,526328,0
9261,GADANG,D,19941017,3.0576,3.0973,2.9980,3.0179,397894,0
9261,GADANG,D,19941018,2.9782,3.0179,2.9186,2.9385,347527,0
9261,GADANG,D,19941019,2.9385,3.0775,2.9186,2.9385,611951,0
9261,GADANG,D,19941020,2.9782,2.9782,2.8193,2.8789,324863,0
9261,GADANG,D,19941021,2.8591,3.0775,2.8392,2.9782,800824,0
9261,GADANG,D,19941024,2.9782,2.9782,2.8392,2.8789,221612,0
9261,GADANG,D,19941025,2.8789,2.9186,2.8392,2.8988,425595,0
9261,GADANG,D,19941026,2.9385,2.9385,2.8193,2.8193,214057,0
9261,GADANG,D,19941027,2.8591,2.8789,2.7399,2.7399,191392,0
9261,GADANG,D,19941028,2.7796,2.8193,2.6605,2.7002,337454,0
9261,GADANG,D,19941031,2.7995,2.7995,2.4818,2.5414,337454,0
9261,GADANG,D,19941101,2.5414,2.5414,2.3825,2.5017,345009,0
9261,GADANG,D,19941103,2.5017,2.5017,2.3428,2.3428,251832,0
9261,GADANG,D,19941104,2.3825,2.5017,2.3825,2.5017,173764,0
9261,GADANG,D,19941107,2.5017,2.5017,2.2634,2.2634,156136,0
9261,GADANG,D,19941108,2.4024,2.4024,2.2237,2.2833,342491,0
9261,GADANG,D,19941109,2.2833,2.2833,2.2436,2.2634,236722,0
9261,GADANG,D,19941110,2.2634,2.2634,2.2237,2.2237,178800,0
9261,GADANG,D,19941111,2.2237,2.2833,2.2237,2.2634,226648,0
9261,GADANG,D,19941114,2.2634,2.4421,2.2634,2.4421,173764,0
