<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5398,GAMUDA,D,19940103,1.4865,1.4865,1.4865,1.4865,116396,0
5398,GAMUDA,D,19940104,1.4803,1.4865,1.4803,1.4865,522362,0
5398,GAMUDA,D,19940105,1.4927,1.5237,1.4865,1.5175,1036719,0
5398,GAMUDA,D,19940106,1.5113,1.5113,1.4865,1.4865,1050403,0
5398,GAMUDA,D,19940107,1.4865,1.4865,1.4865,1.4865,59617,0
5398,GAMUDA,D,19940110,1.4865,1.4865,1.4865,1.4865,465584,0
5398,GAMUDA,D,19940111,1.4803,1.4803,1.4803,1.4803,25475,0
5398,GAMUDA,D,19940112,1.3108,1.3604,1.2984,1.2984,104521,0
5398,GAMUDA,D,19940113,1.3108,1.3170,1.2922,1.3067,2525321,0
5398,GAMUDA,D,19940114,1.3418,1.3542,1.3418,1.3418,760769,0
5398,GAMUDA,D,19940117,1.3356,1.3418,1.3356,1.3356,574872,0
5398,GAMUDA,D,19940118,1.3294,1.3687,1.3294,1.3356,820500,0
5398,GAMUDA,D,19940119,1.3356,1.3356,1.3108,1.3294,119723,0
5398,GAMUDA,D,19940120,1.3253,1.3294,1.3170,1.3170,312377,0
5398,GAMUDA,D,19940121,1.2984,1.3170,1.2984,1.2984,96873,0
5398,GAMUDA,D,19940124,1.2984,1.2984,1.2674,1.2674,47373,0
5398,GAMUDA,D,19940125,1.2736,1.2736,1.2674,1.2736,247967,0
5398,GAMUDA,D,19940126,1.2674,1.2736,1.2612,1.2736,1079533,0
5398,GAMUDA,D,19940127,1.3294,1.3542,1.3294,1.3542,50229,0
5398,GAMUDA,D,19940131,1.3604,1.3604,1.3604,1.3604,5307,0
5398,GAMUDA,D,19940202,1.3790,1.4038,1.3790,1.4038,228579,0
5398,GAMUDA,D,19940203,1.4183,1.4369,1.4183,1.4224,623992,0
5398,GAMUDA,D,19940204,1.4224,1.4224,1.3997,1.4038,590495,0
5398,GAMUDA,D,19940207,1.3852,1.3852,1.3687,1.3749,192716,0
5398,GAMUDA,D,19940208,1.3852,1.3852,1.3852,1.3852,37698,0
5398,GAMUDA,D,19940214,1.3852,1.3852,1.3852,1.3852,37698,0
5398,GAMUDA,D,19940215,1.3749,1.3749,1.3749,1.3749,5353,0
5398,GAMUDA,D,19940218,1.3749,1.3749,1.3749,1.3749,155244,0
