<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5226,GBGAQRS,D,20120731,1.1528,1.1993,1.1196,1.1993,38123942,0
5226,GBGAQRS,D,20120801,1.1927,1.1927,1.1595,1.1727,1723103,0
5226,GBGAQRS,D,20120802,1.1661,1.1661,1.1528,1.1595,534854,0
5226,GBGAQRS,D,20120803,1.1528,1.1528,1.1329,1.1528,750569,0
5226,GBGAQRS,D,20120806,1.1528,1.1528,1.1262,1.1395,703872,0
5226,GBGAQRS,D,20120807,1.1395,1.1462,1.1329,1.1462,331707,0
5226,GBGAQRS,D,20120808,1.1329,1.1528,1.1329,1.1528,745182,0
5226,GBGAQRS,D,20120809,1.1528,1.1528,1.1395,1.1462,392877,0
5226,GBGAQRS,D,20120810,1.1462,1.1462,1.1395,1.1462,745869,0
5226,GBGAQRS,D,20120813,1.1395,1.1462,1.1395,1.1462,503777,0
5226,GBGAQRS,D,20120814,1.1395,1.1528,1.1395,1.1528,460876,0
5226,GBGAQRS,D,20120815,1.1462,1.1462,1.1395,1.1462,134772,0
5226,GBGAQRS,D,20120816,1.1395,1.1462,1.1395,1.1462,142729,0
5226,GBGAQRS,D,20120817,1.1395,1.1462,1.1395,1.1462,171374,0
5226,GBGAQRS,D,20120822,1.1395,1.1462,1.1329,1.1462,543164,0
5226,GBGAQRS,D,20120823,1.1395,1.1462,1.1395,1.1395,76853,0
5226,GBGAQRS,D,20120824,1.1395,1.1462,1.1395,1.1462,148199,0
5226,GBGAQRS,D,20120827,1.1395,1.1462,1.1395,1.1462,64054,0
5226,GBGAQRS,D,20120828,1.1395,1.1462,1.1395,1.1462,260791,0
5226,GBGAQRS,D,20120829,1.1395,1.1462,1.1329,1.1462,348119,0
5226,GBGAQRS,D,20120830,1.1395,1.1462,1.1395,1.1462,135766,0
5226,GBGAQRS,D,20120903,1.1395,1.1462,1.1395,1.1462,125024,0
5226,GBGAQRS,D,20120904,1.1395,1.1462,1.1329,1.1462,222796,0
5226,GBGAQRS,D,20120905,1.1395,1.1462,1.1395,1.1395,404593,0
5226,GBGAQRS,D,20120906,1.1395,1.1462,1.1395,1.1462,378952,0
5226,GBGAQRS,D,20120907,1.1395,1.1462,1.1329,1.1462,213049,0
5226,GBGAQRS,D,20120910,1.1395,1.1462,1.1329,1.1395,391007,0
5226,GBGAQRS,D,20120911,1.1395,1.1462,1.1395,1.1462,105132,0
5226,GBGAQRS,D,20120912,1.1395,1.1462,1.1395,1.1462,354086,0
5226,GBGAQRS,D,20120913,1.1395,1.1462,1.1395,1.1462,259597,0
5226,GBGAQRS,D,20120914,1.1395,1.1462,1.1395,1.1462,131788,0
5226,GBGAQRS,D,20120918,1.1395,1.1462,1.1395,1.1462,73005,0
5226,GBGAQRS,D,20120919,1.1395,1.1794,1.1395,1.1727,1866385,0
5226,GBGAQRS,D,20120920,1.1661,1.1661,1.1462,1.1528,521827,0
5226,GBGAQRS,D,20120921,1.1462,1.1462,1.1395,1.1462,81559,0
5226,GBGAQRS,D,20120924,1.1395,1.1395,1.1262,1.1395,364927,0
5226,GBGAQRS,D,20120925,1.1329,1.1395,1.1262,1.1395,453778,0
5226,GBGAQRS,D,20120926,1.1395,1.1462,1.1329,1.1395,209238,0
5226,GBGAQRS,D,20120927,1.1329,1.1395,1.1329,1.1395,103131,0
5226,GBGAQRS,D,20120928,1.1462,1.1462,1.1329,1.1395,15866,0
5226,GBGAQRS,D,20121001,1.1462,1.1462,1.1329,1.1395,156185,0
5226,GBGAQRS,D,20121002,1.1329,1.1395,1.1329,1.1395,129906,0
5226,GBGAQRS,D,20121003,1.1329,1.1395,1.1262,1.1395,269728,0
5226,GBGAQRS,D,20121004,1.1329,1.1395,1.1262,1.1395,252870,0
5226,GBGAQRS,D,20121005,1.1329,1.1395,1.1262,1.1329,170046,0
5226,GBGAQRS,D,20121008,1.1395,1.1595,1.1329,1.1595,284135,0
5226,GBGAQRS,D,20121009,1.1528,1.1528,1.1395,1.1462,46747,0
5226,GBGAQRS,D,20121010,1.1395,1.1462,1.1329,1.1462,70618,0
5226,GBGAQRS,D,20121011,1.1395,1.1462,1.1329,1.1462,333895,0
5226,GBGAQRS,D,20121012,1.1395,1.1462,1.1395,1.1462,54704,0
5226,GBGAQRS,D,20121015,1.1462,1.1595,1.1462,1.1528,1077372,0
5226,GBGAQRS,D,20121016,1.1462,1.1462,1.1395,1.1395,73382,0
5226,GBGAQRS,D,20121017,1.1395,1.1528,1.1329,1.1528,185547,0
5226,GBGAQRS,D,20121018,1.1462,1.1528,1.1395,1.1528,49878,0
5226,GBGAQRS,D,20121019,1.1462,1.1528,1.1395,1.1528,78808,0
5226,GBGAQRS,D,20121022,1.1462,1.1528,1.1395,1.1528,95068,0
5226,GBGAQRS,D,20121023,1.1462,1.1528,1.1395,1.1528,135569,0
5226,GBGAQRS,D,20121024,1.1395,1.1528,1.1395,1.1528,24939,0
5226,GBGAQRS,D,20121025,1.1462,1.1528,1.1395,1.1528,113723,0
5226,GBGAQRS,D,20121029,1.1395,1.1528,1.1395,1.1528,47883,0
5226,GBGAQRS,D,20121030,1.1462,1.1528,1.1462,1.1528,134671,0
5226,GBGAQRS,D,20121031,1.1462,1.1462,1.1395,1.1462,49731,0
5226,GBGAQRS,D,20121101,1.1462,1.1462,1.1395,1.1462,77581,0
5226,GBGAQRS,D,20121102,1.1462,1.1528,1.1462,1.1528,175572,0
5226,GBGAQRS,D,20121105,1.1462,1.1528,1.1462,1.1528,242409,0
5226,GBGAQRS,D,20121106,1.1462,1.1462,1.1462,1.1462,75591,0
5226,GBGAQRS,D,20121107,1.1462,1.1462,1.1462,1.1462,0,0
5226,GBGAQRS,D,20121108,1.1462,1.1462,1.1395,1.1462,59180,0
5226,GBGAQRS,D,20121109,1.1462,1.1528,1.1395,1.1528,101752,0
5226,GBGAQRS,D,20121112,1.1462,1.1528,1.1395,1.1528,125195,0
5226,GBGAQRS,D,20121114,1.1462,1.1528,1.1395,1.1528,53869,0
5226,GBGAQRS,D,20121116,1.1395,1.1462,1.1395,1.1462,47742,0
5226,GBGAQRS,D,20121119,1.1395,1.1462,1.1329,1.1462,96479,0
5226,GBGAQRS,D,20121120,1.1462,1.1528,1.1395,1.1462,206882,0
