<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0198,GDB,D,20180327,0.2400,0.2400,0.2133,0.2167,63495450,0
0198,GDB,D,20180328,0.2167,0.2233,0.2167,0.2200,5084550,0
0198,GDB,D,20180329,0.2233,0.2233,0.2133,0.2133,5964450,0
0198,GDB,D,20180330,0.2133,0.2133,0.1933,0.1967,16901100,0
0198,GDB,D,20180402,0.2000,0.2100,0.2000,0.2067,9218250,0
0198,GDB,D,20180403,0.2033,0.2167,0.2033,0.2100,8413500,0
0198,GDB,D,20180404,0.2133,0.2133,0.1867,0.1967,9222900,0
0198,GDB,D,20180405,0.1967,0.2033,0.1933,0.2000,2299200,0
0198,GDB,D,20180406,0.1967,0.2000,0.1967,0.2000,2079000,0
0198,GDB,D,20180409,0.1967,0.2033,0.1967,0.2000,2853000,0
0198,GDB,D,20180410,0.2033,0.2100,0.2033,0.2067,4888050,0
0198,GDB,D,20180411,0.2067,0.2233,0.2067,0.2200,5678100,0
0198,GDB,D,20180412,0.2200,0.2200,0.2133,0.2200,492450,0
0198,GDB,D,20180413,0.2200,0.2200,0.2133,0.2167,1026000,0
0198,GDB,D,20180416,0.2167,0.2200,0.2167,0.2167,485250,0
0198,GDB,D,20180417,0.2167,0.2233,0.2133,0.2167,1556700,0
0198,GDB,D,20180418,0.2167,0.2167,0.2100,0.2167,1442850,0
0198,GDB,D,20180419,0.2167,0.2167,0.2100,0.2100,348150,0
0198,GDB,D,20180420,0.2100,0.2167,0.2100,0.2167,420000,0
0198,GDB,D,20180423,0.2133,0.2133,0.2100,0.2100,351000,0
0198,GDB,D,20180424,0.2100,0.2100,0.2067,0.2067,576450,0
0198,GDB,D,20180425,0.2067,0.2067,0.2000,0.2033,209700,0
0198,GDB,D,20180426,0.2033,0.2033,0.2033,0.2033,159600,0
0198,GDB,D,20180427,0.2033,0.2067,0.2033,0.2033,580650,0
0198,GDB,D,20180430,0.2033,0.2100,0.2033,0.2067,136500,0
0198,GDB,D,20180502,0.2067,0.2067,0.2067,0.2067,273450,0
0198,GDB,D,20180503,0.2067,0.2067,0.2067,0.2067,495300,0
0198,GDB,D,20180504,0.2067,0.2133,0.2067,0.2133,256650,0
0198,GDB,D,20180507,0.2133,0.2133,0.2067,0.2067,1198650,0
0198,GDB,D,20180508,0.2100,0.2100,0.2067,0.2100,428700,0
0198,GDB,D,20180514,0.2000,0.2100,0.2000,0.2000,1780500,0
0198,GDB,D,20180515,0.2000,0.2033,0.2000,0.2000,196800,0
0198,GDB,D,20180516,0.2000,0.2033,0.2000,0.2033,647100,0
0198,GDB,D,20180517,0.2000,0.2000,0.1933,0.1933,981600,0
0198,GDB,D,20180518,0.1967,0.1967,0.1833,0.1867,1813500,0
0198,GDB,D,20180521,0.1867,0.1967,0.1867,0.1900,262050,0
0198,GDB,D,20180522,0.1900,0.1900,0.1867,0.1900,312000,0
0198,GDB,D,20180523,0.1900,0.1967,0.1833,0.1967,613500,0
0198,GDB,D,20180524,0.1967,0.2000,0.1933,0.1967,2064600,0
0198,GDB,D,20180525,0.2000,0.2000,0.1900,0.1967,2505600,0
0198,GDB,D,20180528,0.2000,0.2000,0.1933,0.1967,199650,0
0198,GDB,D,20180530,0.1967,0.1967,0.1833,0.1867,181500,0
0198,GDB,D,20180531,0.1867,0.1900,0.1867,0.1900,254250,0
0198,GDB,D,20180601,0.1933,0.1933,0.1933,0.1933,153000,0
0198,GDB,D,20180604,0.1933,0.1933,0.1867,0.1900,252000,0
0198,GDB,D,20180605,0.1900,0.1933,0.1900,0.1933,596400,0
0198,GDB,D,20180606,0.1933,0.1967,0.1900,0.1967,327300,0
0198,GDB,D,20180607,0.1967,0.2033,0.1933,0.2033,1228350,0
0198,GDB,D,20180608,0.2067,0.2133,0.2033,0.2133,2689650,0
0198,GDB,D,20180611,0.2167,0.2200,0.2100,0.2100,2209800,0
0198,GDB,D,20180612,0.2133,0.2233,0.2133,0.2233,1776750,0
0198,GDB,D,20180613,0.2233,0.2233,0.2167,0.2200,1829250,0
0198,GDB,D,20180614,0.2233,0.2267,0.2200,0.2267,1325400,0
0198,GDB,D,20180618,0.2267,0.2267,0.2200,0.2267,459000,0
0198,GDB,D,20180619,0.2267,0.2267,0.2167,0.2167,439500,0
0198,GDB,D,20180620,0.2167,0.2233,0.2167,0.2200,306000,0
0198,GDB,D,20180621,0.2200,0.2200,0.2133,0.2200,2288250,0
0198,GDB,D,20180622,0.2200,0.2267,0.2200,0.2233,1353900,0
0198,GDB,D,20180625,0.2200,0.2233,0.2200,0.2233,281400,0
0198,GDB,D,20180626,0.2233,0.2267,0.2200,0.2267,2163450,0
0198,GDB,D,20180627,0.2233,0.2233,0.2200,0.2233,1649400,0
0198,GDB,D,20180628,0.2233,0.2233,0.2233,0.2233,0,0
0198,GDB,D,20180629,0.2133,0.2167,0.2133,0.2167,157650,0
0198,GDB,D,20180702,0.2100,0.2233,0.2100,0.2200,1848150,0
0198,GDB,D,20180703,0.2200,0.2233,0.2200,0.2233,319500,0
0198,GDB,D,20180704,0.2200,0.2233,0.2200,0.2233,123000,0
0198,GDB,D,20180705,0.2200,0.2200,0.2167,0.2200,78150,0
0198,GDB,D,20180706,0.2200,0.2200,0.2200,0.2200,216000,0
0198,GDB,D,20180709,0.2200,0.2200,0.2200,0.2200,262500,0
0198,GDB,D,20180710,0.2200,0.2200,0.2167,0.2200,475950,0
0198,GDB,D,20180711,0.2167,0.2167,0.2133,0.2167,459600,0
0198,GDB,D,20180712,0.2167,0.2200,0.2167,0.2200,318000,0
0198,GDB,D,20180713,0.2233,0.2233,0.2200,0.2233,888450,0
0198,GDB,D,20180716,0.2233,0.2333,0.2233,0.2233,1716450,0
0198,GDB,D,20180717,0.2233,0.2233,0.2233,0.2233,15000,0
0198,GDB,D,20180718,0.2233,0.2267,0.2233,0.2267,814050,0
0198,GDB,D,20180719,0.2233,0.2300,0.2233,0.2267,2672250,0
0198,GDB,D,20180720,0.2267,0.2267,0.2267,0.2267,402300,0
0198,GDB,D,20180723,0.2267,0.2533,0.2233,0.2500,11640000,0
0198,GDB,D,20180724,0.2467,0.2667,0.2467,0.2633,18233400,0
0198,GDB,D,20180725,0.2700,0.3000,0.2700,0.2900,20276400,0
0198,GDB,D,20180726,0.2900,0.2967,0.2700,0.2700,4099500,0
0198,GDB,D,20180727,0.2667,0.2800,0.2667,0.2700,1099500,0
0198,GDB,D,20180730,0.2767,0.2800,0.2667,0.2733,2559600,0
0198,GDB,D,20180731,0.2667,0.2767,0.2600,0.2633,2433750,0
0198,GDB,D,20180801,0.2667,0.2667,0.2533,0.2533,1890450,0
0198,GDB,D,20180802,0.2533,0.2633,0.2533,0.2533,4193250,0
0198,GDB,D,20180803,0.2567,0.2567,0.2500,0.2533,1743300,0
0198,GDB,D,20180806,0.2500,0.2700,0.2400,0.2667,8110050,0
0198,GDB,D,20180807,0.2667,0.2767,0.2633,0.2767,3787200,0
0198,GDB,D,20180808,0.2767,0.2767,0.2600,0.2633,3547950,0
0198,GDB,D,20180809,0.2667,0.2700,0.2667,0.2700,1755600,0
0198,GDB,D,20180810,0.2733,0.2800,0.2633,0.2700,6095700,0
0198,GDB,D,20180813,0.2700,0.2700,0.2600,0.2600,1037550,0
0198,GDB,D,20180814,0.2600,0.2667,0.2600,0.2633,2223150,0
0198,GDB,D,20180815,0.2633,0.2700,0.2600,0.2633,874650,0
0198,GDB,D,20180816,0.2600,0.2633,0.2567,0.2633,1248600,0
0198,GDB,D,20180817,0.2633,0.2700,0.2600,0.2700,1807050,0
0198,GDB,D,20180820,0.2700,0.2900,0.2700,0.2867,8331900,0
0198,GDB,D,20180821,0.2867,0.2867,0.2733,0.2767,1070100,0
0198,GDB,D,20180823,0.2767,0.2767,0.2700,0.2733,484200,0
0198,GDB,D,20180824,0.2800,0.2933,0.2800,0.2800,5981250,0
0198,GDB,D,20180827,0.2800,0.2800,0.2700,0.2700,1059600,0
0198,GDB,D,20180828,0.2700,0.2733,0.2700,0.2700,699150,0
0198,GDB,D,20180829,0.2700,0.2700,0.2700,0.2700,505650,0
0198,GDB,D,20180830,0.2733,0.2733,0.2633,0.2633,1695300,0
0198,GDB,D,20180903,0.2633,0.2700,0.2600,0.2667,1418850,0
0198,GDB,D,20180904,0.2700,0.2767,0.2633,0.2633,2733600,0
0198,GDB,D,20180905,0.2633,0.2633,0.2533,0.2533,2288550,0
0198,GDB,D,20180906,0.2533,0.2533,0.2333,0.2333,4537200,0
0198,GDB,D,20180907,0.2333,0.2433,0.2333,0.2367,2187900,0
0198,GDB,D,20180912,0.2433,0.2433,0.2267,0.2300,2029200,0
0198,GDB,D,20180913,0.2300,0.2367,0.2300,0.2333,460200,0
0198,GDB,D,20180914,0.2333,0.2367,0.2300,0.2333,1371300,0
0198,GDB,D,20180918,0.2300,0.2333,0.2233,0.2267,1450500,0
0198,GDB,D,20180919,0.2267,0.2300,0.2200,0.2267,507000,0
0198,GDB,D,20180920,0.2233,0.2233,0.2167,0.2167,1772100,0
0198,GDB,D,20180921,0.2200,0.2300,0.2200,0.2267,1302900,0
