<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0078,GDEX,D,20050517,0.0646,0.0701,0.0640,0.0679,124230287,0
0078,GDEX,D,20050518,0.0679,0.0688,0.0675,0.0681,9428131,0
0078,GDEX,D,20050519,0.0677,0.0692,0.0677,0.0686,8374636,0
0078,GDEX,D,20050520,0.0688,0.0690,0.0679,0.0686,6038046,0
0078,GDEX,D,20050524,0.0681,0.0686,0.0681,0.0686,4242271,0
0078,GDEX,D,20050525,0.0684,0.0688,0.0684,0.0688,3247131,0
0078,GDEX,D,20050526,0.0686,0.0697,0.0686,0.0697,5869991,0
0078,GDEX,D,20050527,0.0697,0.0721,0.0697,0.0716,5846804,0
0078,GDEX,D,20050530,0.0723,0.0736,0.0723,0.0736,8223332,0
0078,GDEX,D,20050531,0.0734,0.0754,0.0734,0.0754,5098216,0
0078,GDEX,D,20050601,0.0754,0.0763,0.0749,0.0756,4769589,0
0078,GDEX,D,20050602,0.0754,0.0758,0.0754,0.0758,2703975,0
0078,GDEX,D,20050603,0.0758,0.0767,0.0758,0.0765,3693054,0
0078,GDEX,D,20050606,0.0765,0.0780,0.0765,0.0778,3844454,0
0078,GDEX,D,20050607,0.0776,0.0784,0.0773,0.0780,2805355,0
0078,GDEX,D,20050608,0.0782,0.0784,0.0780,0.0780,1723788,0
0078,GDEX,D,20050609,0.0780,0.0811,0.0780,0.0795,3653107,0
0078,GDEX,D,20050610,0.0795,0.0802,0.0793,0.0802,2187501,0
0078,GDEX,D,20050613,0.0802,0.0842,0.0802,0.0842,4996763,0
0078,GDEX,D,20050614,0.0833,0.0846,0.0833,0.0842,1849812,0
0078,GDEX,D,20050615,0.0842,0.0846,0.0842,0.0846,1731332,0
0078,GDEX,D,20050616,0.0842,0.0844,0.0833,0.0842,1153662,0
0078,GDEX,D,20050617,0.0842,0.0842,0.0835,0.0837,2349581,0
0078,GDEX,D,20050620,0.0842,0.0885,0.0842,0.0883,5703989,0
0078,GDEX,D,20050621,0.0883,0.0912,0.0883,0.0896,4997977,0
0078,GDEX,D,20050622,0.0896,0.0907,0.0890,0.0903,3581353,0
0078,GDEX,D,20050623,0.0903,0.0910,0.0901,0.0905,2315344,0
0078,GDEX,D,20050624,0.0905,0.0929,0.0905,0.0929,5285902,0
0078,GDEX,D,20050627,0.0931,0.0936,0.0916,0.0936,5121912,0
0078,GDEX,D,20050628,0.0938,0.0960,0.0936,0.0951,6640568,0
0078,GDEX,D,20050629,0.0956,0.0956,0.0934,0.0938,4407240,0
0078,GDEX,D,20050630,0.0940,0.0940,0.0921,0.0934,6079420,0
0078,GDEX,D,20050701,0.0934,0.0940,0.0929,0.0938,2857951,0
0078,GDEX,D,20050704,0.0921,0.0934,0.0921,0.0927,3653132,0
0078,GDEX,D,20050705,0.0923,0.0929,0.0870,0.0929,7906307,0
0078,GDEX,D,20050706,0.0894,0.0925,0.0894,0.0914,901935,0
0078,GDEX,D,20050707,0.0912,0.0916,0.0896,0.0916,838097,0
0078,GDEX,D,20050708,0.0907,0.0907,0.0894,0.0907,1789431,0
0078,GDEX,D,20050711,0.0899,0.0910,0.0899,0.0907,489133,0
0078,GDEX,D,20050712,0.0907,0.0907,0.0901,0.0901,221037,0
0078,GDEX,D,20050713,0.0905,0.0905,0.0899,0.0903,871554,0
0078,GDEX,D,20050714,0.0885,0.0903,0.0885,0.0890,185933,0
0078,GDEX,D,20050715,0.0890,0.0899,0.0877,0.0899,2289264,0
0078,GDEX,D,20050718,0.0892,0.0892,0.0885,0.0885,456719,0
0078,GDEX,D,20050719,0.0890,0.0890,0.0881,0.0881,1483760,0
0078,GDEX,D,20050720,0.0881,0.0883,0.0859,0.0881,1883594,0
0078,GDEX,D,20050721,0.0868,0.0877,0.0859,0.0874,2286776,0
0078,GDEX,D,20050722,0.0877,0.0881,0.0877,0.0877,581782,0
0078,GDEX,D,20050725,0.0877,0.0877,0.0868,0.0872,201855,0
0078,GDEX,D,20050726,0.0868,0.0872,0.0868,0.0868,238717,0
0078,GDEX,D,20050727,0.0872,0.0899,0.0863,0.0872,1155661,0
0078,GDEX,D,20050728,0.0885,0.0921,0.0885,0.0899,1785258,0
0078,GDEX,D,20050729,0.0899,0.0899,0.0896,0.0899,1001603,0
0078,GDEX,D,20050801,0.0899,0.0899,0.0877,0.0899,210737,0
0078,GDEX,D,20050802,0.0899,0.0903,0.0892,0.0903,2589668,0
0078,GDEX,D,20050803,0.0903,0.0903,0.0894,0.0894,717438,0
0078,GDEX,D,20050804,0.0890,0.0890,0.0881,0.0881,438100,0
0078,GDEX,D,20050805,0.0881,0.0903,0.0881,0.0892,2163743,0
0078,GDEX,D,20050808,0.0899,0.0903,0.0899,0.0903,1899520,0
0078,GDEX,D,20050809,0.0903,0.0903,0.0899,0.0899,274840,0
0078,GDEX,D,20050810,0.0903,0.0912,0.0903,0.0912,4156068,0
0078,GDEX,D,20050811,0.0910,0.0912,0.0910,0.0912,1830367,0
0078,GDEX,D,20050812,0.0912,0.0912,0.0912,0.0912,0,0
0078,GDEX,D,20050815,0.0912,0.0916,0.0894,0.0916,2533991,0
0078,GDEX,D,20050816,0.0918,0.0921,0.0916,0.0916,389908,0
0078,GDEX,D,20050817,0.0921,0.0923,0.0916,0.0923,571325,0
0078,GDEX,D,20050818,0.0925,0.0925,0.0925,0.0925,1753738,0
0078,GDEX,D,20050819,0.0925,0.0925,0.0921,0.0925,259075,0
0078,GDEX,D,20050822,0.0929,0.0931,0.0929,0.0931,659020,0
0078,GDEX,D,20050823,0.0931,0.0938,0.0929,0.0934,2739098,0
0078,GDEX,D,20050824,0.0934,0.0934,0.0931,0.0934,146947,0
0078,GDEX,D,20050825,0.0934,0.0934,0.0934,0.0934,10076,0
0078,GDEX,D,20050826,0.0934,0.0942,0.0934,0.0942,5044750,0
0078,GDEX,D,20050829,0.0947,0.0947,0.0938,0.0947,692937,0
0078,GDEX,D,20050830,0.0951,0.0956,0.0947,0.0947,1844987,0
0078,GDEX,D,20050901,0.0951,0.0951,0.0947,0.0951,3227208,0
0078,GDEX,D,20050902,0.0951,0.0956,0.0951,0.0956,1325318,0
0078,GDEX,D,20050905,0.0951,0.0960,0.0951,0.0960,2275001,0
0078,GDEX,D,20050906,0.0960,0.0964,0.0956,0.0964,1850915,0
0078,GDEX,D,20050907,0.0960,0.0960,0.0956,0.0960,1191667,0
0078,GDEX,D,20050908,0.0956,0.0964,0.0951,0.0960,335400,0
0078,GDEX,D,20050909,0.0960,0.0960,0.0956,0.0960,108333,0
0078,GDEX,D,20050912,0.0956,0.0964,0.0956,0.0964,877987,0
0078,GDEX,D,20050913,0.0960,0.0960,0.0956,0.0960,528667,0
0078,GDEX,D,20050914,0.0960,0.0960,0.0960,0.0960,32067,0
0078,GDEX,D,20050915,0.0947,0.0956,0.0947,0.0956,182802,0
0078,GDEX,D,20050916,0.0951,0.0956,0.0951,0.0956,117269,0
0078,GDEX,D,20050919,0.0951,0.0956,0.0951,0.0956,678611,0
0078,GDEX,D,20050920,0.0960,0.0960,0.0960,0.0960,75400,0
0078,GDEX,D,20050921,0.0956,0.0956,0.0951,0.0951,482108,0
0078,GDEX,D,20050922,0.0951,0.0951,0.0951,0.0951,0,0
0078,GDEX,D,20050923,0.0947,0.0951,0.0947,0.0951,341422,0
0078,GDEX,D,20050926,0.0951,0.0951,0.0947,0.0951,171569,0
0078,GDEX,D,20050927,0.0951,0.0956,0.0947,0.0956,939881,0
0078,GDEX,D,20050928,0.0951,0.0951,0.0947,0.0951,1361398,0
0078,GDEX,D,20050929,0.0951,0.0951,0.0951,0.0951,214461,0
0078,GDEX,D,20050930,0.0951,0.0956,0.0951,0.0956,2263474,0
0078,GDEX,D,20051003,0.0942,0.0956,0.0921,0.0956,269030,0
0078,GDEX,D,20051004,0.0947,0.0956,0.0947,0.0956,215569,0
0078,GDEX,D,20051005,0.0947,0.0956,0.0947,0.0956,307832,0
0078,GDEX,D,20051006,0.0951,0.0951,0.0947,0.0947,42669,0
0078,GDEX,D,20051007,0.0947,0.0956,0.0947,0.0956,862276,0
0078,GDEX,D,20051010,0.0951,0.0951,0.0951,0.0951,214461,0
