<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
4715,GENM,D,19940103,3.0280,3.0984,2.9928,3.0456,1817711,0
4715,GENM,D,19940104,3.0280,3.0456,2.9928,3.0456,3141232,0
4715,GENM,D,19940105,2.9928,3.0456,2.9928,3.0280,2760649,0
4715,GENM,D,19940106,2.9752,3.0280,2.8167,2.9048,6089332,0
4715,GENM,D,19940107,2.8167,2.8871,2.7111,2.7111,9440737,0
4715,GENM,D,19940110,2.6759,2.7463,2.6055,2.6231,7339009,0
4715,GENM,D,19940111,2.5175,2.6055,2.4822,2.5527,11372055,0
4715,GENM,D,19940112,2.5527,2.5527,2.2710,2.4646,20028904,0
4715,GENM,D,19940113,2.4646,2.4998,2.2534,2.3062,22834996,0
4715,GENM,D,19940114,2.3414,2.6055,2.3414,2.5879,17569314,0
4715,GENM,D,19940117,2.5527,2.5879,2.4822,2.4998,4220498,0
4715,GENM,D,19940119,2.5879,2.6231,2.4998,2.5175,7350369,0
4715,GENM,D,19940120,2.4294,2.4998,2.3766,2.3942,8895424,0
4715,GENM,D,19940121,2.4118,2.4470,2.3590,2.4294,6941384,0
4715,GENM,D,19940124,2.4118,2.6055,2.4118,2.5527,8384193,0
4715,GENM,D,19940125,2.5527,2.5527,2.4470,2.4646,7850240,0
4715,GENM,D,19940126,2.4470,2.6055,2.2886,2.6055,11110759,0
4715,GENM,D,19940127,2.6231,2.6935,2.6055,2.6759,7219721,0
4715,GENM,D,19940128,2.6583,2.6935,2.6583,2.6935,8060413,0
4715,GENM,D,19940131,2.6759,2.6935,2.6407,2.6583,4095530,0
4715,GENM,D,19940202,2.6935,2.8343,2.6583,2.7991,9423696,0
4715,GENM,D,19940203,2.7639,2.8871,2.7639,2.8695,5884840,0
4715,GENM,D,19940204,2.8695,2.9224,2.8343,2.9224,5822356,0
4715,GENM,D,19940207,2.8695,2.9224,2.8167,2.8519,6452874,0
4715,GENM,D,19940208,2.8343,2.8343,2.7991,2.7991,4248900,0
4715,GENM,D,19940214,2.7815,2.7991,2.7287,2.7463,5260002,0
4715,GENM,D,19940215,2.7463,2.7639,2.6231,2.6231,2283500,0
4715,GENM,D,19940216,2.6407,2.6935,2.6231,2.6407,5549699,0
4715,GENM,D,19940217,2.6231,2.6407,2.6055,2.6055,2681124,0
4715,GENM,D,19940218,2.6055,2.6935,2.6055,2.6759,2840174,0
4715,GENM,D,19940221,2.6759,2.7287,2.6759,2.6935,3396848,0
4715,GENM,D,19940222,2.7111,2.7463,2.6759,2.6759,2203975,0
4715,GENM,D,19940223,2.7111,2.7111,2.6935,2.7111,3158273,0
4715,GENM,D,19940224,2.7287,2.7815,2.7111,2.7639,4993025,0
4715,GENM,D,19940225,2.7111,2.7287,2.6935,2.6935,2510713,0
4715,GENM,D,19940228,2.6935,2.7111,2.6935,2.6935,2050605,0
4715,GENM,D,19940301,2.6935,2.7111,2.6935,2.7111,2896977,0
4715,GENM,D,19940302,2.6935,2.7111,2.6583,2.6759,4152334,0
4715,GENM,D,19940303,2.6583,2.6583,2.4822,2.4822,5180477,0
4715,GENM,D,19940304,2.4998,2.5175,2.4470,2.4646,6657367,0
4715,GENM,D,19940307,2.5175,2.5175,2.3766,2.3766,3027625,0
4715,GENM,D,19940308,2.4646,2.4646,2.3414,2.4294,5242960,0
4715,GENM,D,19940309,2.4470,2.4646,2.4118,2.4646,8230823,0
4715,GENM,D,19940310,2.4470,2.4646,2.4294,2.4294,1834752,0
4715,GENM,D,19940311,2.4294,2.4646,2.4118,2.4470,2260778,0
4715,GENM,D,19940317,2.4294,2.4646,2.4294,2.4646,5208878,0
4715,GENM,D,19940318,2.4470,2.4646,2.3942,2.4646,4231859,0
4715,GENM,D,19940321,2.4470,2.4646,2.2886,2.2886,5646265,0
4715,GENM,D,19940322,2.2534,2.3590,2.2182,2.3590,6009807,0
4715,GENM,D,19940323,2.3942,2.3942,2.3590,2.3590,5208878,0
4715,GENM,D,19940324,2.3590,2.3942,2.3062,2.3414,3357085,0
4715,GENM,D,19940325,2.2886,2.3062,2.2534,2.2534,8935186,0
4715,GENM,D,19940328,2.2534,2.3590,2.2534,2.3590,2516394,0
4715,GENM,D,19940329,2.3414,2.3414,2.3062,2.3414,3981923,0
4715,GENM,D,19940330,2.2886,2.3238,2.2886,2.3238,4521556,0
4715,GENM,D,19940331,2.2886,2.3766,2.2710,2.2710,5248641,0
4715,GENM,D,19940401,2.3062,2.3590,2.2886,2.3590,1516653,0
4715,GENM,D,19940404,2.3062,2.3590,2.3062,2.3414,1772268,0
4715,GENM,D,19940405,2.3238,2.3942,2.3062,2.3942,1846113,0
4715,GENM,D,19940406,2.4470,2.4822,2.4294,2.4646,6384710,0
4715,GENM,D,19940407,2.4470,2.4470,2.3942,2.4118,1295119,0
4715,GENM,D,19940408,2.4118,2.4294,2.3942,2.3942,2442549,0
4715,GENM,D,19940411,2.3942,2.4294,2.3942,2.4118,1306480,0
4715,GENM,D,19940412,2.4470,2.5879,2.4470,2.5351,9190802,0
4715,GENM,D,19940413,2.5527,2.5879,2.5175,2.5351,2925379,0
4715,GENM,D,19940414,2.5175,2.5527,2.4470,2.4822,3408208,0
4715,GENM,D,19940415,2.4998,2.5527,2.4998,2.5351,1715465,0
4715,GENM,D,19940418,2.5527,2.5879,2.5527,2.5527,4027366,0
4715,GENM,D,19940419,2.5527,2.6055,2.5527,2.5879,3720627,0
4715,GENM,D,19940420,2.6055,2.6055,2.5879,2.5879,3896718,0
4715,GENM,D,19940421,2.6055,2.6407,2.5879,2.6231,5027107,0
4715,GENM,D,19940422,2.6407,2.6407,2.6055,2.6231,2164212,0
4715,GENM,D,19940425,2.6231,2.6407,2.6231,2.6231,1732506,0
4715,GENM,D,19940426,2.6407,2.6407,2.6231,2.6231,5004386,0
4715,GENM,D,19940427,2.6407,2.6935,2.6407,2.6407,6117734,0
4715,GENM,D,19940428,2.6583,2.7111,2.6583,2.6935,2516394,0
4715,GENM,D,19940429,2.6407,2.6935,2.6231,2.6407,3777431,0
4715,GENM,D,19940503,2.6759,2.7111,2.6583,2.6935,6185898,0
4715,GENM,D,19940504,2.6407,2.6759,2.5879,2.6055,3533176,0
4715,GENM,D,19940505,2.6055,2.6055,2.5351,2.5351,2737927,0
4715,GENM,D,19940506,2.5351,2.5351,2.4646,2.4822,2953781,0
4715,GENM,D,19940509,2.4822,2.4822,2.4470,2.4822,1760908,0
4715,GENM,D,19940510,2.4646,2.5175,2.4646,2.5175,1011102,0
4715,GENM,D,19940511,2.5527,2.6055,2.5527,2.5527,1476890,0
4715,GENM,D,19940512,2.5527,2.5527,2.4998,2.5351,1988122,0
4715,GENM,D,19940513,2.5351,2.6231,2.5351,2.6055,1482571,0
4715,GENM,D,19940516,2.6055,2.6055,2.5527,2.5527,4782852,0
4715,GENM,D,19940517,2.5527,2.5703,2.5351,2.5703,2118770,0
4715,GENM,D,19940518,2.5703,2.5703,2.5175,2.5175,3908079,0
4715,GENM,D,19940519,2.5351,2.5527,2.5175,2.5351,1198553,0
4715,GENM,D,19940520,2.5351,2.5527,2.4998,2.5351,2363024,0
4715,GENM,D,19940523,2.5351,2.5703,2.5351,2.5703,3413889,0
4715,GENM,D,19940524,2.5527,2.5879,2.5527,2.5527,2061966,0
4715,GENM,D,19940526,2.5527,2.5703,2.5351,2.5703,2255098,0
4715,GENM,D,19940527,2.5703,2.5703,2.5175,2.5175,4237539,0
4715,GENM,D,19940530,2.5175,2.5175,2.4998,2.5175,1919957,0
4715,GENM,D,19940531,2.5175,2.5351,2.4646,2.4646,1312160,0
4715,GENM,D,19940601,2.4998,2.5351,2.4646,2.5175,5044148,0
4715,GENM,D,19940602,2.5351,2.5703,2.5175,2.5527,3010584,0
4715,GENM,D,19940603,2.5175,2.5351,2.4646,2.4998,4566999,0
4715,GENM,D,19940606,2.5175,2.6407,2.4998,2.6055,2902657,0
4715,GENM,D,19940607,2.5879,2.5879,2.5351,2.5351,1238316,0
4715,GENM,D,19940608,2.5351,2.6231,2.5351,2.5879,2993543,0
4715,GENM,D,19940609,2.6055,2.6231,2.5703,2.6231,1357603,0
4715,GENM,D,19940610,2.6055,2.6583,2.6055,2.6231,3476373,0
4715,GENM,D,19940613,2.6231,2.6583,2.6231,2.6407,2181253,0
4715,GENM,D,19940614,2.6231,2.6407,2.6231,2.6407,1516653,0
4715,GENM,D,19940615,2.6407,2.6759,2.6407,2.6583,2300541,0
4715,GENM,D,19940616,2.6583,2.6759,2.6407,2.6583,1641620,0
4715,GENM,D,19940617,2.6583,2.7287,2.6583,2.7111,4487474,0
4715,GENM,D,19940620,2.7111,2.7287,2.6759,2.6759,2374385,0
4715,GENM,D,19940621,2.6759,2.6759,2.6407,2.6583,2527755,0
4715,GENM,D,19940622,2.6407,2.6935,2.6407,2.6935,2056286,0
4715,GENM,D,19940623,2.6935,2.6935,2.6231,2.6407,1715465,0
4715,GENM,D,19940624,2.6935,2.7111,2.6231,2.6759,7265164,0
4715,GENM,D,19940627,2.6407,2.6935,2.5879,2.6935,3487733,0
4715,GENM,D,19940628,2.6759,2.6759,2.6055,2.6231,1880195,0
4715,GENM,D,19940629,2.6231,2.6231,2.5703,2.5703,1221275,0
4715,GENM,D,19940630,2.6055,2.6935,2.6055,2.6407,2914018,0
4715,GENM,D,19940701,2.6231,2.6583,2.6055,2.6583,2158532,0
4715,GENM,D,19940704,2.6407,2.6583,2.6407,2.6407,1357603,0
4715,GENM,D,19940705,2.6407,2.6583,2.6407,2.6583,965659,0
4715,GENM,D,19940706,2.6583,2.6583,2.6231,2.6231,2209655,0
4715,GENM,D,19940707,2.6055,2.6055,2.5879,2.6055,999741,0
4715,GENM,D,19940708,2.5879,2.5879,2.5703,2.5879,710043,0
4715,GENM,D,19940711,2.5879,2.5879,2.5879,2.5879,863413,0
4715,GENM,D,19940712,2.5879,2.5879,2.5527,2.5703,2152852,0
4715,GENM,D,19940713,2.5879,2.6055,2.5879,2.6055,1209914,0
4715,GENM,D,19940714,2.6055,2.6055,2.5879,2.6055,2067646,0
4715,GENM,D,19940715,2.6055,2.6935,2.6055,2.6583,7986568,0
4715,GENM,D,19940718,2.6583,2.6759,2.6407,2.6583,2874256,0
4715,GENM,D,19940719,2.6583,2.6583,2.6583,2.6583,3805833,0
4715,GENM,D,19940720,2.6583,2.6759,2.6583,2.6759,1971080,0
4715,GENM,D,19940721,2.6583,2.6583,2.5879,2.5879,1255357,0
4715,GENM,D,19940722,2.6055,2.6583,2.6055,2.6583,1175832,0
4715,GENM,D,19940725,2.6231,2.6231,2.6055,2.6231,1232635,0
4715,GENM,D,19940726,2.6407,2.6583,2.6231,2.6407,2834493,0
4715,GENM,D,19940727,2.6407,2.6935,2.6407,2.6759,6856179,0
4715,GENM,D,19940728,2.6759,2.7287,2.6583,2.6935,4288662,0
4715,GENM,D,19940729,2.7111,2.7815,2.7111,2.7639,4578360,0
4715,GENM,D,19940801,2.7815,2.9928,2.7815,2.9928,14206548,0
4715,GENM,D,19940802,2.9928,3.0280,2.9224,2.9576,7174279,0
4715,GENM,D,19940803,2.9576,2.9576,2.8343,2.8343,7708231,0
4715,GENM,D,19940804,2.8519,2.9400,2.8519,2.9048,6396071,0
4715,GENM,D,19940805,2.9048,2.9400,2.8871,2.9400,3283241,0
4715,GENM,D,19940808,2.9400,2.9400,2.8871,2.8871,2073327,0
4715,GENM,D,19940809,2.8871,2.8871,2.8343,2.8343,1340562,0
4715,GENM,D,19940810,2.8695,2.9048,2.8695,2.8871,2550476,0
