<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0039,GFM,D,20040116,2.3000,2.9210,1.9320,2.4380,10614231,0
0039,GFM,D,20040119,2.5070,2.6910,2.4840,2.5530,1530991,0
0039,GFM,D,20040120,2.5530,2.6680,2.5530,2.6450,940435,0
0039,GFM,D,20040126,2.6680,2.6910,2.5530,2.5760,538490,0
0039,GFM,D,20040127,2.5760,2.5990,2.3460,2.4380,1407031,0
0039,GFM,D,20040128,2.4380,2.5300,2.3690,2.5300,853355,0
0039,GFM,D,20040129,2.4610,2.4840,2.4150,2.4610,374905,0
0039,GFM,D,20040130,2.4610,2.5300,2.4380,2.4610,388415,0
0039,GFM,D,20040204,2.4610,2.4610,2.3690,2.4150,486681,0
0039,GFM,D,20040205,2.3920,2.4840,2.3920,2.4380,486753,0
0039,GFM,D,20040206,2.4380,2.4610,2.3920,2.4150,101915,0
0039,GFM,D,20040209,2.4380,2.5070,2.4150,2.4610,572509,0
0039,GFM,D,20040210,2.4610,2.4610,2.3690,2.3920,368923,0
0039,GFM,D,20040211,2.3920,2.3920,2.2540,2.3230,329775,0
0039,GFM,D,20040212,2.3230,2.3460,2.2770,2.3460,158440,0
0039,GFM,D,20040213,2.3000,2.3230,2.1850,2.2310,192917,0
0039,GFM,D,20040216,2.2310,2.4610,2.2310,2.3460,682404,0
0039,GFM,D,20040217,2.3690,2.4610,2.3000,2.4380,372434,0
0039,GFM,D,20040218,2.4380,2.4380,2.3690,2.3920,69808,0
0039,GFM,D,20040219,2.3460,2.3690,2.3460,2.3690,59905,0
0039,GFM,D,20040220,2.3460,2.3690,2.3000,2.3690,161910,0
0039,GFM,D,20040224,2.3690,2.3920,2.3460,2.3920,98462,0
0039,GFM,D,20040225,2.3920,2.3920,2.3000,2.3460,60997,0
0039,GFM,D,20040226,2.3460,2.3460,2.2770,2.2770,69195,0
0039,GFM,D,20040227,2.3000,2.3000,2.2310,2.2770,244933,0
0039,GFM,D,20040301,2.2770,2.3000,2.2080,2.2540,259450,0
0039,GFM,D,20040302,2.2770,2.3000,2.1850,2.2310,284032,0
0039,GFM,D,20040303,2.1850,2.2080,2.1390,2.1620,85717,0
0039,GFM,D,20040304,2.1390,2.2080,2.0010,2.2080,322647,0
0039,GFM,D,20040305,2.2080,2.2080,2.1620,2.2080,135245,0
0039,GFM,D,20040308,2.2080,2.2310,2.1850,2.2080,243497,0
0039,GFM,D,20040309,2.2080,2.3230,2.1390,2.2540,456479,0
0039,GFM,D,20040310,2.2540,2.3000,2.2080,2.2540,146189,0
0039,GFM,D,20040311,2.2540,2.2770,2.2080,2.2540,154735,0
0039,GFM,D,20040312,2.2540,2.2540,2.1850,2.2310,39643,0
0039,GFM,D,20040315,2.2080,2.2540,2.1390,2.2540,185812,0
0039,GFM,D,20040316,2.1620,2.1850,2.1620,2.1620,12137,0
0039,GFM,D,20040317,2.1620,2.1850,2.1390,2.1390,31431,0
0039,GFM,D,20040318,2.1390,2.1620,2.1160,2.1390,25959,0
0039,GFM,D,20040319,2.1390,2.1390,2.0930,2.1160,42722,0
0039,GFM,D,20040322,2.1160,2.1620,2.0930,2.1390,15053,0
0039,GFM,D,20040323,2.1160,2.1160,2.0470,2.0930,24723,0
0039,GFM,D,20040324,2.0930,2.0930,2.0470,2.0700,28449,0
0039,GFM,D,20040325,2.0240,2.0930,2.0240,2.0700,73290,0
0039,GFM,D,20040326,2.0470,2.0930,2.0240,2.0700,45255,0
0039,GFM,D,20040329,2.0700,2.0700,2.0010,2.0470,22758,0
0039,GFM,D,20040330,2.0470,2.0470,2.0010,2.0010,12594,0
0039,GFM,D,20040331,2.0240,2.0700,1.9780,2.0240,174229,0
0039,GFM,D,20040401,2.0240,2.0470,1.9550,2.0470,149543,0
0039,GFM,D,20040402,2.0010,2.1390,1.9780,2.1390,169498,0
0039,GFM,D,20040405,2.0470,2.0930,2.0240,2.0930,126294,0
0039,GFM,D,20040406,2.0470,2.0700,2.0240,2.0700,121917,0
0039,GFM,D,20040407,2.0470,2.0930,2.0240,2.0240,151399,0
0039,GFM,D,20040408,2.0240,2.0240,1.9780,2.0240,120740,0
0039,GFM,D,20040409,2.0010,2.0240,1.9780,2.0240,133507,0
0039,GFM,D,20040412,1.9780,2.0010,1.9780,2.0010,134258,0
0039,GFM,D,20040413,2.0010,2.0240,1.9780,2.0240,147719,0
0039,GFM,D,20040414,2.0010,2.0010,1.9550,1.9780,144614,0
0039,GFM,D,20040415,1.9780,1.9780,1.9550,1.9550,137692,0
0039,GFM,D,20040416,1.9550,1.9550,1.9320,1.9550,299823,0
0039,GFM,D,20040419,1.9320,2.0010,1.9090,1.9550,261213,0
0039,GFM,D,20040420,1.9550,1.9550,1.9320,1.9550,284588,0
0039,GFM,D,20040421,1.9550,1.9550,1.9320,1.9550,298180,0
0039,GFM,D,20040422,1.9320,1.9550,1.9320,1.9320,318093,0
0039,GFM,D,20040423,1.9320,2.0240,1.9320,1.9550,180782,0
0039,GFM,D,20040426,1.9320,2.0010,1.9320,1.9320,321354,0
0039,GFM,D,20040427,1.9320,1.9780,1.9320,1.9320,185497,0
0039,GFM,D,20040428,1.9320,1.9780,1.9320,1.9320,97807,0
0039,GFM,D,20040429,1.9320,1.9320,1.8860,1.9090,178151,0
0039,GFM,D,20040430,1.9090,1.9090,1.8630,1.8630,190185,0
0039,GFM,D,20040505,1.9090,1.9090,1.8170,1.8630,185370,0
0039,GFM,D,20040506,1.8170,1.8860,1.8170,1.8630,105352,0
0039,GFM,D,20040507,1.8630,1.8630,1.1960,1.7710,181622,0
0039,GFM,D,20040510,1.6560,1.7710,1.5870,1.7020,69905,0
0039,GFM,D,20040511,1.6100,1.6560,1.5640,1.5870,22089,0
0039,GFM,D,20040512,1.5870,1.6790,1.5870,1.6790,124561,0
0039,GFM,D,20040513,1.6330,1.6560,1.5870,1.6560,191051,0
0039,GFM,D,20040514,1.6100,1.6100,1.5870,1.6100,18499,0
0039,GFM,D,20040517,1.5870,1.5870,1.5180,1.5410,4818,0
0039,GFM,D,20040518,1.5180,1.5180,1.4490,1.4950,111725,0
0039,GFM,D,20040519,1.4950,1.4950,1.4490,1.4950,12054,0
0039,GFM,D,20040520,1.4720,1.4950,1.4490,1.4950,4378,0
0039,GFM,D,20040521,1.4720,1.4720,1.4490,1.4490,8958,0
0039,GFM,D,20040524,1.4720,1.4720,1.3800,1.4490,15856,0
