<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0021,GHLSYS,D,20030409,0.2597,0.2781,0.2230,0.2276,16127064,0
0021,GHLSYS,D,20030410,0.2276,0.2276,0.2139,0.2185,997615,0
0021,GHLSYS,D,20030411,0.2139,0.2139,0.2001,0.2093,5067951,0
0021,GHLSYS,D,20030414,0.2047,0.2047,0.1956,0.2047,1508435,0
0021,GHLSYS,D,20030415,0.2047,0.2093,0.1909,0.2001,3017220,0
0021,GHLSYS,D,20030416,0.2001,0.2001,0.1909,0.1956,559546,0
0021,GHLSYS,D,20030417,0.1956,0.1956,0.1864,0.1909,1000975,0
0021,GHLSYS,D,20030418,0.1909,0.1909,0.1864,0.1909,423150,0
0021,GHLSYS,D,20030421,0.1909,0.1909,0.1818,0.1909,362087,0
0021,GHLSYS,D,20030422,0.1909,0.2047,0.1864,0.2047,1278404,0
0021,GHLSYS,D,20030423,0.2047,0.2047,0.1956,0.2001,258351,0
0021,GHLSYS,D,20030424,0.2001,0.2001,0.1909,0.1956,370247,0
0021,GHLSYS,D,20030425,0.1956,0.1956,0.1909,0.1956,29863,0
0021,GHLSYS,D,20030428,0.1956,0.1956,0.1909,0.1956,115402,0
0021,GHLSYS,D,20030429,0.1956,0.2001,0.1956,0.2001,157599,0
0021,GHLSYS,D,20030430,0.2001,0.2001,0.1956,0.2001,111918,0
0021,GHLSYS,D,20030502,0.2001,0.2001,0.1956,0.2001,67252,0
0021,GHLSYS,D,20030505,0.2001,0.2001,0.1909,0.2001,218253,0
0021,GHLSYS,D,20030506,0.2001,0.2001,0.1864,0.1909,644187,0
0021,GHLSYS,D,20030507,0.1909,0.1909,0.1909,0.1909,218766,0
0021,GHLSYS,D,20030508,0.1909,0.1956,0.1909,0.1956,34924,0
0021,GHLSYS,D,20030509,0.1909,0.2001,0.1909,0.2001,301494,0
0021,GHLSYS,D,20030512,0.1956,0.2047,0.1956,0.2047,904349,0
0021,GHLSYS,D,20030513,0.2047,0.2047,0.1956,0.2001,413158,0
0021,GHLSYS,D,20030516,0.1956,0.2001,0.1956,0.1956,217644,0
0021,GHLSYS,D,20030519,0.1956,0.2001,0.1956,0.2001,294641,0
0021,GHLSYS,D,20030520,0.2001,0.2001,0.1956,0.2001,195920,0
0021,GHLSYS,D,20030521,0.1956,0.2047,0.1956,0.2047,996463,0
0021,GHLSYS,D,20030522,0.2001,0.2047,0.2001,0.2047,285758,0
0021,GHLSYS,D,20030523,0.2047,0.2139,0.2047,0.2093,1704368,0
0021,GHLSYS,D,20030526,0.2139,0.2185,0.2093,0.2139,1659439,0
0021,GHLSYS,D,20030527,0.2139,0.2185,0.2139,0.2185,1614332,0
0021,GHLSYS,D,20030528,0.2230,0.2368,0.2230,0.2368,3693835,0
0021,GHLSYS,D,20030529,0.2368,0.2460,0.2322,0.2322,1817618,0
0021,GHLSYS,D,20030530,0.2322,0.2322,0.2230,0.2230,1262632,0
0021,GHLSYS,D,20030602,0.2276,0.2276,0.2185,0.2276,431727,0
0021,GHLSYS,D,20030603,0.2230,0.2276,0.2139,0.2230,981334,0
0021,GHLSYS,D,20030604,0.2230,0.2230,0.2185,0.2230,293886,0
0021,GHLSYS,D,20030605,0.2230,0.2322,0.2230,0.2322,1494131,0
0021,GHLSYS,D,20030606,0.2368,0.2368,0.2322,0.2368,718296,0
0021,GHLSYS,D,20030609,0.2368,0.2414,0.2322,0.2414,2596053,0
0021,GHLSYS,D,20030610,0.2414,0.2460,0.2322,0.2414,2105328,0
0021,GHLSYS,D,20030611,0.2460,0.2505,0.2414,0.2505,1820425,0
0021,GHLSYS,D,20030612,0.2505,0.2505,0.2368,0.2460,1918967,0
0021,GHLSYS,D,20030613,0.2414,0.2505,0.2368,0.2414,2001486,0
0021,GHLSYS,D,20030616,0.2414,0.2460,0.2368,0.2414,2077879,0
0021,GHLSYS,D,20030617,0.2460,0.2552,0.2414,0.2552,4665056,0
0021,GHLSYS,D,20030618,0.2552,0.2597,0.2505,0.2505,2696464,0
0021,GHLSYS,D,20030619,0.2505,0.2552,0.2460,0.2552,1604304,0
0021,GHLSYS,D,20030620,0.2552,0.2552,0.2505,0.2552,1373147,0
0021,GHLSYS,D,20030623,0.2552,0.2552,0.2460,0.2460,1249910,0
0021,GHLSYS,D,20030624,0.2460,0.2460,0.2368,0.2368,888113,0
0021,GHLSYS,D,20030625,0.2460,0.2505,0.2414,0.2505,1600571,0
0021,GHLSYS,D,20030626,0.2505,0.2826,0.2460,0.2735,7255291,0
0021,GHLSYS,D,20030627,0.2781,0.3010,0.2781,0.2964,12293039,0
0021,GHLSYS,D,20030630,0.2964,0.3148,0.2918,0.2964,7612236,0
0021,GHLSYS,D,20030701,0.3010,0.3010,0.2872,0.3010,2872075,0
0021,GHLSYS,D,20030702,0.3010,0.3148,0.2964,0.3101,4969067,0
0021,GHLSYS,D,20030703,0.3148,0.3193,0.3010,0.3010,3429229,0
0021,GHLSYS,D,20030704,0.3056,0.3101,0.2964,0.3056,3367618,0
0021,GHLSYS,D,20030707,0.3056,0.3514,0.3056,0.3514,12529472,0
0021,GHLSYS,D,20030708,0.3560,0.4018,0.3560,0.3835,12554077,0
0021,GHLSYS,D,20030709,0.3927,0.4248,0.3881,0.4248,13157132,0
0021,GHLSYS,D,20030710,0.4248,0.4706,0.4202,0.4293,14690834,0
0021,GHLSYS,D,20030711,0.4248,0.4660,0.4248,0.4660,11599694,0
0021,GHLSYS,D,20030714,0.4706,0.4935,0.4706,0.4752,14605448,0
0021,GHLSYS,D,20030715,0.4798,0.4844,0.4248,0.4431,7385603,0
