<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
3204,GKENT,D,19940103,2.6757,2.7938,2.6757,2.7347,121986,0
3204,GKENT,D,19940104,2.7938,2.9708,2.7347,2.9708,310047,0
3204,GKENT,D,19940105,3.0102,3.0102,2.9118,2.9118,86407,0
3204,GKENT,D,19940106,2.8921,2.9118,2.8331,2.8725,43203,0
3204,GKENT,D,19940107,2.8921,2.8921,2.7544,2.8134,205851,0
3204,GKENT,D,19940110,2.8331,2.8331,2.8134,2.8331,12707,0
3204,GKENT,D,19940111,2.6954,2.7544,2.6757,2.6757,33038,0
3204,GKENT,D,19940112,2.5577,2.5577,2.3216,2.3216,251596,0
3204,GKENT,D,19940113,2.3216,2.4003,2.3216,2.3413,45745,0
3204,GKENT,D,19940114,2.4593,2.5183,2.3609,2.3609,43203,0
3204,GKENT,D,19940117,2.3609,2.3609,2.2822,2.2822,132151,0
3204,GKENT,D,19940119,2.2822,2.2822,2.2822,2.2822,15248,0
3204,GKENT,D,19940120,2.3019,2.3019,2.2822,2.3019,12707,0
3204,GKENT,D,19940121,2.3216,2.3609,2.3216,2.3609,50827,0
3204,GKENT,D,19940124,2.3413,2.3609,2.3216,2.3216,193144,0
3204,GKENT,D,19940125,2.3019,2.3019,2.2626,2.2626,66076,0
3204,GKENT,D,19940126,2.0068,2.2626,1.9517,2.2626,119444,0
3204,GKENT,D,19940127,2.1642,2.1839,2.1445,2.1445,442199,0
3204,GKENT,D,19940128,2.1642,2.2626,2.1642,2.1642,144858,0
3204,GKENT,D,19940131,2.1642,2.1642,2.1642,2.1642,371040,0
3204,GKENT,D,19940202,2.2429,2.4003,2.2035,2.3806,198227,0
3204,GKENT,D,19940203,2.4790,2.5577,2.4593,2.5577,228723,0
3204,GKENT,D,19940204,2.6167,2.7938,2.6167,2.7544,1024173,0
3204,GKENT,D,19940207,2.5577,2.6560,2.5577,2.6167,297340,0
3204,GKENT,D,19940208,2.6167,2.7347,2.5183,2.7347,60993,0
3204,GKENT,D,19940214,2.7544,2.7544,2.6757,2.6757,182979,0
3204,GKENT,D,19940218,2.6757,2.8134,2.6167,2.6167,35579,0
3204,GKENT,D,19940221,2.5970,2.5970,2.5773,2.5970,63534,0
3204,GKENT,D,19940222,2.5970,2.5970,2.5773,2.5773,40662,0
3204,GKENT,D,19940223,2.4987,2.5183,2.4790,2.4987,325296,0
3204,GKENT,D,19940224,2.5183,2.5183,2.4200,2.4396,432033,0
3204,GKENT,D,19940225,2.4200,2.4593,2.4200,2.4396,277009,0
3204,GKENT,D,19940228,2.4396,2.5577,2.4396,2.5577,716667,0
3204,GKENT,D,19940301,2.5970,2.6757,2.5970,2.6364,121986,0
3204,GKENT,D,19940302,2.6364,2.6364,2.5380,2.5380,106738,0
3204,GKENT,D,19940303,2.5380,2.5380,2.5183,2.5380,30496,0
3204,GKENT,D,19940307,2.4593,2.4593,2.4396,2.4593,111820,0
3204,GKENT,D,19940308,2.4396,2.4396,2.4003,2.4003,10165,0
3204,GKENT,D,19940309,2.4003,2.4003,2.3609,2.3609,155024,0
3204,GKENT,D,19940310,2.3609,2.3609,2.2822,2.2822,114362,0
3204,GKENT,D,19940311,2.2822,2.3216,2.2822,2.2822,43203,0
3204,GKENT,D,19940317,2.1248,2.1248,2.1248,2.1248,5083,0
3204,GKENT,D,19940318,2.0855,2.0855,1.9871,1.9871,83865,0
3204,GKENT,D,19940321,1.9871,1.9871,1.9674,1.9674,40662,0
3204,GKENT,D,19940322,1.9674,1.9674,1.9281,1.9360,66076,0
3204,GKENT,D,19940323,1.9674,1.9871,1.9674,1.9674,149941,0
3204,GKENT,D,19940324,1.9674,1.9674,1.9674,1.9674,48286,0
3204,GKENT,D,19940325,1.9596,1.9596,1.9596,1.9596,2541,0
3204,GKENT,D,19940328,1.9674,1.9674,1.9281,1.9517,88948,0
3204,GKENT,D,19940329,1.9674,1.9674,1.9596,1.9674,10165,0
3204,GKENT,D,19940330,2.1642,2.1642,1.9674,1.9674,116903,0
3204,GKENT,D,19940331,1.9517,1.9871,1.9281,1.9674,243972,0
3204,GKENT,D,19940401,1.9596,1.9596,1.9438,1.9438,307506,0
3204,GKENT,D,19940404,1.9202,1.9438,1.9202,1.9202,33038,0
3204,GKENT,D,19940405,1.9674,1.9674,1.8887,1.8887,129610,0
