<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5220,GLOTEC,D,20120531,2.4000,2.4000,2.0000,2.1000,7283845,0
5220,GLOTEC,D,20120601,2.1000,2.2000,1.9000,2.0000,1942720,0
5220,GLOTEC,D,20120604,2.0000,2.0000,1.9000,2.0000,444450,0
5220,GLOTEC,D,20120605,2.0000,2.1000,1.9000,2.0000,3551445,0
5220,GLOTEC,D,20120606,2.0000,2.1000,1.9000,2.0000,1002890,0
5220,GLOTEC,D,20120607,2.0000,2.0000,1.9000,1.9000,590830,0
5220,GLOTEC,D,20120608,1.9000,2.0000,1.9000,1.9000,228305,0
5220,GLOTEC,D,20120611,1.9000,2.0000,1.8000,1.8000,766955,0
5220,GLOTEC,D,20120612,1.9000,1.9000,1.8000,1.8000,491480,0
5220,GLOTEC,D,20120613,1.8000,1.9000,1.8000,1.8000,235725,0
5220,GLOTEC,D,20120614,1.8000,1.9000,1.8000,1.8000,191545,0
5220,GLOTEC,D,20120615,1.8000,1.9000,1.8000,1.8000,168465,0
5220,GLOTEC,D,20120618,1.9000,1.9000,1.8000,1.8000,153735,0
5220,GLOTEC,D,20120619,1.8000,1.9000,1.8000,1.9000,121725,0
5220,GLOTEC,D,20120620,1.9000,2.1000,1.8000,2.0000,1912005,0
5220,GLOTEC,D,20120621,2.0000,2.1000,1.9000,1.9000,1254595,0
5220,GLOTEC,D,20120622,1.9000,1.9000,1.8000,1.9000,279275,0
5220,GLOTEC,D,20120625,1.9000,2.0000,1.8000,1.9000,310080,0
5220,GLOTEC,D,20120626,1.9000,2.0000,1.8000,1.9000,354180,0
5220,GLOTEC,D,20120627,1.9000,2.0000,1.8000,1.9000,246080,0
5220,GLOTEC,D,20120628,1.9000,1.9000,1.8000,1.8000,86800,0
5220,GLOTEC,D,20120629,1.9000,1.9000,1.8000,1.8000,99500,0
5220,GLOTEC,D,20120702,1.9000,1.9000,1.8000,1.8000,97745,0
5220,GLOTEC,D,20120703,1.8000,1.9000,1.8000,1.9000,107610,0
5220,GLOTEC,D,20120704,1.8000,1.9000,1.8000,1.9000,53495,0
5220,GLOTEC,D,20120705,1.9000,1.9000,1.8000,1.8000,139435,0
5220,GLOTEC,D,20120706,1.9000,1.9000,1.8000,1.9000,651705,0
5220,GLOTEC,D,20120709,1.8000,1.9000,1.8000,1.8000,115705,0
5220,GLOTEC,D,20120710,1.8000,1.8000,1.7000,1.8000,560210,0
5220,GLOTEC,D,20120711,1.8000,1.8000,1.7000,1.7000,84760,0
5220,GLOTEC,D,20120712,1.7000,1.8000,1.7000,1.8000,71365,0
5220,GLOTEC,D,20120713,1.7000,1.8000,1.7000,1.7000,72990,0
5220,GLOTEC,D,20120716,1.8000,1.8000,1.7000,1.7000,513970,0
5220,GLOTEC,D,20120717,1.7000,1.8000,1.7000,1.7000,140460,0
5220,GLOTEC,D,20120718,1.7000,1.8000,1.6000,1.7000,182740,0
5220,GLOTEC,D,20120719,1.7000,1.7000,1.5000,1.6000,1369800,0
5220,GLOTEC,D,20120720,1.6000,1.7000,1.6000,1.6000,59095,0
5220,GLOTEC,D,20120723,1.6000,1.7000,1.6000,1.6000,301380,0
5220,GLOTEC,D,20120724,1.6000,1.6000,1.6000,1.6000,88300,0
5220,GLOTEC,D,20120725,1.6000,1.7000,1.6000,1.6000,120285,0
5220,GLOTEC,D,20120726,1.6000,1.6000,1.6000,1.6000,64655,0
5220,GLOTEC,D,20120727,1.6000,1.7000,1.6000,1.6000,55630,0
5220,GLOTEC,D,20120730,1.6000,1.7000,1.6000,1.7000,66895,0
5220,GLOTEC,D,20120731,1.7000,1.7000,1.6000,1.7000,6665,0
5220,GLOTEC,D,20120801,1.6000,1.7000,1.6000,1.6000,45590,0
5220,GLOTEC,D,20120802,1.6000,1.6000,1.6000,1.6000,133230,0
5220,GLOTEC,D,20120803,1.6000,1.7000,1.6000,1.7000,183215,0
5220,GLOTEC,D,20120806,1.6000,1.6000,1.6000,1.6000,9575,0
5220,GLOTEC,D,20120807,1.6000,1.7000,1.6000,1.7000,332475,0
5220,GLOTEC,D,20120808,1.6000,1.7000,1.6000,1.7000,181200,0
5220,GLOTEC,D,20120809,1.7000,1.7000,1.6000,1.7000,92330,0
5220,GLOTEC,D,20120810,1.6000,1.6000,1.6000,1.6000,161660,0
5220,GLOTEC,D,20120813,1.6000,1.6000,1.5000,1.6000,174300,0
5220,GLOTEC,D,20120814,1.6000,1.6000,1.5000,1.5000,51670,0
5220,GLOTEC,D,20120815,1.6000,1.7000,1.5000,1.6000,778810,0
5220,GLOTEC,D,20120816,1.6000,1.7000,1.5000,1.6000,683395,0
5220,GLOTEC,D,20120817,1.6000,1.7000,1.6000,1.6000,70165,0
5220,GLOTEC,D,20120822,1.6000,1.7000,1.6000,1.6000,198505,0
5220,GLOTEC,D,20120823,1.6000,1.6000,1.6000,1.6000,96355,0
5220,GLOTEC,D,20120824,1.7000,1.7000,1.6000,1.6000,107085,0
5220,GLOTEC,D,20120827,1.6000,1.7000,1.5000,1.7000,157205,0
5220,GLOTEC,D,20120828,1.7000,1.7000,1.6000,1.6000,101930,0
5220,GLOTEC,D,20120829,1.7000,1.8000,1.6000,1.7000,1312450,0
5220,GLOTEC,D,20120830,1.7000,1.8000,1.6000,1.6000,1473390,0
5220,GLOTEC,D,20120903,1.6000,1.7000,1.5000,1.5000,278615,0
5220,GLOTEC,D,20120904,1.6000,1.6000,1.5000,1.5000,1711110,0
5220,GLOTEC,D,20120905,1.5000,1.5000,1.4000,1.5000,502455,0
5220,GLOTEC,D,20120906,1.5000,1.5000,1.3000,1.5000,1975205,0
5220,GLOTEC,D,20120907,1.5000,1.6000,1.5000,1.5000,1052935,0
5220,GLOTEC,D,20120910,1.5000,1.5000,1.4000,1.4000,361595,0
5220,GLOTEC,D,20120911,1.4000,1.5000,1.4000,1.5000,145955,0
5220,GLOTEC,D,20120912,1.5000,1.5000,1.4000,1.4000,119725,0
5220,GLOTEC,D,20120913,1.5000,1.5000,1.4000,1.4000,82150,0
5220,GLOTEC,D,20120914,1.5000,1.5000,1.4000,1.5000,128875,0
5220,GLOTEC,D,20120918,1.4000,1.5000,1.4000,1.5000,58770,0
5220,GLOTEC,D,20120919,1.5000,1.5000,1.4000,1.4000,123785,0
5220,GLOTEC,D,20120920,1.5000,1.5000,1.4000,1.5000,176955,0
5220,GLOTEC,D,20120921,1.5000,1.5000,1.4000,1.4000,39000,0
5220,GLOTEC,D,20120924,1.5000,1.5000,1.4000,1.4000,33670,0
5220,GLOTEC,D,20120925,1.4000,1.5000,1.4000,1.4000,76865,0
5220,GLOTEC,D,20120926,1.4000,1.5000,1.4000,1.4000,136695,0
5220,GLOTEC,D,20120927,1.4000,1.5000,1.4000,1.4000,97200,0
5220,GLOTEC,D,20120928,1.4000,1.5000,1.4000,1.4000,24030,0
5220,GLOTEC,D,20121001,1.4000,1.5000,1.4000,1.5000,72790,0
5220,GLOTEC,D,20121002,1.5000,1.5000,1.4000,1.5000,97275,0
5220,GLOTEC,D,20121003,1.4000,1.4000,1.4000,1.4000,163660,0
5220,GLOTEC,D,20121004,1.4000,1.5000,1.4000,1.4000,343775,0
5220,GLOTEC,D,20121005,1.5000,1.5000,1.4000,1.4000,45155,0
5220,GLOTEC,D,20121008,1.4000,1.5000,1.4000,1.4000,252995,0
5220,GLOTEC,D,20121009,1.4000,1.4000,1.4000,1.4000,29945,0
5220,GLOTEC,D,20121010,1.4000,1.5000,1.4000,1.5000,247920,0
5220,GLOTEC,D,20121011,1.5000,1.5000,1.4000,1.4000,200735,0
5220,GLOTEC,D,20121012,1.4000,1.5000,1.4000,1.4000,99125,0
5220,GLOTEC,D,20121015,1.4000,1.5000,1.4000,1.4000,172605,0
5220,GLOTEC,D,20121016,1.4000,1.5000,1.4000,1.4000,450715,0
5220,GLOTEC,D,20121017,1.4000,1.5000,1.3000,1.4000,447700,0
5220,GLOTEC,D,20121018,1.4000,1.5000,1.4000,1.5000,57010,0
5220,GLOTEC,D,20121019,1.4000,1.4000,1.4000,1.4000,86990,0
5220,GLOTEC,D,20121022,1.4000,1.5000,1.4000,1.4000,71370,0
5220,GLOTEC,D,20121023,1.4000,1.5000,1.4000,1.4000,122435,0
5220,GLOTEC,D,20121024,1.4000,1.5000,1.4000,1.4000,170175,0
5220,GLOTEC,D,20121025,1.4000,1.5000,1.4000,1.5000,169720,0
5220,GLOTEC,D,20121029,1.5000,1.5000,1.4000,1.4000,81705,0
5220,GLOTEC,D,20121030,1.4000,1.5000,1.4000,1.5000,64410,0
5220,GLOTEC,D,20121031,1.4000,1.5000,1.4000,1.4000,99360,0
5220,GLOTEC,D,20121101,1.4000,1.5000,1.4000,1.4000,33740,0
5220,GLOTEC,D,20121102,1.4000,1.5000,1.4000,1.5000,105600,0
5220,GLOTEC,D,20121105,1.5000,1.5000,1.4000,1.4000,45180,0
5220,GLOTEC,D,20121106,1.4000,1.4000,1.4000,1.4000,134325,0
5220,GLOTEC,D,20121107,1.4000,1.5000,1.4000,1.4000,127110,0
5220,GLOTEC,D,20121108,1.4000,1.5000,1.4000,1.5000,42250,0
5220,GLOTEC,D,20121109,1.4000,1.5000,1.4000,1.4000,212105,0
5220,GLOTEC,D,20121112,1.5000,1.5000,1.4000,1.4000,24500,0
5220,GLOTEC,D,20121114,1.4000,1.5000,1.4000,1.5000,67765,0
5220,GLOTEC,D,20121116,1.4000,1.4000,1.4000,1.4000,133150,0
5220,GLOTEC,D,20121119,1.4000,1.5000,1.4000,1.4000,29780,0
5220,GLOTEC,D,20121120,1.4000,1.4000,1.4000,1.4000,346880,0
5220,GLOTEC,D,20121121,1.4000,1.4000,1.4000,1.4000,45615,0
5220,GLOTEC,D,20121122,1.4000,1.4000,1.4000,1.4000,122385,0
5220,GLOTEC,D,20121123,1.4000,1.4000,1.3000,1.4000,37170,0
5220,GLOTEC,D,20121126,1.4000,1.4000,1.3000,1.3000,37350,0
5220,GLOTEC,D,20121127,1.3000,1.4000,1.3000,1.4000,116315,0
5220,GLOTEC,D,20121128,1.4000,1.4000,1.3000,1.3000,25960,0
5220,GLOTEC,D,20121129,1.3000,1.4000,1.3000,1.4000,13200,0
5220,GLOTEC,D,20121130,1.4000,1.4000,1.3000,1.3000,14425,0
5220,GLOTEC,D,20121203,1.3000,1.4000,1.3000,1.4000,70790,0
5220,GLOTEC,D,20121204,1.3000,1.4000,1.3000,1.4000,43720,0
5220,GLOTEC,D,20121205,1.4000,1.4000,1.3000,1.3000,112850,0
5220,GLOTEC,D,20121206,1.4000,1.4000,1.3000,1.3000,64930,0
5220,GLOTEC,D,20121207,1.3000,1.4000,1.3000,1.3000,24165,0
