<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0208,GREATEC,D,20190613,0.3175,0.3900,0.3175,0.3700,385442800,0
0208,GREATEC,D,20190614,0.3775,0.4275,0.3775,0.4050,224210400,0
0208,GREATEC,D,20190617,0.4175,0.4500,0.4150,0.4500,155926200,0
0208,GREATEC,D,20190618,0.4625,0.5000,0.4450,0.4950,191351800,0
0208,GREATEC,D,20190619,0.4975,0.5050,0.4725,0.4825,112346600,0
0208,GREATEC,D,20190620,0.4775,0.5350,0.4575,0.5300,208689400,0
0208,GREATEC,D,20190621,0.5250,0.5450,0.5100,0.5100,85614000,0
0208,GREATEC,D,20190624,0.5150,0.5400,0.4925,0.5200,50837600,0
0208,GREATEC,D,20190625,0.5200,0.5250,0.4975,0.5000,25293400,0
0208,GREATEC,D,20190626,0.4975,0.5150,0.4900,0.4950,28004200,0
0208,GREATEC,D,20190627,0.4925,0.5100,0.4900,0.4975,21562600,0
0208,GREATEC,D,20190628,0.5000,0.5000,0.4850,0.4850,16378000,0
0208,GREATEC,D,20190701,0.4950,0.5600,0.4950,0.5600,83681400,0
0208,GREATEC,D,20190702,0.5600,0.5900,0.5500,0.5550,59714800,0
0208,GREATEC,D,20190703,0.5550,0.5750,0.5550,0.5700,21474800,0
0208,GREATEC,D,20190704,0.5650,0.5750,0.5550,0.5650,15083000,0
0208,GREATEC,D,20190705,0.5700,0.5950,0.5600,0.5700,41717600,0
0208,GREATEC,D,20190708,0.5700,0.5750,0.5250,0.5450,28377000,0
0208,GREATEC,D,20190709,0.5450,0.5550,0.5300,0.5400,11495600,0
0208,GREATEC,D,20190710,0.5400,0.5550,0.5350,0.5500,18137600,0
0208,GREATEC,D,20190711,0.5500,0.5700,0.5450,0.5650,27381400,0
0208,GREATEC,D,20190712,0.5600,0.5800,0.5400,0.5450,25747200,0
0208,GREATEC,D,20190715,0.5500,0.5650,0.5400,0.5450,8123200,0
0208,GREATEC,D,20190716,0.5450,0.5550,0.5350,0.5450,9365000,0
0208,GREATEC,D,20190717,0.5450,0.5450,0.5350,0.5400,7449000,0
0208,GREATEC,D,20190718,0.5350,0.5400,0.5150,0.5250,8946400,0
0208,GREATEC,D,20190719,0.5250,0.5350,0.5200,0.5350,5664600,0
0208,GREATEC,D,20190722,0.5300,0.5400,0.5200,0.5250,6663400,0
0208,GREATEC,D,20190723,0.5250,0.5450,0.5150,0.5300,22568600,0
0208,GREATEC,D,20190724,0.5350,0.5400,0.5250,0.5250,6039800,0
0208,GREATEC,D,20190725,0.5250,0.5300,0.5200,0.5200,2981000,0
0208,GREATEC,D,20190726,0.5150,0.5150,0.4950,0.5000,18742600,0
0208,GREATEC,D,20190729,0.4975,0.5050,0.4900,0.4925,8427600,0
0208,GREATEC,D,20190731,0.4950,0.5200,0.4950,0.5150,17879200,0
0208,GREATEC,D,20190801,0.5100,0.5250,0.5050,0.5100,7114200,0
0208,GREATEC,D,20190802,0.4975,0.5050,0.4950,0.5000,6170200,0
0208,GREATEC,D,20190805,0.4975,0.4975,0.4800,0.4825,6070000,0
0208,GREATEC,D,20190806,0.4625,0.4875,0.4550,0.4800,10514400,0
0208,GREATEC,D,20190807,0.4825,0.4825,0.4600,0.4700,5273000,0
0208,GREATEC,D,20190808,0.4725,0.4850,0.4675,0.4825,7597800,0
0208,GREATEC,D,20190809,0.4850,0.5050,0.4800,0.4925,12851800,0
0208,GREATEC,D,20190813,0.4850,0.4850,0.4800,0.4850,3827000,0
0208,GREATEC,D,20190814,0.4900,0.5250,0.4900,0.5000,21865800,0
0208,GREATEC,D,20190815,0.4850,0.5150,0.4825,0.5000,7751400,0
0208,GREATEC,D,20190816,0.5100,0.5200,0.4975,0.5100,7053600,0
0208,GREATEC,D,20190819,0.5200,0.5350,0.5150,0.5300,18331000,0
0208,GREATEC,D,20190820,0.5350,0.5600,0.5350,0.5450,21888400,0
0208,GREATEC,D,20190821,0.5400,0.5600,0.5400,0.5550,7465800,0
0208,GREATEC,D,20190822,0.5550,0.5700,0.5450,0.5500,13159000,0
0208,GREATEC,D,20190823,0.5550,0.5700,0.5500,0.5550,21400000,0
0208,GREATEC,D,20190826,0.5450,0.5900,0.5450,0.5850,28947200,0
0208,GREATEC,D,20190827,0.6000,0.6050,0.5600,0.5700,38143000,0
0208,GREATEC,D,20190828,0.5750,0.5850,0.5500,0.5800,11396400,0
0208,GREATEC,D,20190829,0.5800,0.5800,0.5550,0.5650,8038200,0
0208,GREATEC,D,20190830,0.5700,0.5750,0.5650,0.5750,6811400,0
0208,GREATEC,D,20190903,0.5750,0.5750,0.5600,0.5700,3445200,0
0208,GREATEC,D,20190904,0.5700,0.6150,0.5600,0.6150,27405000,0
0208,GREATEC,D,20190905,0.6150,0.6550,0.6150,0.6400,29244000,0
0208,GREATEC,D,20190906,0.6450,0.6900,0.6450,0.6900,23835600,0
0208,GREATEC,D,20190910,0.7000,0.7350,0.6850,0.7250,19350000,0
0208,GREATEC,D,20190911,0.7250,0.7300,0.6900,0.7050,11586800,0
0208,GREATEC,D,20190912,0.7100,0.7150,0.6950,0.7050,4496600,0
0208,GREATEC,D,20190913,0.7100,0.7500,0.7100,0.7450,20467000,0
0208,GREATEC,D,20190917,0.7400,0.7700,0.7350,0.7600,5818200,0
0208,GREATEC,D,20190918,0.7600,0.7650,0.7450,0.7500,2519200,0
0208,GREATEC,D,20190919,0.7550,0.7950,0.7550,0.7700,19358800,0
0208,GREATEC,D,20190920,0.7700,0.7750,0.7450,0.7550,8428200,0
0208,GREATEC,D,20190923,0.7550,0.7600,0.7250,0.7350,5048200,0
0208,GREATEC,D,20190924,0.7350,0.7700,0.7300,0.7600,6113400,0
0208,GREATEC,D,20190925,0.7600,0.7700,0.7400,0.7400,4564600,0
0208,GREATEC,D,20190926,0.7500,0.7550,0.7400,0.7450,1128800,0
0208,GREATEC,D,20190927,0.7450,0.7450,0.7350,0.7400,1639000,0
0208,GREATEC,D,20190930,0.7400,0.7600,0.7300,0.7500,3984400,0
0208,GREATEC,D,20191001,0.7500,0.7600,0.7450,0.7550,4142800,0
0208,GREATEC,D,20191002,0.7500,0.7700,0.7450,0.7600,8557200,0
0208,GREATEC,D,20191003,0.7550,0.7700,0.7500,0.7550,2851800,0
0208,GREATEC,D,20191004,0.7650,0.7900,0.7650,0.7750,13801400,0
0208,GREATEC,D,20191007,0.7800,0.8200,0.7750,0.8100,13463200,0
0208,GREATEC,D,20191008,0.8150,0.8450,0.8150,0.8400,13060400,0
0208,GREATEC,D,20191009,0.8400,0.9100,0.8050,0.8850,13580600,0
0208,GREATEC,D,20191010,0.8950,0.9100,0.8800,0.8900,8217200,0
0208,GREATEC,D,20191011,0.8900,0.9100,0.8800,0.9000,3718200,0
0208,GREATEC,D,20191014,0.9050,0.9800,0.9050,0.9700,12629800,0
0208,GREATEC,D,20191015,0.9900,1.0100,0.9600,0.9700,15359600,0
0208,GREATEC,D,20191016,0.9800,0.9850,0.9200,0.9250,7838600,0
0208,GREATEC,D,20191017,0.9250,0.9700,0.9200,0.9600,6385000,0
0208,GREATEC,D,20191018,0.9650,0.9800,0.9600,0.9700,3150200,0
0208,GREATEC,D,20191021,0.9700,0.9850,0.9600,0.9800,5601000,0
0208,GREATEC,D,20191022,0.9850,1.0000,0.9600,0.9600,8592800,0
0208,GREATEC,D,20191023,0.9600,0.9750,0.9450,0.9600,5417000,0
0208,GREATEC,D,20191024,0.9600,0.9600,0.9500,0.9500,2780000,0
0208,GREATEC,D,20191025,0.9500,0.9550,0.9100,0.9300,7883000,0
0208,GREATEC,D,20191029,0.9250,0.9400,0.9100,0.9200,2847400,0
