<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7022,GTRONIC,D,19971103,0.2344,0.2584,0.2219,0.2323,63330570,0
7022,GTRONIC,D,19971104,0.2397,0.2437,0.2136,0.2250,9693361,0
7022,GTRONIC,D,19971105,0.2188,0.2239,0.2146,0.2230,4914786,0
7022,GTRONIC,D,19971106,0.2230,0.2355,0.2177,0.2344,5877298,0
7022,GTRONIC,D,19971107,0.2323,0.2468,0.2313,0.2344,10017020,0
7022,GTRONIC,D,19971110,0.2270,0.2292,0.2177,0.2250,5272561,0
7022,GTRONIC,D,19971111,0.2239,0.2313,0.2188,0.2188,5928409,0
7022,GTRONIC,D,19971112,0.2199,0.2230,0.2188,0.2208,1558720,0
7022,GTRONIC,D,19971113,0.2199,0.2292,0.2177,0.2292,1379865,0
7022,GTRONIC,D,19971114,0.2292,0.2292,0.2250,0.2261,1993131,0
7022,GTRONIC,D,19971117,0.2270,0.2270,0.2177,0.2199,4608185,0
7022,GTRONIC,D,19971118,0.2177,0.2177,0.2094,0.2114,3526392,0
7022,GTRONIC,D,19971119,0.2083,0.2083,0.1845,0.1927,1686530,0
7022,GTRONIC,D,19971120,0.1927,0.1927,0.1542,0.1542,1439505,0
7022,GTRONIC,D,19971121,0.1542,0.1547,0.1417,0.1536,1149898,0
7022,GTRONIC,D,19971124,0.1527,0.1536,0.1433,0.1433,689900,0
7022,GTRONIC,D,19971125,0.1291,0.1402,0.1251,0.1291,536568,0
7022,GTRONIC,D,19971126,0.1224,0.1224,0.1120,0.1188,442875,0
7022,GTRONIC,D,19971127,0.1188,0.1297,0.1188,0.1297,408823,0
7022,GTRONIC,D,19971128,0.1396,0.1427,0.1297,0.1297,417352,0
7022,GTRONIC,D,19971201,0.1120,0.1135,0.1095,0.1131,792122,0
7022,GTRONIC,D,19971202,0.1115,0.1251,0.1095,0.1146,3066394,0
7022,GTRONIC,D,19971203,0.1213,0.1213,0.1151,0.1213,59576,0
7022,GTRONIC,D,19971204,0.1219,0.1329,0.1219,0.1271,613266,0
7022,GTRONIC,D,19971205,0.1224,0.1251,0.1209,0.1224,724017,0
7022,GTRONIC,D,19971208,0.1291,0.1355,0.1291,0.1307,570684,0
7022,GTRONIC,D,19971209,0.1302,0.1302,0.1251,0.1251,153268,0
