<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5168,HARTA,D,20080417,0.1625,0.1683,0.1567,0.1592,273720000,0
5168,HARTA,D,20080418,0.1592,0.1592,0.1517,0.1517,42812400,0
5168,HARTA,D,20080421,0.1517,0.1575,0.1517,0.1533,20798400,0
5168,HARTA,D,20080422,0.1533,0.1533,0.1500,0.1525,8673600,0
5168,HARTA,D,20080423,0.1508,0.1508,0.1458,0.1492,26454000,0
5168,HARTA,D,20080424,0.1500,0.1508,0.1450,0.1467,11625600,0
5168,HARTA,D,20080425,0.1450,0.1467,0.1433,0.1458,6522000,0
5168,HARTA,D,20080428,0.1467,0.1483,0.1467,0.1483,9339600,0
5168,HARTA,D,20080429,0.1475,0.1483,0.1425,0.1458,9040800,0
5168,HARTA,D,20080430,0.1458,0.1458,0.1433,0.1450,3697200,0
5168,HARTA,D,20080502,0.1433,0.1450,0.1425,0.1450,1368000,0
5168,HARTA,D,20080505,0.1433,0.1433,0.1400,0.1400,6210000,0
5168,HARTA,D,20080506,0.1400,0.1408,0.1375,0.1400,3019200,0
5168,HARTA,D,20080507,0.1408,0.1408,0.1392,0.1392,1260000,0
5168,HARTA,D,20080508,0.1392,0.1392,0.1367,0.1375,2008800,0
5168,HARTA,D,20080509,0.1375,0.1383,0.1375,0.1375,2443200,0
5168,HARTA,D,20080512,0.1375,0.1408,0.1367,0.1408,1188000,0
5168,HARTA,D,20080513,0.1442,0.1442,0.1400,0.1417,1008000,0
5168,HARTA,D,20080514,0.1400,0.1417,0.1392,0.1417,1459200,0
5168,HARTA,D,20080515,0.1408,0.1417,0.1408,0.1417,948000,0
5168,HARTA,D,20080516,0.1408,0.1417,0.1400,0.1417,1038000,0
5168,HARTA,D,20080520,0.1400,0.1408,0.1375,0.1392,1660800,0
5168,HARTA,D,20080521,0.1383,0.1400,0.1367,0.1383,518400,0
5168,HARTA,D,20080522,0.1383,0.1383,0.1375,0.1383,454800,0
5168,HARTA,D,20080523,0.1442,0.1442,0.1383,0.1400,452400,0
5168,HARTA,D,20080526,0.1400,0.1408,0.1375,0.1400,740400,0
5168,HARTA,D,20080527,0.1383,0.1392,0.1383,0.1392,456000,0
5168,HARTA,D,20080528,0.1383,0.1392,0.1367,0.1392,607200,0
5168,HARTA,D,20080529,0.1467,0.1467,0.1417,0.1442,861600,0
5168,HARTA,D,20080530,0.1433,0.1442,0.1400,0.1433,588000,0
5168,HARTA,D,20080602,0.1433,0.1433,0.1375,0.1417,588000,0
5168,HARTA,D,20080603,0.1392,0.1408,0.1392,0.1408,25200,0
5168,HARTA,D,20080604,0.1425,0.1425,0.1408,0.1408,472800,0
5168,HARTA,D,20080605,0.1400,0.1417,0.1358,0.1417,1528800,0
5168,HARTA,D,20080606,0.1408,0.1408,0.1408,0.1408,12000,0
5168,HARTA,D,20080609,0.1358,0.1408,0.1358,0.1408,876000,0
5168,HARTA,D,20080610,0.1408,0.1408,0.1358,0.1358,1153200,0
5168,HARTA,D,20080611,0.1400,0.1400,0.1350,0.1383,228000,0
5168,HARTA,D,20080612,0.1358,0.1375,0.1358,0.1375,768000,0
5168,HARTA,D,20080613,0.1358,0.1367,0.1358,0.1367,48000,0
5168,HARTA,D,20080616,0.1375,0.1383,0.1367,0.1367,168000,0
5168,HARTA,D,20080617,0.1367,0.1367,0.1367,0.1367,0,0
5168,HARTA,D,20080618,0.1267,0.1333,0.1267,0.1325,396000,0
5168,HARTA,D,20080619,0.1283,0.1283,0.1267,0.1275,696000,0
5168,HARTA,D,20080620,0.1275,0.1325,0.1250,0.1325,146400,0
5168,HARTA,D,20080623,0.1325,0.1325,0.1325,0.1325,0,0
5168,HARTA,D,20080624,0.1317,0.1317,0.1250,0.1300,312000,0
5168,HARTA,D,20080625,0.1283,0.1300,0.1283,0.1300,48000,0
5168,HARTA,D,20080626,0.1283,0.1283,0.1267,0.1275,192000,0
5168,HARTA,D,20080627,0.1275,0.1275,0.1233,0.1275,411600,0
5168,HARTA,D,20080630,0.1267,0.1267,0.1233,0.1267,114000,0
5168,HARTA,D,20080701,0.1250,0.1258,0.1217,0.1258,244800,0
5168,HARTA,D,20080702,0.1242,0.1242,0.1208,0.1225,404400,0
5168,HARTA,D,20080703,0.1225,0.1225,0.1225,0.1225,0,0
5168,HARTA,D,20080704,0.1167,0.1217,0.1158,0.1217,205200,0
5168,HARTA,D,20080707,0.1208,0.1208,0.1167,0.1192,360000,0
5168,HARTA,D,20080708,0.1167,0.1167,0.1142,0.1142,180000,0
5168,HARTA,D,20080709,0.1133,0.1167,0.1117,0.1167,770400,0
5168,HARTA,D,20080710,0.1158,0.1250,0.1133,0.1192,706800,0
5168,HARTA,D,20080711,0.1183,0.1183,0.1183,0.1183,30000,0
5168,HARTA,D,20080714,0.1158,0.1158,0.1158,0.1158,24000,0
5168,HARTA,D,20080715,0.1125,0.1125,0.1108,0.1108,264000,0
5168,HARTA,D,20080716,0.1125,0.1125,0.1125,0.1125,4800,0
5168,HARTA,D,20080717,0.1125,0.1167,0.1092,0.1167,61200,0
5168,HARTA,D,20080718,0.1125,0.1158,0.1092,0.1158,108000,0
5168,HARTA,D,20080721,0.1092,0.1133,0.1083,0.1133,229200,0
5168,HARTA,D,20080722,0.1092,0.1092,0.1092,0.1092,24000,0
5168,HARTA,D,20080723,0.1117,0.1158,0.1117,0.1158,84000,0
5168,HARTA,D,20080724,0.1133,0.1225,0.1125,0.1225,286800,0
5168,HARTA,D,20080725,0.1225,0.1225,0.1225,0.1225,0,0
5168,HARTA,D,20080728,0.1217,0.1317,0.1217,0.1317,930000,0
5168,HARTA,D,20080729,0.1317,0.1317,0.1317,0.1317,0,0
5168,HARTA,D,20080730,0.1250,0.1250,0.1233,0.1250,217200,0
5168,HARTA,D,20080731,0.1283,0.1283,0.1233,0.1283,216000,0
5168,HARTA,D,20080801,0.1275,0.1308,0.1250,0.1308,349200,0
5168,HARTA,D,20080804,0.1333,0.1358,0.1325,0.1350,806400,0
5168,HARTA,D,20080805,0.1300,0.1300,0.1300,0.1300,36000,0
