<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
4324,HENGYUAN,D,19940103,8.7000,8.7000,8.4000,8.4000,63000,0
4324,HENGYUAN,D,19940104,8.4500,8.5000,8.3500,8.5000,89000,0
4324,HENGYUAN,D,19940105,8.5000,9.3000,8.5000,8.6500,468000,0
4324,HENGYUAN,D,19940106,8.8000,9.0000,8.5000,8.6000,130000,0
4324,HENGYUAN,D,19940107,8.3500,8.5000,8.2500,8.3000,147000,0
4324,HENGYUAN,D,19940110,8.3000,8.4000,8.2000,8.2000,88000,0
4324,HENGYUAN,D,19940111,7.9000,8.2000,7.9000,7.9000,52000,0
4324,HENGYUAN,D,19940112,7.8500,7.8500,7.2000,7.3500,110000,0
4324,HENGYUAN,D,19940113,7.3500,7.4000,7.0000,7.0000,172000,0
4324,HENGYUAN,D,19940114,7.2000,7.7000,7.2000,7.7000,233000,0
4324,HENGYUAN,D,19940117,7.6000,7.7000,7.4000,7.4000,71000,0
4324,HENGYUAN,D,19940118,7.4000,7.5000,7.3500,7.4500,65000,0
4324,HENGYUAN,D,19940119,7.4500,7.5000,7.3500,7.3500,60000,0
4324,HENGYUAN,D,19940120,7.4000,7.6000,7.3500,7.6000,133000,0
4324,HENGYUAN,D,19940121,7.7000,7.7000,7.6000,7.7000,23000,0
4324,HENGYUAN,D,19940124,7.6000,7.8000,7.3500,7.6000,80000,0
4324,HENGYUAN,D,19940125,7.6000,7.6000,7.3500,7.4500,114000,0
4324,HENGYUAN,D,19940126,7.3500,7.3500,7.1000,7.3000,71000,0
4324,HENGYUAN,D,19940127,7.4500,7.5000,7.4500,7.5000,4000,0
4324,HENGYUAN,D,19940128,7.4500,7.5000,7.4500,7.5000,122000,0
4324,HENGYUAN,D,19940131,7.7000,8.0000,7.7000,8.0000,78000,0
4324,HENGYUAN,D,19940202,8.1000,8.2000,8.1000,8.1000,96000,0
4324,HENGYUAN,D,19940203,8.1500,8.2000,8.1000,8.1000,55000,0
4324,HENGYUAN,D,19940204,8.2000,8.2000,8.1000,8.1500,17000,0
4324,HENGYUAN,D,19940207,8.0000,8.0000,8.0000,8.0000,2000,0
4324,HENGYUAN,D,19940208,8.0000,8.0000,7.8000,7.8000,96000,0
4324,HENGYUAN,D,19940214,7.8000,7.8000,7.8000,7.8000,4000,0
4324,HENGYUAN,D,19940215,7.9000,8.0000,7.9000,8.0000,5000,0
4324,HENGYUAN,D,19940216,8.1000,8.2000,8.0000,8.1000,56000,0
4324,HENGYUAN,D,19940217,8.1000,8.3000,8.0500,8.3000,27000,0
4324,HENGYUAN,D,19940218,8.3000,8.3000,8.3000,8.3000,14000,0
4324,HENGYUAN,D,19940221,8.3000,8.3000,8.2500,8.3000,18000,0
4324,HENGYUAN,D,19940222,8.2500,8.3000,8.2500,8.2500,110000,0
4324,HENGYUAN,D,19940223,8.3000,8.3500,8.2500,8.3000,102000,0
4324,HENGYUAN,D,19940224,8.4500,8.5000,8.3500,8.5000,119000,0
4324,HENGYUAN,D,19940225,8.3500,8.4500,8.2000,8.3000,245000,0
4324,HENGYUAN,D,19940228,8.3000,8.3000,8.2000,8.2500,41000,0
4324,HENGYUAN,D,19940301,8.2500,8.2500,8.2000,8.2000,63000,0
4324,HENGYUAN,D,19940302,8.0000,8.0000,7.9500,7.9500,36000,0
4324,HENGYUAN,D,19940303,8.0000,8.0000,7.9000,7.9000,41000,0
4324,HENGYUAN,D,19940304,8.0000,8.0000,7.9500,7.9500,84000,0
4324,HENGYUAN,D,19940307,8.0500,8.1500,8.0000,8.0000,128000,0
4324,HENGYUAN,D,19940308,8.0500,8.0500,7.8500,7.8500,58000,0
4324,HENGYUAN,D,19940309,7.9000,8.0000,7.9000,7.9500,43000,0
4324,HENGYUAN,D,19940310,7.9500,8.0000,7.9500,8.0000,28000,0
4324,HENGYUAN,D,19940311,7.9000,7.9500,7.9000,7.9000,18000,0
4324,HENGYUAN,D,19940317,8.0000,8.0500,7.7000,7.7000,37000,0
4324,HENGYUAN,D,19940318,7.6000,7.7000,7.5000,7.6000,123000,0
4324,HENGYUAN,D,19940321,7.6000,7.6000,7.5000,7.5000,60000,0
4324,HENGYUAN,D,19940322,7.3000,7.5500,7.3000,7.4000,101000,0
4324,HENGYUAN,D,19940323,7.4000,7.6000,7.4000,7.6000,46000,0
4324,HENGYUAN,D,19940324,7.6000,7.6000,7.5500,7.5500,14000,0
4324,HENGYUAN,D,19940325,7.5000,7.6000,7.5000,7.5500,16000,0
4324,HENGYUAN,D,19940328,7.5500,7.5500,7.5000,7.5000,32000,0
4324,HENGYUAN,D,19940329,7.5500,7.5500,7.5500,7.5500,5000,0
4324,HENGYUAN,D,19940330,7.5000,7.5500,7.5000,7.5500,18000,0
4324,HENGYUAN,D,19940331,7.5500,7.6000,7.5000,7.6000,68000,0
4324,HENGYUAN,D,19940401,7.6000,7.6000,7.6000,7.6000,11000,0
4324,HENGYUAN,D,19940404,7.5500,7.6000,7.5500,7.6000,15000,0
4324,HENGYUAN,D,19940405,7.6000,7.6500,7.5500,7.6500,22000,0
4324,HENGYUAN,D,19940406,7.7000,7.7000,7.6000,7.6000,11000,0
4324,HENGYUAN,D,19940407,7.5500,7.6000,7.4000,7.4000,127000,0
4324,HENGYUAN,D,19940408,7.3000,7.3500,7.2000,7.2000,217000,0
4324,HENGYUAN,D,19940411,7.2500,7.5500,7.2500,7.5500,11000,0
4324,HENGYUAN,D,19940412,7.5500,7.6500,7.5500,7.5500,61000,0
4324,HENGYUAN,D,19940413,7.6500,7.6500,7.6000,7.6000,69000,0
4324,HENGYUAN,D,19940414,7.5500,7.6000,7.5000,7.6000,11000,0
4324,HENGYUAN,D,19940415,7.8000,8.0000,7.8000,7.9500,16000,0
4324,HENGYUAN,D,19940418,8.0000,8.0000,8.0000,8.0000,19000,0
4324,HENGYUAN,D,19940419,8.0000,8.0000,7.8000,7.8500,6000,0
4324,HENGYUAN,D,19940420,8.0000,8.0000,7.9000,7.9000,10000,0
4324,HENGYUAN,D,19940421,7.9000,8.0000,7.9000,7.9000,11000,0
4324,HENGYUAN,D,19940422,7.9000,7.9500,7.8000,7.9000,16000,0
4324,HENGYUAN,D,19940425,7.9000,8.0000,7.8000,8.0000,27000,0
4324,HENGYUAN,D,19940426,8.0000,8.0000,7.9000,7.9500,85000,0
4324,HENGYUAN,D,19940427,8.0000,8.0000,7.9500,7.9500,47000,0
4324,HENGYUAN,D,19940428,7.9500,8.0000,7.9500,8.0000,39000,0
4324,HENGYUAN,D,19940429,8.0000,8.3000,7.9500,8.3000,31000,0
4324,HENGYUAN,D,19940503,8.3000,8.3000,8.1500,8.2000,65000,0
4324,HENGYUAN,D,19940504,7.8000,8.1000,7.6500,8.1000,29000,0
4324,HENGYUAN,D,19940505,8.0000,8.0000,8.0000,8.0000,59000,0
4324,HENGYUAN,D,19940506,8.0500,8.0500,7.9000,7.9000,44000,0
4324,HENGYUAN,D,19940509,7.9000,7.9000,7.7500,7.7500,17000,0
4324,HENGYUAN,D,19940510,7.7000,7.7000,7.6000,7.6500,16000,0
4324,HENGYUAN,D,19940512,7.6000,7.6500,7.6000,7.6500,20000,0
