<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5095,HEVEA,D,20050112,0.7200,0.7250,0.5950,0.6000,43106400,0
5095,HEVEA,D,20050113,0.6000,0.6000,0.5675,0.5750,5918400,0
5095,HEVEA,D,20050114,0.5850,0.5925,0.5700,0.5825,5090400,0
5095,HEVEA,D,20050117,0.5875,0.5875,0.5675,0.5700,3580000,0
5095,HEVEA,D,20050118,0.5700,0.5700,0.5500,0.5600,5492800,0
5095,HEVEA,D,20050119,0.5550,0.5575,0.5475,0.5525,1135200,0
5095,HEVEA,D,20050120,0.5475,0.5475,0.5300,0.5350,1434000,0
5095,HEVEA,D,20050124,0.5375,0.5400,0.5225,0.5250,1280800,0
5095,HEVEA,D,20050125,0.5200,0.5200,0.5000,0.5000,2384000,0
5095,HEVEA,D,20050126,0.5000,0.5075,0.4975,0.5000,462400,0
5095,HEVEA,D,20050127,0.5000,0.5000,0.4825,0.4850,822400,0
5095,HEVEA,D,20050128,0.4825,0.4825,0.4700,0.4800,920800,0
5095,HEVEA,D,20050131,0.4775,0.4775,0.4650,0.4700,1634000,0
5095,HEVEA,D,20050202,0.4725,0.4725,0.4700,0.4725,1042000,0
5095,HEVEA,D,20050203,0.4725,0.4975,0.4725,0.4775,228000,0
5095,HEVEA,D,20050204,0.4775,0.4825,0.4775,0.4800,238800,0
5095,HEVEA,D,20050207,0.4800,0.4900,0.4800,0.4875,297200,0
5095,HEVEA,D,20050208,0.4875,0.4900,0.4875,0.4900,1240000,0
5095,HEVEA,D,20050214,0.4900,0.4925,0.4900,0.4900,804000,0
5095,HEVEA,D,20050215,0.4900,0.4950,0.4900,0.4950,320400,0
5095,HEVEA,D,20050216,0.4875,0.4900,0.4875,0.4900,924000,0
5095,HEVEA,D,20050217,0.4900,0.4900,0.4900,0.4900,640000,0
5095,HEVEA,D,20050218,0.4900,0.4925,0.4900,0.4925,772000,0
5095,HEVEA,D,20050221,0.5000,0.5025,0.4925,0.4975,318000,0
5095,HEVEA,D,20050222,0.4975,0.5000,0.4975,0.5000,272000,0
5095,HEVEA,D,20050223,0.5000,0.5025,0.5000,0.5025,1385600,0
5095,HEVEA,D,20050224,0.5050,0.5100,0.5050,0.5100,172000,0
5095,HEVEA,D,20050225,0.5100,0.5450,0.5075,0.5375,519600,0
5095,HEVEA,D,20050228,0.5200,0.5425,0.5200,0.5425,695600,0
5095,HEVEA,D,20050301,0.5375,0.5375,0.5225,0.5275,252400,0
5095,HEVEA,D,20050302,0.5325,0.5325,0.5225,0.5250,382800,0
5095,HEVEA,D,20050303,0.5250,0.5250,0.5025,0.5025,56400,0
5095,HEVEA,D,20050304,0.5050,0.5125,0.5050,0.5100,95600,0
5095,HEVEA,D,20050307,0.5100,0.5100,0.5100,0.5100,8000,0
5095,HEVEA,D,20050308,0.5200,0.5200,0.5150,0.5150,148000,0
5095,HEVEA,D,20050309,0.5125,0.5150,0.5125,0.5150,199600,0
5095,HEVEA,D,20050310,0.5125,0.5300,0.5125,0.5275,759200,0
5095,HEVEA,D,20050311,0.5300,0.5425,0.5300,0.5400,500000,0
5095,HEVEA,D,20050314,0.5375,0.5500,0.5375,0.5500,381600,0
5095,HEVEA,D,20050315,0.5500,0.5750,0.5500,0.5650,987200,0
5095,HEVEA,D,20050316,0.5650,0.5700,0.5550,0.5650,516000,0
5095,HEVEA,D,20050317,0.5625,0.5650,0.5525,0.5525,212000,0
5095,HEVEA,D,20050318,0.5475,0.5525,0.5450,0.5525,124000,0
5095,HEVEA,D,20050321,0.5400,0.5400,0.5175,0.5250,108000,0
5095,HEVEA,D,20050322,0.5225,0.5250,0.5150,0.5150,320000,0
5095,HEVEA,D,20050323,0.5150,0.5200,0.5150,0.5200,748000,0
5095,HEVEA,D,20050324,0.5200,0.5200,0.5175,0.5175,94000,0
5095,HEVEA,D,20050325,0.5175,0.5200,0.5175,0.5175,70000,0
5095,HEVEA,D,20050328,0.5175,0.5400,0.5175,0.5175,152000,0
5095,HEVEA,D,20050329,0.5175,0.5200,0.5150,0.5150,1059600,0
5095,HEVEA,D,20050330,0.5175,0.5175,0.5100,0.5100,1180000,0
5095,HEVEA,D,20050331,0.5150,0.5150,0.5075,0.5075,48000,0
5095,HEVEA,D,20050401,0.5075,0.5125,0.5075,0.5125,228000,0
5095,HEVEA,D,20050404,0.5050,0.5125,0.5000,0.5125,144000,0
5095,HEVEA,D,20050405,0.5125,0.5125,0.5000,0.5000,32000,0
5095,HEVEA,D,20050406,0.4975,0.5050,0.4975,0.5000,247600,0
5095,HEVEA,D,20050407,0.5000,0.5050,0.5000,0.5050,172000,0
5095,HEVEA,D,20050408,0.5050,0.5050,0.5000,0.5000,49600,0
5095,HEVEA,D,20050411,0.5125,0.5125,0.4975,0.5000,216000,0
5095,HEVEA,D,20050412,0.5000,0.5000,0.5000,0.5000,4400,0
