<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0161,HEXIND,D,20140213,0.7568,0.8649,0.6055,0.6163,91226176,0
0161,HEXIND,D,20140214,0.6271,0.6379,0.6163,0.6379,4735939,0
0161,HEXIND,D,20140217,0.6379,0.6379,0.6055,0.6163,4596276,0
0161,HEXIND,D,20140218,0.6163,0.6271,0.5622,0.6055,11412232,0
0161,HEXIND,D,20140219,0.6055,0.6055,0.5838,0.5946,5645510,0
0161,HEXIND,D,20140220,0.5946,0.6379,0.5838,0.6271,6667922,0
0161,HEXIND,D,20140221,0.6271,0.6487,0.6163,0.6163,7775520,0
0161,HEXIND,D,20140224,0.6163,0.6271,0.5946,0.6055,4559695,0
0161,HEXIND,D,20140225,0.6055,0.6055,0.5838,0.5946,3321267,0
0161,HEXIND,D,20140226,0.6055,0.6163,0.5730,0.5838,6307757,0
0161,HEXIND,D,20140227,0.5838,0.5838,0.5622,0.5730,2202431,0
0161,HEXIND,D,20140228,0.5730,0.5730,0.5406,0.5622,2795817,0
0161,HEXIND,D,20140303,0.5514,0.5514,0.5190,0.5190,1447785,0
0161,HEXIND,D,20140304,0.5190,0.5406,0.5190,0.5298,1736778,0
0161,HEXIND,D,20140305,0.5298,0.5298,0.5081,0.5081,1398301,0
0161,HEXIND,D,20140306,0.5190,0.5190,0.5081,0.5190,1221733,0
0161,HEXIND,D,20140307,0.5081,0.5190,0.5081,0.5081,369970,0
0161,HEXIND,D,20140310,0.5081,0.5081,0.4865,0.4973,1428778,0
0161,HEXIND,D,20140311,0.4973,0.5514,0.4973,0.5298,2256493,0
0161,HEXIND,D,20140312,0.5190,0.5190,0.5081,0.5081,323446,0
0161,HEXIND,D,20140313,0.5081,0.5190,0.4973,0.4973,614613,0
0161,HEXIND,D,20140314,0.4973,0.5081,0.4973,0.5081,337135,0
0161,HEXIND,D,20140317,0.5081,0.5190,0.4973,0.4973,938568,0
0161,HEXIND,D,20140318,0.5081,0.5298,0.5081,0.5190,1526357,0
0161,HEXIND,D,20140319,0.5190,0.5190,0.5081,0.5081,521704,0
0161,HEXIND,D,20140320,0.5081,0.5406,0.4973,0.5190,1095944,0
0161,HEXIND,D,20140321,0.5190,0.5298,0.5081,0.5190,348697,0
0161,HEXIND,D,20140324,0.5190,0.5190,0.5081,0.5081,436195,0
0161,HEXIND,D,20140325,0.5081,0.5081,0.4973,0.5081,324325,0
0161,HEXIND,D,20140326,0.5081,0.5081,0.4973,0.4973,1338366,0
0161,HEXIND,D,20140327,0.4973,0.5081,0.4973,0.4973,174071,0
0161,HEXIND,D,20140328,0.5081,0.5081,0.4973,0.5081,542931,0
0161,HEXIND,D,20140331,0.5081,0.5081,0.4973,0.4973,461491,0
0161,HEXIND,D,20140401,0.4973,0.5081,0.4973,0.5081,399151,0
0161,HEXIND,D,20140402,0.4973,0.5081,0.4973,0.5081,219207,0
0161,HEXIND,D,20140403,0.4973,0.5081,0.4973,0.4973,391706,0
0161,HEXIND,D,20140404,0.4973,0.5081,0.4865,0.4973,338060,0
0161,HEXIND,D,20140407,0.4865,0.4973,0.4865,0.4865,787805,0
0161,HEXIND,D,20140408,0.4973,0.5298,0.4973,0.4973,2258528,0
0161,HEXIND,D,20140409,0.5081,0.5190,0.4973,0.5081,685647,0
0161,HEXIND,D,20140410,0.5081,0.5190,0.5081,0.5190,381994,0
0161,HEXIND,D,20140411,0.5081,0.5081,0.4973,0.5081,365345,0
0161,HEXIND,D,20140414,0.4973,0.5081,0.4973,0.5081,472637,0
0161,HEXIND,D,20140415,0.5081,0.5081,0.4973,0.5081,316001,0
0161,HEXIND,D,20140416,0.5081,0.5081,0.4973,0.4973,273315,0
0161,HEXIND,D,20140417,0.5081,0.5081,0.4973,0.4973,314937,0
0161,HEXIND,D,20140418,0.4973,0.5081,0.4973,0.4973,619977,0
0161,HEXIND,D,20140421,0.4973,0.4973,0.4865,0.4973,423292,0
0161,HEXIND,D,20140422,0.4865,0.4973,0.4865,0.4973,478695,0
0161,HEXIND,D,20140423,0.4973,0.4973,0.4865,0.4865,295051,0
0161,HEXIND,D,20140424,0.4865,0.4973,0.4865,0.4865,287698,0
0161,HEXIND,D,20140425,0.4865,0.4973,0.4865,0.4865,406967,0
0161,HEXIND,D,20140428,0.4865,0.4973,0.4865,0.4973,443548,0
0161,HEXIND,D,20140429,0.4973,0.5190,0.4973,0.5081,3057940,0
0161,HEXIND,D,20140430,0.4973,0.4973,0.4865,0.4973,274333,0
0161,HEXIND,D,20140502,0.4865,0.4973,0.4865,0.4973,111916,0
0161,HEXIND,D,20140505,0.4973,0.4973,0.4865,0.4973,552781,0
0161,HEXIND,D,20140506,0.4865,0.4973,0.4865,0.4973,300231,0
0161,HEXIND,D,20140507,0.4865,0.4973,0.4865,0.4865,136426,0
0161,HEXIND,D,20140508,0.4865,0.5081,0.4865,0.5081,207322,0
0161,HEXIND,D,20140509,0.4865,0.5081,0.4865,0.4865,241868,0
0161,HEXIND,D,20140512,0.4973,0.5081,0.4865,0.4973,572436,0
0161,HEXIND,D,20140514,0.4973,0.4973,0.4973,0.4973,315492,0
