<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5072,HIAPTEK,D,20030902,0.6000,0.6425,0.5725,0.5750,83170722,0
5072,HIAPTEK,D,20030903,0.5750,0.6000,0.5750,0.6000,14092750,0
5072,HIAPTEK,D,20030904,0.6025,0.6075,0.5900,0.5900,8236759,0
5072,HIAPTEK,D,20030905,0.5900,0.5900,0.5750,0.5775,6011255,0
5072,HIAPTEK,D,20030908,0.5800,0.5800,0.5525,0.5625,9798556,0
5072,HIAPTEK,D,20030909,0.5625,0.5700,0.5575,0.5625,2715000,0
5072,HIAPTEK,D,20030910,0.5600,0.5650,0.5525,0.5625,1823000,0
5072,HIAPTEK,D,20030911,0.5650,0.5775,0.5575,0.5725,4428700,0
5072,HIAPTEK,D,20030912,0.5750,0.5750,0.5650,0.5675,3055833,0
5072,HIAPTEK,D,20030915,0.5675,0.5775,0.5650,0.5775,2525408,0
5072,HIAPTEK,D,20030916,0.5775,0.6100,0.5775,0.6075,17978807,0
5072,HIAPTEK,D,20030917,0.6100,0.6125,0.5900,0.5900,8137295,0
5072,HIAPTEK,D,20030918,0.5900,0.5975,0.5900,0.5950,2601706,0
5072,HIAPTEK,D,20030919,0.5975,0.6100,0.5925,0.6025,7853524,0
5072,HIAPTEK,D,20030922,0.6025,0.6050,0.5900,0.5925,4860899,0
5072,HIAPTEK,D,20030923,0.5900,0.5925,0.5875,0.5925,3434711,0
5072,HIAPTEK,D,20030924,0.5925,0.6075,0.5925,0.6050,3895377,0
5072,HIAPTEK,D,20030925,0.6000,0.6075,0.5925,0.5950,3856346,0
5072,HIAPTEK,D,20030926,0.5975,0.5975,0.5900,0.5925,2384262,0
5072,HIAPTEK,D,20030929,0.5950,0.6000,0.5900,0.5925,3855885,0
5072,HIAPTEK,D,20030930,0.5925,0.5950,0.5825,0.5850,2258186,0
5072,HIAPTEK,D,20031001,0.5850,0.5850,0.5800,0.5825,1325662,0
5072,HIAPTEK,D,20031002,0.5850,0.5875,0.5800,0.5800,1150676,0
5072,HIAPTEK,D,20031003,0.5825,0.5850,0.5800,0.5825,1145512,0
5072,HIAPTEK,D,20031006,0.5850,0.5875,0.5800,0.5850,1321217,0
5072,HIAPTEK,D,20031007,0.5825,0.5875,0.5800,0.5800,1021862,0
5072,HIAPTEK,D,20031008,0.5825,0.5950,0.5825,0.5875,2016843,0
5072,HIAPTEK,D,20031009,0.5900,0.5950,0.5875,0.5875,3755298,0
5072,HIAPTEK,D,20031010,0.5950,0.6300,0.5925,0.6275,20739098,0
5072,HIAPTEK,D,20031013,0.6300,0.6350,0.6150,0.6250,14380800,0
5072,HIAPTEK,D,20031014,0.6275,0.6275,0.6125,0.6175,4066365,0
5072,HIAPTEK,D,20031015,0.6175,0.6175,0.6075,0.6100,2967934,0
5072,HIAPTEK,D,20031016,0.6150,0.6150,0.6000,0.6000,4301967,0
5072,HIAPTEK,D,20031017,0.6000,0.6100,0.5975,0.6050,5075502,0
5072,HIAPTEK,D,20031020,0.6075,0.6100,0.6000,0.6050,2309906,0
5072,HIAPTEK,D,20031021,0.6050,0.6100,0.6025,0.6050,1739089,0
5072,HIAPTEK,D,20031022,0.6050,0.6225,0.6050,0.6200,4013903,0
5072,HIAPTEK,D,20031023,0.6200,0.6325,0.6125,0.6200,7028687,0
5072,HIAPTEK,D,20031027,0.6200,0.6250,0.6150,0.6175,2368188,0
5072,HIAPTEK,D,20031028,0.6175,0.6200,0.6125,0.6150,1906309,0
5072,HIAPTEK,D,20031029,0.6200,0.6200,0.6125,0.6150,2212909,0
5072,HIAPTEK,D,20031030,0.6175,0.6200,0.6125,0.6200,3374519,0
5072,HIAPTEK,D,20031031,0.6200,0.6575,0.6200,0.6325,28055120,0
5072,HIAPTEK,D,20031103,0.6350,0.6475,0.6325,0.6350,5126502,0
5072,HIAPTEK,D,20031104,0.6350,0.6550,0.6350,0.6550,10390260,0
5072,HIAPTEK,D,20031105,0.6575,0.6750,0.6500,0.6550,16478739,0
5072,HIAPTEK,D,20031106,0.6600,0.6600,0.6400,0.6450,5405682,0
5072,HIAPTEK,D,20031107,0.6500,0.6525,0.6450,0.6525,2618810,0
5072,HIAPTEK,D,20031110,0.6525,0.6625,0.6500,0.6550,4708635,0
5072,HIAPTEK,D,20031111,0.6500,0.6525,0.6400,0.6475,5877966,0
5072,HIAPTEK,D,20031112,0.6475,0.6500,0.6400,0.6450,1594943,0
5072,HIAPTEK,D,20031113,0.6500,0.6500,0.6400,0.6450,1486425,0
5072,HIAPTEK,D,20031114,0.6450,0.6475,0.6275,0.6275,1965166,0
5072,HIAPTEK,D,20031117,0.6325,0.6325,0.6150,0.6200,1865635,0
5072,HIAPTEK,D,20031118,0.6175,0.6225,0.6075,0.6125,1676673,0
5072,HIAPTEK,D,20031119,0.6100,0.6125,0.6000,0.6025,1367876,0
5072,HIAPTEK,D,20031120,0.6075,0.6100,0.6000,0.6025,1336984,0
5072,HIAPTEK,D,20031121,0.6025,0.6100,0.6000,0.6100,908852,0
5072,HIAPTEK,D,20031127,0.6175,0.6200,0.6100,0.6125,790457,0
5072,HIAPTEK,D,20031128,0.6100,0.6275,0.6100,0.6250,615240,0
5072,HIAPTEK,D,20031201,0.6300,0.6400,0.6300,0.6350,1760693,0
5072,HIAPTEK,D,20031202,0.6400,0.6400,0.6300,0.6350,792554,0
5072,HIAPTEK,D,20031203,0.6325,0.6375,0.6300,0.6325,827893,0
5072,HIAPTEK,D,20031204,0.6325,0.6325,0.6175,0.6225,536161,0
5072,HIAPTEK,D,20031205,0.6225,0.6250,0.6200,0.6200,778194,0
5072,HIAPTEK,D,20031208,0.6250,0.6300,0.6200,0.6225,1828571,0
5072,HIAPTEK,D,20031209,0.6250,0.6500,0.6250,0.6375,3239439,0
5072,HIAPTEK,D,20031210,0.6375,0.6400,0.6275,0.6275,868701,0
5072,HIAPTEK,D,20031211,0.6275,0.6275,0.6200,0.6250,937320,0
5072,HIAPTEK,D,20031212,0.6225,0.6250,0.6200,0.6225,418995,0
5072,HIAPTEK,D,20031215,0.6250,0.6250,0.6150,0.6150,1041941,0
5072,HIAPTEK,D,20031216,0.6150,0.6325,0.6150,0.6225,2488120,0
5072,HIAPTEK,D,20031217,0.6225,0.6225,0.6100,0.6150,965618,0
5072,HIAPTEK,D,20031218,0.6125,0.6175,0.6050,0.6100,617784,0
5072,HIAPTEK,D,20031219,0.6125,0.6125,0.6075,0.6100,425626,0
5072,HIAPTEK,D,20031222,0.6100,0.6175,0.6075,0.6175,466115,0
5072,HIAPTEK,D,20031223,0.6150,0.6200,0.6150,0.6175,509441,0
5072,HIAPTEK,D,20031224,0.6150,0.6175,0.6150,0.6175,336612,0
5072,HIAPTEK,D,20031226,0.6150,0.6200,0.6100,0.6100,545193,0
5072,HIAPTEK,D,20031229,0.6200,0.6275,0.6175,0.6275,1058083,0
5072,HIAPTEK,D,20031230,0.6275,0.6350,0.6225,0.6275,1411579,0
5072,HIAPTEK,D,20031231,0.6275,0.6425,0.6275,0.6300,2235365,0
5072,HIAPTEK,D,20040102,0.6300,0.6575,0.6275,0.6500,8275323,0
5072,HIAPTEK,D,20040105,0.6525,0.6750,0.6525,0.6650,14837529,0
5072,HIAPTEK,D,20040106,0.6700,0.6750,0.6500,0.6500,4730338,0
5072,HIAPTEK,D,20040107,0.6575,0.6700,0.6500,0.6700,5059307,0
5072,HIAPTEK,D,20040108,0.6725,0.6850,0.6625,0.6725,14811436,0
5072,HIAPTEK,D,20040109,0.6725,0.6775,0.6650,0.6650,4258087,0
5072,HIAPTEK,D,20040112,0.6700,0.6800,0.6625,0.6775,5757210,0
5072,HIAPTEK,D,20040113,0.6800,0.7125,0.6775,0.7100,28351290,0
