<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5199,HIBISCS,D,20110725,0.5400,0.5800,0.5200,0.5300,25954500,0
5199,HIBISCS,D,20110726,0.5400,0.6100,0.5350,0.6000,27616500,0
5199,HIBISCS,D,20110727,0.5900,0.6100,0.5750,0.5800,8483100,0
5199,HIBISCS,D,20110728,0.5750,0.5950,0.5650,0.5850,3799000,0
5199,HIBISCS,D,20110729,0.5850,0.6000,0.5800,0.5900,5516400,0
5199,HIBISCS,D,20110801,0.5900,0.6150,0.5850,0.5900,13117200,0
5199,HIBISCS,D,20110802,0.5950,0.6000,0.5800,0.5850,9149500,0
5199,HIBISCS,D,20110803,0.5900,0.5900,0.5800,0.5850,4793500,0
5199,HIBISCS,D,20110804,0.5900,0.5900,0.5800,0.5800,2319900,0
5199,HIBISCS,D,20110805,0.5600,0.5700,0.5500,0.5500,4871900,0
5199,HIBISCS,D,20110808,0.5500,0.5500,0.5300,0.5400,4551600,0
5199,HIBISCS,D,20110809,0.5300,0.5450,0.5200,0.5400,2308000,0
5199,HIBISCS,D,20110810,0.5500,0.5500,0.5350,0.5400,932500,0
5199,HIBISCS,D,20110811,0.5300,0.5400,0.5300,0.5400,866100,0
5199,HIBISCS,D,20110812,0.5400,0.5400,0.5350,0.5350,663800,0
5199,HIBISCS,D,20110815,0.5450,0.5550,0.5400,0.5450,1002000,0
5199,HIBISCS,D,20110816,0.5500,0.5600,0.5450,0.5500,1076000,0
5199,HIBISCS,D,20110817,0.5450,0.5500,0.5400,0.5450,1066900,0
5199,HIBISCS,D,20110818,0.5450,0.5450,0.5450,0.5450,1522800,0
5199,HIBISCS,D,20110819,0.5400,0.5450,0.5400,0.5450,613200,0
5199,HIBISCS,D,20110822,0.5400,0.5450,0.5300,0.5400,486000,0
5199,HIBISCS,D,20110823,0.5350,0.5400,0.5350,0.5350,337500,0
5199,HIBISCS,D,20110824,0.5350,0.5350,0.5300,0.5300,805500,0
5199,HIBISCS,D,20110825,0.5250,0.5350,0.5250,0.5300,163000,0
5199,HIBISCS,D,20110826,0.5250,0.5300,0.5250,0.5300,459600,0
5199,HIBISCS,D,20110829,0.5300,0.5300,0.5250,0.5250,118800,0
5199,HIBISCS,D,20110902,0.5350,0.5350,0.5250,0.5300,185000,0
5199,HIBISCS,D,20110905,0.5250,0.5300,0.5250,0.5250,496700,0
5199,HIBISCS,D,20110906,0.5250,0.5250,0.5200,0.5200,676700,0
5199,HIBISCS,D,20110907,0.5250,0.5350,0.5200,0.5250,911500,0
5199,HIBISCS,D,20110908,0.5250,0.5450,0.5250,0.5450,1238000,0
5199,HIBISCS,D,20110909,0.5450,0.5650,0.5450,0.5650,712500,0
5199,HIBISCS,D,20110912,0.5550,0.5800,0.5550,0.5650,842000,0
5199,HIBISCS,D,20110913,0.5750,0.5750,0.5650,0.5650,407000,0
5199,HIBISCS,D,20110914,0.5650,0.5650,0.5550,0.5600,1371100,0
5199,HIBISCS,D,20110915,0.5600,0.5600,0.5500,0.5500,413500,0
5199,HIBISCS,D,20110919,0.5600,0.5650,0.5550,0.5650,4891200,0
5199,HIBISCS,D,20110920,0.5650,0.5650,0.5550,0.5650,311000,0
5199,HIBISCS,D,20110921,0.5600,0.5650,0.5550,0.5650,399000,0
5199,HIBISCS,D,20110922,0.5550,0.5550,0.5500,0.5550,423000,0
5199,HIBISCS,D,20110923,0.5450,0.5500,0.5400,0.5500,1063400,0
5199,HIBISCS,D,20110926,0.5450,0.5450,0.5350,0.5400,1421600,0
5199,HIBISCS,D,20110927,0.5450,0.5500,0.5400,0.5450,647800,0
5199,HIBISCS,D,20110928,0.5450,0.5450,0.5400,0.5400,749200,0
5199,HIBISCS,D,20110929,0.5450,0.5500,0.5450,0.5500,399000,0
5199,HIBISCS,D,20110930,0.5450,0.5500,0.5450,0.5450,314800,0
5199,HIBISCS,D,20111003,0.5400,0.5450,0.5400,0.5450,1005100,0
5199,HIBISCS,D,20111004,0.5400,0.5450,0.5400,0.5450,1000000,0
5199,HIBISCS,D,20111005,0.5450,0.5450,0.5450,0.5450,710500,0
5199,HIBISCS,D,20111006,0.5450,0.5600,0.5450,0.5600,438800,0
5199,HIBISCS,D,20111007,0.5550,0.5550,0.5550,0.5550,84000,0
5199,HIBISCS,D,20111010,0.5500,0.5500,0.5450,0.5500,322000,0
5199,HIBISCS,D,20111011,0.5550,0.5650,0.5550,0.5650,208000,0
5199,HIBISCS,D,20111012,0.5600,0.5700,0.5600,0.5700,272800,0
5199,HIBISCS,D,20111013,0.5700,0.5900,0.5700,0.5900,3798700,0
5199,HIBISCS,D,20111014,0.5800,0.5900,0.5750,0.5800,1445000,0
5199,HIBISCS,D,20111017,0.5900,0.6200,0.5900,0.6200,5144600,0
5199,HIBISCS,D,20111018,0.6000,0.6200,0.5950,0.6050,3955000,0
5199,HIBISCS,D,20111019,0.6150,0.6750,0.6100,0.6750,11260100,0
