<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0188,HLT,D,20170110,0.3667,0.3833,0.3633,0.3633,49556850,0
0188,HLT,D,20170111,0.3667,0.3700,0.3433,0.3467,7581000,0
0188,HLT,D,20170112,0.3433,0.3567,0.3400,0.3467,13650300,0
0188,HLT,D,20170113,0.3467,0.3600,0.3467,0.3533,10245000,0
0188,HLT,D,20170116,0.3467,0.3567,0.3467,0.3567,10202700,0
0188,HLT,D,20170117,0.3533,0.3633,0.3367,0.3433,17014200,0
0188,HLT,D,20170118,0.3433,0.3433,0.3200,0.3267,7359300,0
0188,HLT,D,20170119,0.3267,0.3267,0.3133,0.3167,3162000,0
0188,HLT,D,20170120,0.3167,0.3200,0.3133,0.3167,2645850,0
0188,HLT,D,20170123,0.3200,0.3200,0.3067,0.3133,4581600,0
0188,HLT,D,20170124,0.3133,0.3167,0.3067,0.3067,2155800,0
0188,HLT,D,20170125,0.3100,0.3100,0.3067,0.3100,1461450,0
0188,HLT,D,20170126,0.3100,0.3167,0.3067,0.3100,1072200,0
0188,HLT,D,20170127,0.3100,0.3133,0.3067,0.3133,1337850,0
0188,HLT,D,20170131,0.3100,0.3100,0.3067,0.3100,924900,0
0188,HLT,D,20170202,0.3100,0.3267,0.3100,0.3233,2601900,0
0188,HLT,D,20170203,0.3200,0.3233,0.3167,0.3200,582150,0
0188,HLT,D,20170206,0.3133,0.3267,0.3133,0.3167,2127900,0
0188,HLT,D,20170207,0.3200,0.3200,0.3133,0.3167,463050,0
0188,HLT,D,20170208,0.3167,0.3200,0.3133,0.3133,813750,0
0188,HLT,D,20170210,0.3167,0.3200,0.3133,0.3167,735750,0
0188,HLT,D,20170213,0.3167,0.3267,0.3167,0.3233,1244700,0
0188,HLT,D,20170214,0.3233,0.3333,0.3200,0.3300,4084050,0
0188,HLT,D,20170215,0.3300,0.3333,0.3300,0.3300,1005000,0
0188,HLT,D,20170216,0.3300,0.3333,0.3233,0.3233,414450,0
0188,HLT,D,20170217,0.3200,0.3200,0.3167,0.3200,808800,0
0188,HLT,D,20170220,0.3200,0.3200,0.3167,0.3167,904350,0
0188,HLT,D,20170221,0.3167,0.3200,0.3133,0.3167,877950,0
0188,HLT,D,20170222,0.3167,0.3200,0.3167,0.3167,235200,0
0188,HLT,D,20170223,0.3167,0.3167,0.3133,0.3167,442500,0
0188,HLT,D,20170224,0.3133,0.3167,0.3133,0.3167,819150,0
0188,HLT,D,20170227,0.3167,0.3167,0.3100,0.3100,916800,0
0188,HLT,D,20170228,0.3100,0.3133,0.3067,0.3100,411450,0
0188,HLT,D,20170301,0.3067,0.3200,0.2867,0.3133,3613650,0
0188,HLT,D,20170302,0.3133,0.3133,0.3067,0.3067,374700,0
0188,HLT,D,20170303,0.3067,0.3100,0.3067,0.3100,1653300,0
0188,HLT,D,20170306,0.3100,0.3133,0.3067,0.3067,520200,0
0188,HLT,D,20170307,0.3067,0.3200,0.3067,0.3100,1453650,0
0188,HLT,D,20170308,0.3100,0.3167,0.3067,0.3133,846450,0
0188,HLT,D,20170309,0.3100,0.3133,0.3067,0.3133,759900,0
0188,HLT,D,20170310,0.3100,0.3100,0.3067,0.3067,1577700,0
0188,HLT,D,20170313,0.3033,0.3100,0.3033,0.3100,1195200,0
0188,HLT,D,20170314,0.3067,0.3067,0.3033,0.3067,525000,0
0188,HLT,D,20170315,0.3067,0.3067,0.3033,0.3067,1084650,0
0188,HLT,D,20170316,0.3067,0.3067,0.3033,0.3067,282300,0
0188,HLT,D,20170317,0.3100,0.3200,0.3067,0.3133,2990850,0
0188,HLT,D,20170320,0.3133,0.3167,0.3133,0.3133,528300,0
0188,HLT,D,20170321,0.3133,0.3133,0.3100,0.3100,643500,0
0188,HLT,D,20170322,0.3100,0.3100,0.3067,0.3100,178200,0
0188,HLT,D,20170323,0.3100,0.3100,0.3067,0.3100,499950,0
0188,HLT,D,20170324,0.3100,0.3100,0.3067,0.3067,283800,0
0188,HLT,D,20170327,0.3100,0.3100,0.3067,0.3100,366750,0
0188,HLT,D,20170328,0.3100,0.3100,0.3067,0.3067,78000,0
0188,HLT,D,20170329,0.3100,0.3367,0.3100,0.3233,12195600,0
0188,HLT,D,20170330,0.3267,0.3300,0.3200,0.3267,2019150,0
0188,HLT,D,20170331,0.3233,0.3233,0.3200,0.3200,177300,0
0188,HLT,D,20170403,0.3200,0.3200,0.3133,0.3167,703800,0
0188,HLT,D,20170404,0.3167,0.3300,0.3167,0.3233,4418400,0
0188,HLT,D,20170405,0.3200,0.3400,0.3200,0.3333,7446900,0
0188,HLT,D,20170406,0.3333,0.3333,0.3267,0.3267,1623450,0
0188,HLT,D,20170407,0.3267,0.3267,0.3200,0.3233,873750,0
0188,HLT,D,20170410,0.3233,0.3233,0.3200,0.3233,519600,0
0188,HLT,D,20170411,0.3200,0.3300,0.3200,0.3267,2118150,0
0188,HLT,D,20170412,0.3267,0.3333,0.3267,0.3300,608250,0
0188,HLT,D,20170413,0.3300,0.3300,0.3200,0.3233,712950,0
0188,HLT,D,20170414,0.3233,0.3267,0.3200,0.3267,655650,0
0188,HLT,D,20170417,0.3267,0.3300,0.3233,0.3233,524250,0
0188,HLT,D,20170418,0.3233,0.3267,0.3233,0.3233,179550,0
0188,HLT,D,20170419,0.3267,0.3267,0.3200,0.3233,273300,0
0188,HLT,D,20170420,0.3200,0.3200,0.3200,0.3200,404850,0
0188,HLT,D,20170421,0.3200,0.3233,0.3167,0.3233,293100,0
0188,HLT,D,20170425,0.3233,0.3233,0.3233,0.3233,169350,0
