<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
8478,HWATAI,D,19940103,2.6891,2.7371,2.6411,2.7371,108200,0
8478,HWATAI,D,19940104,2.7611,2.7851,2.6411,2.6411,68700,0
8478,HWATAI,D,19940105,2.8812,2.8812,2.6411,2.6651,104100,0
8478,HWATAI,D,19940106,2.6171,2.6891,2.5450,2.5450,97800,0
8478,HWATAI,D,19940107,2.5931,2.6411,2.5450,2.6411,112400,0
8478,HWATAI,D,19940110,2.7611,2.7611,2.6411,2.7371,58300,0
8478,HWATAI,D,19940111,2.5691,2.6171,2.5450,2.5450,58300,0
8478,HWATAI,D,19940112,2.5210,2.5450,2.4010,2.4250,20800,0
8478,HWATAI,D,19940113,2.2089,2.2089,2.2089,2.2089,2000,0
8478,HWATAI,D,19940114,2.3050,2.3914,2.3050,2.3050,29100,0
8478,HWATAI,D,19940117,2.2569,2.3242,2.2569,2.3050,10400,0
8478,HWATAI,D,19940118,2.1609,2.1609,2.0168,2.1609,10400,0
8478,HWATAI,D,19940119,1.9688,1.9784,1.9688,1.9784,18700,0
8478,HWATAI,D,19940120,1.9784,1.9784,1.9496,1.9784,6200,0
8478,HWATAI,D,19940121,2.0264,2.0264,2.0264,2.0264,2000,0
8478,HWATAI,D,19940125,1.8248,1.8248,1.8248,1.8248,52000,0
8478,HWATAI,D,19940126,1.8151,1.9112,1.8151,1.9112,29100,0
8478,HWATAI,D,19940127,1.9208,2.0649,1.9208,2.0649,33300,0
8478,HWATAI,D,19940128,2.1129,2.1129,2.1129,2.1129,12400,0
8478,HWATAI,D,19940202,1.9496,2.2089,1.9496,2.2089,58300,0
8478,HWATAI,D,19940203,2.2569,2.2569,2.2569,2.2569,4100,0
8478,HWATAI,D,19940204,2.0168,2.1609,2.0168,2.0168,4100,0
8478,HWATAI,D,19940208,2.0168,2.1609,2.0168,2.1609,6200,0
8478,HWATAI,D,19940214,2.1513,2.1513,2.1513,2.1513,2000,0
8478,HWATAI,D,19940215,2.1225,2.1225,2.1225,2.1225,20800,0
8478,HWATAI,D,19940216,2.1225,2.1225,2.1225,2.1225,4100,0
8478,HWATAI,D,19940217,2.1129,2.1129,2.1129,2.1129,6200,0
8478,HWATAI,D,19940222,2.0168,2.1129,2.0168,2.1129,6200,0
8478,HWATAI,D,19940223,2.1129,2.1609,2.1129,2.1513,49900,0
8478,HWATAI,D,19940224,2.2089,2.2089,2.2089,2.2089,31200,0
8478,HWATAI,D,19940225,2.2089,2.2089,2.1801,2.2089,56200,0
8478,HWATAI,D,19940228,2.2089,2.2185,2.2089,2.2089,41600,0
8478,HWATAI,D,19940302,2.2089,2.2089,2.1609,2.2089,12400,0
8478,HWATAI,D,19940303,2.1129,2.1129,2.1033,2.1033,24900,0
8478,HWATAI,D,19940307,2.1129,2.1129,2.1129,2.1129,4100,0
8478,HWATAI,D,19940308,2.1609,2.1609,2.1609,2.1609,2000,0
8478,HWATAI,D,19940311,2.0649,2.0649,2.0649,2.0649,2000,0
8478,HWATAI,D,19940317,2.1513,2.1609,2.1513,2.1609,20800,0
8478,HWATAI,D,19940318,2.1513,2.1609,2.1513,2.1609,12400,0
8478,HWATAI,D,19940322,1.9688,1.9688,1.9688,1.9688,2000,0
8478,HWATAI,D,19940324,1.9208,1.9208,1.8728,1.8728,6200,0
8478,HWATAI,D,19940325,2.0072,2.0072,1.9208,1.9784,120700,0
8478,HWATAI,D,19940328,2.0168,2.0168,2.0168,2.0168,6200,0
8478,HWATAI,D,19940329,2.0168,2.0168,1.9976,2.0168,18700,0
8478,HWATAI,D,19940330,1.9688,2.0168,1.9688,2.0168,29100,0
8478,HWATAI,D,19940331,2.0168,2.0360,1.9976,2.0360,49900,0
8478,HWATAI,D,19940401,2.0360,2.0552,2.0168,2.0552,20800,0
8478,HWATAI,D,19940405,1.9688,1.9688,1.9208,1.9208,20800,0
8478,HWATAI,D,19940406,2.0552,2.0552,2.0552,2.0552,2000,0
8478,HWATAI,D,19940412,2.0456,2.0649,2.0360,2.0552,20800,0
8478,HWATAI,D,19940413,1.9688,1.9688,1.9688,1.9688,2000,0
8478,HWATAI,D,19940414,1.9208,1.9208,1.9208,1.9208,2000,0
8478,HWATAI,D,19940415,1.9208,1.9208,1.9208,1.9208,2000,0
8478,HWATAI,D,19940418,1.9592,1.9592,1.9592,1.9592,2000,0
8478,HWATAI,D,19940419,2.0072,2.0072,2.0072,2.0072,4100,0
8478,HWATAI,D,19940420,2.0072,2.0072,2.0072,2.0072,4100,0
8478,HWATAI,D,19940421,1.9688,1.9688,1.9688,1.9688,2000,0
8478,HWATAI,D,19940422,2.0072,2.0072,2.0072,2.0072,6200,0
8478,HWATAI,D,19940425,2.0072,2.0072,1.9976,1.9976,8300,0
8478,HWATAI,D,19940426,1.9976,1.9976,1.9976,1.9976,4100,0
8478,HWATAI,D,19940428,1.9208,1.9688,1.9208,1.9688,4100,0
8478,HWATAI,D,19940429,1.9208,1.9304,1.9208,1.9208,27000,0
8478,HWATAI,D,19940504,1.8728,1.9208,1.8728,1.9208,10400,0
8478,HWATAI,D,19940505,1.9208,1.9208,1.9112,1.9112,18700,0
8478,HWATAI,D,19940506,1.8920,1.8920,1.8920,1.8920,2000,0
8478,HWATAI,D,19940509,1.8728,1.8728,1.8728,1.8728,2000,0
8478,HWATAI,D,19940510,1.8632,1.8632,1.8632,1.8632,8300,0
8478,HWATAI,D,19940511,1.9976,1.9976,1.9976,1.9976,2000,0
8478,HWATAI,D,19940512,1.9688,1.9688,1.9688,1.9688,8300,0
8478,HWATAI,D,19940513,1.9688,1.9688,1.9304,1.9304,24900,0
8478,HWATAI,D,19940516,1.9208,1.9208,1.9208,1.9208,10400,0
