<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
9601,HWGB,D,19941228,3.2557,3.2557,2.7979,3.0268,1907011,0
9601,HWGB,D,19941229,3.0268,3.1031,2.8742,3.0268,415148,0
9601,HWGB,D,19941230,2.8996,2.9505,2.8996,2.9250,66503,0
9601,HWGB,D,19950103,2.8487,2.8996,2.8487,2.8742,48266,0
9601,HWGB,D,19950104,2.8742,2.8996,2.8386,2.8487,47010,0
9601,HWGB,D,19950105,2.8996,2.8996,2.8487,2.8996,39861,0
9601,HWGB,D,19950106,2.8742,2.8742,2.8386,2.8487,47010,0
9601,HWGB,D,19950109,2.7979,2.7979,2.5944,2.6351,65651,0
9601,HWGB,D,19950110,2.6351,2.7776,2.4214,2.7776,173040,0
9601,HWGB,D,19950111,2.4723,2.6860,2.4723,2.5944,35736,0
9601,HWGB,D,19950112,2.3401,2.5537,2.3401,2.5537,54679,0
9601,HWGB,D,19950113,2.4316,2.4825,2.4316,2.4825,18945,0
9601,HWGB,D,19950116,2.4316,2.4418,2.4113,2.4113,61315,0
9601,HWGB,D,19950117,2.4825,2.4825,2.4316,2.4316,12986,0
9601,HWGB,D,19950118,2.4316,2.4316,2.4011,2.4011,45958,0
9601,HWGB,D,19950119,2.2892,2.2892,2.2383,2.2383,18655,0
9601,HWGB,D,19950120,2.2281,2.2484,2.1874,2.1874,115003,0
9601,HWGB,D,19950123,2.1874,2.3401,2.1874,2.3401,34044,0
9601,HWGB,D,19950124,2.2281,2.3401,2.2179,2.3401,35218,0
9601,HWGB,D,19950125,2.2892,2.3096,2.2892,2.3096,5858,0
9601,HWGB,D,19950126,2.2892,2.3197,2.2383,2.3197,19931,0
9601,HWGB,D,19950127,2.2892,2.3401,2.2892,2.3401,21131,0
9601,HWGB,D,19950203,2.3502,2.3502,2.3502,2.3502,1175,0
9601,HWGB,D,19950206,2.4418,2.4927,2.3502,2.4011,57742,0
9601,HWGB,D,19950207,2.4113,2.4723,2.4113,2.4316,24792,0
9601,HWGB,D,19950208,2.4418,2.4520,2.4214,2.4418,9450,0
9601,HWGB,D,19950209,2.4418,2.5232,2.4418,2.5232,13054,0
9601,HWGB,D,19950210,2.5639,2.6453,2.5436,2.6453,77626,0
9601,HWGB,D,19950213,2.6758,2.7368,2.6758,2.7165,76693,0
9601,HWGB,D,19950214,2.7267,2.7267,2.5944,2.6351,23873,0
9601,HWGB,D,19950215,2.6351,2.6656,2.6351,2.6453,34633,0
9601,HWGB,D,19950216,2.7267,2.7470,2.6961,2.7165,85082,0
9601,HWGB,D,19950217,2.6453,2.6961,2.6453,2.6758,40665,0
9601,HWGB,D,19950220,2.6860,2.7165,2.6860,2.6961,69437,0
9601,HWGB,D,19950221,2.6860,2.6860,2.6758,2.6758,76546,0
9601,HWGB,D,19950222,2.5944,2.5944,2.5028,2.5028,4742,0
9601,HWGB,D,19950223,2.5333,2.5333,2.5232,2.5333,40371,0
9601,HWGB,D,19950227,2.4927,2.5130,2.4927,2.5130,54559,0
9601,HWGB,D,19950228,2.6453,2.6453,2.5232,2.5333,21373,0
9601,HWGB,D,19950306,2.5436,2.5436,2.5436,2.5436,1188,0
9601,HWGB,D,19950307,2.3909,2.4011,2.3909,2.3909,11777,0
9601,HWGB,D,19950309,2.3909,2.4113,2.3909,2.4113,2358,0
9601,HWGB,D,19950310,2.3909,2.3909,2.3909,2.3909,1178,0
9601,HWGB,D,19950313,2.4927,2.7673,2.3909,2.7673,36034,0
9601,HWGB,D,19950314,2.6860,2.6860,2.4927,2.5130,24907,0
9601,HWGB,D,19950315,2.4927,2.4927,2.4927,2.4927,2369,0
9601,HWGB,D,19950316,2.4418,2.5436,2.4418,2.5436,15444,0
9601,HWGB,D,19950320,2.4927,2.4927,2.3401,2.3909,27087,0
9601,HWGB,D,19950321,2.3909,2.3909,2.3909,2.3909,24731,0
9601,HWGB,D,19950322,2.3807,2.3909,2.3807,2.3909,57706,0
9601,HWGB,D,19950323,2.3299,2.3604,2.3197,2.3604,64650,0
9601,HWGB,D,19950324,2.3401,2.3604,2.3401,2.3604,21158,0
9601,HWGB,D,19950327,2.3909,2.5436,2.2892,2.4927,24879,0
9601,HWGB,D,19950328,2.4316,2.4316,2.4113,2.4113,4717,0
9601,HWGB,D,19950329,2.4214,2.4418,2.3401,2.4418,68514,0
9601,HWGB,D,19950330,2.4418,2.4418,2.3706,2.3706,9410,0
9601,HWGB,D,19950331,2.3197,2.3401,2.3197,2.3299,21117,0
9601,HWGB,D,19950403,2.3604,2.3604,2.2993,2.3401,28174,0
9601,HWGB,D,19950404,2.2993,2.3401,2.2993,2.3401,18783,0
9601,HWGB,D,19950405,2.3401,2.5436,2.3401,2.3909,131900,0
9601,HWGB,D,19950406,2.3909,2.4011,2.3706,2.3807,54139,0
9601,HWGB,D,19950407,2.3502,2.3502,2.3502,2.3502,1175,0
9601,HWGB,D,19950410,2.2993,2.2993,2.2892,2.2892,4680,0
9601,HWGB,D,19950411,2.2892,2.2993,2.2892,2.2892,4680,0
9601,HWGB,D,19950412,2.3197,2.3197,2.2688,2.2688,8179,0
