<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5255,ICON,D,20140625,7.2772,7.5891,6.5842,6.6188,38768348,0
5255,ICON,D,20140626,6.6188,6.7574,6.4802,6.5842,4552793,0
5255,ICON,D,20140627,6.5842,6.5842,6.5148,6.5148,1388635,0
5255,ICON,D,20140630,6.5148,6.5148,6.4109,6.4109,2255302,0
5255,ICON,D,20140701,6.4455,6.4802,6.4109,6.4455,4065916,0
5255,ICON,D,20140702,6.4455,6.5842,6.4455,6.4802,1604285,0
5255,ICON,D,20140703,6.5148,6.5148,6.4109,6.4109,610444,0
5255,ICON,D,20140704,6.4455,6.4802,6.4109,6.4109,527797,0
5255,ICON,D,20140707,6.4109,6.4455,6.4109,6.4109,1125602,0
5255,ICON,D,20140708,6.4455,6.4455,6.4109,6.4109,937309,0
5255,ICON,D,20140709,6.4109,6.4455,6.3762,6.4109,1868818,0
5255,ICON,D,20140710,6.4109,6.4455,6.4109,6.4109,927671,0
5255,ICON,D,20140711,6.4109,6.4455,6.4109,6.4455,450085,0
5255,ICON,D,20140714,6.4109,6.4455,6.4109,6.4109,632289,0
5255,ICON,D,20140716,6.4109,6.4455,6.3416,6.4109,965907,0
5255,ICON,D,20140717,6.4109,6.4109,6.3069,6.4109,1683700,0
5255,ICON,D,20140718,6.3762,6.4109,6.2723,6.4109,1317329,0
5255,ICON,D,20140721,6.3762,6.3762,6.3416,6.3762,379962,0
5255,ICON,D,20140722,6.3416,6.4109,6.3069,6.4109,1350024,0
5255,ICON,D,20140723,6.3762,6.3762,6.3416,6.3416,667235,0
5255,ICON,D,20140724,6.3069,6.3416,6.2030,6.2376,1010664,0
5255,ICON,D,20140725,6.2030,6.2030,5.9604,6.0297,955749,0
5255,ICON,D,20140730,6.0990,6.1683,6.0297,6.1683,327154,0
5255,ICON,D,20140731,6.1337,6.2030,6.0990,6.1683,274085,0
5255,ICON,D,20140801,6.0990,6.1683,6.0644,6.1683,240236,0
5255,ICON,D,20140804,6.1337,6.1337,5.9950,6.0644,380741,0
5255,ICON,D,20140805,6.0644,6.0990,6.0297,6.0644,180328,0
5255,ICON,D,20140806,6.0644,6.2030,5.9950,6.1683,426624,0
5255,ICON,D,20140807,6.2030,6.3416,6.2030,6.3069,504654,0
5255,ICON,D,20140808,6.3069,6.3416,6.1683,6.3069,263726,0
5255,ICON,D,20140811,6.3762,6.6188,6.3762,6.4109,1491049,0
5255,ICON,D,20140812,6.3762,6.4455,6.3069,6.3762,290505,0
5255,ICON,D,20140813,6.3416,6.3762,6.2723,6.3069,299335,0
5255,ICON,D,20140814,6.3069,6.3762,6.2723,6.3069,155598,0
5255,ICON,D,20140815,6.3416,6.3416,6.2376,6.2376,214351,0
5255,ICON,D,20140818,6.3762,6.4109,6.2723,6.3069,374912,0
5255,ICON,D,20140819,6.2723,6.3416,6.2723,6.2723,248085,0
5255,ICON,D,20140820,6.2723,6.3069,6.2376,6.2723,614051,0
5255,ICON,D,20140821,6.2723,6.2723,6.2030,6.2376,71306,0
5255,ICON,D,20140822,6.2030,6.2376,6.1683,6.2030,123999,0
5255,ICON,D,20140825,6.2030,6.2030,6.1337,6.1683,86312,0
5255,ICON,D,20140826,6.2030,6.2030,6.1337,6.1683,101491,0
5255,ICON,D,20140827,6.1683,6.2030,6.1337,6.2030,62620,0
5255,ICON,D,20140828,6.1683,6.2030,6.1683,6.2030,107551,0
5255,ICON,D,20140829,6.2376,6.2376,6.0644,6.0990,72633,0
5255,ICON,D,20140902,6.0990,6.1683,6.0990,6.1337,190226,0
5255,ICON,D,20140903,6.0990,6.1337,6.0990,6.1337,120277,0
5255,ICON,D,20140904,6.1337,6.1683,6.0990,6.1337,66458,0
5255,ICON,D,20140905,6.1683,6.2376,6.0990,6.1683,261504,0
5255,ICON,D,20140908,6.1683,6.1683,6.0990,6.1337,61754,0
5255,ICON,D,20140909,6.1337,6.1337,6.0297,6.1337,79184,0
5255,ICON,D,20140910,6.0990,6.1337,6.0644,6.0990,95661,0
5255,ICON,D,20140911,6.0990,6.1337,6.0644,6.0990,141487,0
5255,ICON,D,20140912,6.0644,6.0990,6.0644,6.0644,362215,0
5255,ICON,D,20140915,6.0644,6.0644,6.0297,6.0644,84840,0
5255,ICON,D,20140917,6.0297,6.0644,5.9604,5.9604,99903,0
5255,ICON,D,20140918,5.9604,5.9604,5.7525,5.7525,284128,0
5255,ICON,D,20140919,5.7178,5.8218,5.6485,5.7525,384233,0
5255,ICON,D,20140922,5.7525,5.7871,5.6832,5.7178,264130,0
5255,ICON,D,20140923,5.7178,5.7178,5.5792,5.6139,352548,0
5255,ICON,D,20140924,5.5792,5.6139,5.5446,5.5446,147864,0
5255,ICON,D,20140925,5.5446,5.5446,5.4059,5.4059,209214,0
5255,ICON,D,20140926,5.3713,5.4406,5.3020,5.3713,758799,0
5255,ICON,D,20140929,5.4059,5.4752,5.3713,5.4059,138745,0
5255,ICON,D,20140930,5.4059,5.4406,5.2673,5.3020,134734,0
5255,ICON,D,20141001,5.3020,5.3020,5.1287,5.1980,488754,0
5255,ICON,D,20141002,5.1634,5.1634,4.9554,5.0248,641870,0
5255,ICON,D,20141003,4.9901,4.9901,4.8515,4.9208,394564,0
5255,ICON,D,20141007,5.0248,5.2327,4.9901,5.1287,1011934,0
5255,ICON,D,20141008,5.0594,5.0594,4.9208,4.9554,250365,0
5255,ICON,D,20141009,4.9901,4.9901,4.9208,4.9208,167083,0
5255,ICON,D,20141010,4.8515,4.8861,4.7475,4.8168,437244,0
5255,ICON,D,20141013,4.7822,4.7822,4.5049,4.5049,431645,0
5255,ICON,D,20141014,4.4703,4.4703,4.1931,4.4010,712310,0
5255,ICON,D,20141015,4.4356,4.5396,4.4010,4.5049,892379,0
5255,ICON,D,20141016,4.3663,4.4356,4.2624,4.4010,445843,0
5255,ICON,D,20141017,4.3317,4.5743,4.3317,4.5396,521622,0
5255,ICON,D,20141020,4.5743,4.7822,4.5743,4.7129,242977,0
5255,ICON,D,20141021,4.5396,4.7129,4.5396,4.7129,33157,0
5255,ICON,D,20141023,4.7129,4.8861,4.7129,4.8515,188264,0
5255,ICON,D,20141024,4.8861,5.1287,4.8861,5.0941,686281,0
5255,ICON,D,20141027,5.1287,5.1287,4.9208,5.0248,45335,0
5255,ICON,D,20141028,5.0248,5.0248,4.7129,4.7822,122181,0
5255,ICON,D,20141029,4.8515,4.9208,4.7822,4.8168,58349,0
5255,ICON,D,20141030,4.8168,4.8168,4.6782,4.6782,126221,0
5255,ICON,D,20141031,4.7129,4.7822,4.6436,4.7822,242112,0
5255,ICON,D,20141103,4.7129,4.7475,4.6782,4.7129,50789,0
5255,ICON,D,20141104,4.6782,4.6782,4.5743,4.5743,71797,0
5255,ICON,D,20141105,4.5743,4.7129,4.5049,4.5396,102789,0
5255,ICON,D,20141106,4.6436,4.6436,4.5049,4.5396,67035,0
5255,ICON,D,20141107,4.6089,4.7822,4.5743,4.7822,246642,0
5255,ICON,D,20141110,4.7822,4.7822,4.6782,4.7129,145786,0
5255,ICON,D,20141111,4.6436,4.7475,4.6436,4.7129,221161,0
5255,ICON,D,20141112,4.6436,4.7129,4.6436,4.7129,99095,0
5255,ICON,D,20141113,4.6782,4.7129,4.5743,4.6436,104376,0
5255,ICON,D,20141114,4.6782,4.6782,4.5396,4.6089,46922,0
5255,ICON,D,20141117,4.6782,4.6782,4.5049,4.5743,98374,0
5255,ICON,D,20141118,4.5743,4.6089,4.5049,4.6089,147951,0
5255,ICON,D,20141119,4.6782,4.8168,4.6436,4.7475,140938,0
5255,ICON,D,20141120,4.7475,4.7475,4.6436,4.6782,264043,0
5255,ICON,D,20141121,4.7822,4.7822,4.5743,4.6089,120507,0
5255,ICON,D,20141124,4.6782,4.7475,4.6436,4.7129,84955,0
5255,ICON,D,20141125,4.6782,4.9208,4.6436,4.7129,1030143,0
5255,ICON,D,20141126,4.6782,4.7129,4.6782,4.7129,35350,0
5255,ICON,D,20141127,4.6436,4.6436,4.4703,4.5049,523786,0
5255,ICON,D,20141128,4.4703,4.5049,4.3663,4.4703,727777,0
5255,ICON,D,20141201,4.2624,4.3317,4.0198,4.0545,182522,0
5255,ICON,D,20141202,4.0545,4.1584,4.0545,4.1238,637051,0
5255,ICON,D,20141203,4.0545,4.1584,4.0545,4.1238,250278,0
5255,ICON,D,20141204,4.0891,4.1238,4.0891,4.1238,191208,0
5255,ICON,D,20141205,4.0891,4.1238,4.0545,4.0891,131069,0
5255,ICON,D,20141208,4.0891,4.0891,3.9158,3.9505,702931,0
5255,ICON,D,20141209,3.9505,3.9851,3.9505,3.9851,325970,0
5255,ICON,D,20141210,3.9851,4.0198,3.9505,3.9851,605106,0
5255,ICON,D,20141211,3.9505,3.9505,3.7772,3.8465,898900,0
5255,ICON,D,20141212,3.8119,3.8119,3.7426,3.8119,413523,0
5255,ICON,D,20141215,3.6733,3.6733,3.4480,3.4653,812906,0
5255,ICON,D,20141216,3.4134,3.4134,3.0149,3.1015,239774,0
5255,ICON,D,20141217,3.1015,3.2401,3.1015,3.2228,91362,0
5255,ICON,D,20141218,3.2748,3.3441,3.2748,3.3267,87495,0
5255,ICON,D,20141219,3.3787,3.4307,3.3441,3.3787,81117,0
5255,ICON,D,20141222,3.3960,3.3960,2.6856,2.7203,19843248,0
5255,ICON,D,20141223,2.7723,2.7723,2.4604,2.5817,17862666,0
5255,ICON,D,20141224,2.5990,2.6510,2.5124,2.5470,10177515,0
5255,ICON,D,20141226,2.5470,2.6337,2.5297,2.6163,8220509,0
5255,ICON,D,20141229,2.5817,2.6510,2.5124,2.5297,10940931,0
5255,ICON,D,20141230,2.5124,2.5297,2.4257,2.4257,5611562,0
