<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0023,IFCAMSC,D,20030730,0.2300,0.2375,0.1975,0.2025,89332919,0
0023,IFCAMSC,D,20030731,0.2050,0.2075,0.2000,0.2050,10098741,0
0023,IFCAMSC,D,20030801,0.2075,0.2225,0.2050,0.2175,37933706,0
0023,IFCAMSC,D,20030804,0.2175,0.2250,0.2150,0.2225,16430993,0
0023,IFCAMSC,D,20030805,0.2225,0.2500,0.2225,0.2475,49675360,0
0023,IFCAMSC,D,20030806,0.2425,0.2725,0.2350,0.2700,49383481,0
0023,IFCAMSC,D,20030807,0.2725,0.2800,0.2625,0.2650,24534989,0
0023,IFCAMSC,D,20030808,0.2650,0.2650,0.2550,0.2600,7038392,0
0023,IFCAMSC,D,20030811,0.2600,0.2625,0.2550,0.2625,9064562,0
0023,IFCAMSC,D,20030812,0.2625,0.2750,0.2600,0.2700,21599111,0
0023,IFCAMSC,D,20030813,0.2750,0.2750,0.2625,0.2650,11574789,0
0023,IFCAMSC,D,20030814,0.2675,0.2750,0.2600,0.2725,15397980,0
0023,IFCAMSC,D,20030815,0.2725,0.2825,0.2700,0.2700,25170933,0
0023,IFCAMSC,D,20030818,0.2725,0.2850,0.2700,0.2825,20268074,0
0023,IFCAMSC,D,20030819,0.2850,0.2875,0.2800,0.2825,16279280,0
0023,IFCAMSC,D,20030820,0.2825,0.2825,0.2650,0.2700,5343067,0
0023,IFCAMSC,D,20030821,0.2700,0.2800,0.2700,0.2775,9648623,0
0023,IFCAMSC,D,20030822,0.2800,0.2825,0.2750,0.2800,7701386,0
0023,IFCAMSC,D,20030825,0.2800,0.2800,0.2700,0.2700,7007081,0
0023,IFCAMSC,D,20030826,0.2725,0.2775,0.2725,0.2775,2629326,0
0023,IFCAMSC,D,20030827,0.2750,0.2900,0.2700,0.2875,18816609,0
0023,IFCAMSC,D,20030828,0.2900,0.3075,0.2750,0.2800,36016193,0
0023,IFCAMSC,D,20030829,0.2850,0.2925,0.2800,0.2850,11343656,0
0023,IFCAMSC,D,20030902,0.2800,0.2900,0.2750,0.2750,3844309,0
0023,IFCAMSC,D,20030903,0.2775,0.2775,0.2575,0.2625,8018981,0
0023,IFCAMSC,D,20030904,0.2650,0.2700,0.2500,0.2500,9078560,0
0023,IFCAMSC,D,20030905,0.2525,0.2575,0.2400,0.2450,5747645,0
0023,IFCAMSC,D,20030908,0.2425,0.2450,0.2275,0.2275,5689675,0
0023,IFCAMSC,D,20030909,0.2300,0.2375,0.2250,0.2275,3211073,0
0023,IFCAMSC,D,20030910,0.2250,0.2350,0.2175,0.2350,4718523,0
0023,IFCAMSC,D,20030911,0.2300,0.2550,0.2300,0.2500,7782080,0
0023,IFCAMSC,D,20030912,0.2550,0.2575,0.2450,0.2475,7164741,0
0023,IFCAMSC,D,20030915,0.2475,0.2475,0.2350,0.2425,2190134,0
0023,IFCAMSC,D,20030916,0.2425,0.2475,0.2425,0.2450,1528322,0
0023,IFCAMSC,D,20030917,0.2500,0.2625,0.2475,0.2525,8472440,0
0023,IFCAMSC,D,20030918,0.2550,0.2575,0.2475,0.2525,2423584,0
0023,IFCAMSC,D,20030919,0.2550,0.2675,0.2550,0.2625,5452629,0
0023,IFCAMSC,D,20030922,0.2625,0.2700,0.2575,0.2575,4855419,0
0023,IFCAMSC,D,20030923,0.2550,0.2600,0.2525,0.2575,2184270,0
0023,IFCAMSC,D,20030924,0.2675,0.2675,0.2575,0.2600,3347238,0
0023,IFCAMSC,D,20030925,0.2600,0.2600,0.2500,0.2525,2330394,0
0023,IFCAMSC,D,20030926,0.2525,0.2575,0.2475,0.2500,2458560,0
0023,IFCAMSC,D,20030929,0.2500,0.2500,0.2375,0.2425,1932303,0
0023,IFCAMSC,D,20030930,0.2450,0.2450,0.2400,0.2425,1216441,0
0023,IFCAMSC,D,20031001,0.2375,0.2425,0.2375,0.2400,1426900,0
0023,IFCAMSC,D,20031002,0.2450,0.2450,0.2350,0.2400,1694483,0
0023,IFCAMSC,D,20031003,0.2400,0.2400,0.2350,0.2350,1051430,0
0023,IFCAMSC,D,20031006,0.2350,0.2450,0.2350,0.2400,1711583,0
0023,IFCAMSC,D,20031007,0.2450,0.2525,0.2450,0.2450,3453490,0
0023,IFCAMSC,D,20031008,0.2500,0.2625,0.2500,0.2600,2308385,0
0023,IFCAMSC,D,20031009,0.2625,0.2725,0.2600,0.2675,6746972,0
0023,IFCAMSC,D,20031010,0.2700,0.2750,0.2650,0.2675,2567882,0
0023,IFCAMSC,D,20031013,0.2725,0.2725,0.2650,0.2700,2263230,0
0023,IFCAMSC,D,20031014,0.2725,0.2725,0.2650,0.2675,2135647,0
0023,IFCAMSC,D,20031015,0.2700,0.2700,0.2625,0.2675,1881477,0
0023,IFCAMSC,D,20031016,0.2675,0.2700,0.2575,0.2575,1453386,0
0023,IFCAMSC,D,20031017,0.2575,0.2700,0.2575,0.2625,1637829,0
0023,IFCAMSC,D,20031020,0.2650,0.2650,0.2600,0.2600,743077,0
0023,IFCAMSC,D,20031021,0.2625,0.2650,0.2600,0.2600,749862,0
0023,IFCAMSC,D,20031022,0.2575,0.2650,0.2575,0.2650,592751,0
0023,IFCAMSC,D,20031023,0.2650,0.2650,0.2575,0.2600,1447385,0
