<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
3336,IJM,D,19940103,1.7574,1.8724,1.7245,1.8724,1418396,0
3336,IJM,D,19940104,1.8395,1.9052,1.7574,1.8067,2757878,0
3336,IJM,D,19940105,1.8067,1.8231,1.7245,1.7410,4517551,0
3336,IJM,D,19940106,1.6917,1.7574,1.5274,1.5603,7841798,0
3336,IJM,D,19940107,1.5931,1.6260,1.5373,1.6260,6666838,0
3336,IJM,D,19940110,1.5669,1.6260,1.5537,1.5767,5077804,0
3336,IJM,D,19940111,1.5537,1.5603,1.5274,1.5537,5083919,0
3336,IJM,D,19940112,1.5274,1.5274,1.4683,1.4848,5528278,0
3336,IJM,D,19940113,1.5373,1.5537,1.4683,1.4782,10265097,0
3336,IJM,D,19940114,1.5274,1.6096,1.4946,1.5931,4261885,0
3336,IJM,D,19940117,1.6753,1.6917,1.5931,1.6424,6149390,0
3336,IJM,D,19940118,1.6424,1.6424,1.6096,1.6260,78542317,0
3336,IJM,D,19940119,1.6359,1.6753,1.5537,1.5537,3945359,0
3336,IJM,D,19940120,1.5439,1.5537,1.5110,1.5439,4584525,0
3336,IJM,D,19940121,1.5669,1.5669,1.5274,1.5274,2788454,0
3336,IJM,D,19940124,1.5439,1.5767,1.5373,1.5767,931523,0
3336,IJM,D,19940125,1.5603,1.5603,1.5110,1.5274,1686292,0
3336,IJM,D,19940126,1.4683,1.5110,1.3796,1.5110,3671347,0
3336,IJM,D,19940127,1.5274,1.5537,1.5209,1.5439,1625433,0
3336,IJM,D,19940128,1.5274,1.5669,1.5274,1.5274,2697019,0
3336,IJM,D,19940131,1.5373,1.5373,1.5274,1.5373,1668238,0
3336,IJM,D,19940202,1.5439,1.6096,1.5373,1.5603,2021163,0
3336,IJM,D,19940203,1.5767,1.6030,1.5767,1.5931,1595149,0
3336,IJM,D,19940204,1.5833,1.6260,1.5767,1.6260,2563071,0
3336,IJM,D,19940207,1.5931,1.5931,1.5603,1.5767,2751763,0
3336,IJM,D,19940208,1.5931,1.6424,1.5833,1.6194,827859,0
3336,IJM,D,19940214,1.6030,1.6030,1.5833,1.5833,115603,0
3336,IJM,D,19940215,1.5833,1.5833,1.5767,1.5833,85028,0
3336,IJM,D,19940216,1.5833,1.6096,1.5833,1.5931,2276829,0
3336,IJM,D,19940217,1.5833,1.5833,1.5603,1.5603,1448971,0
3336,IJM,D,19940218,1.5603,1.5603,1.5537,1.5537,346810,0
3336,IJM,D,19940221,1.5603,1.5669,1.5537,1.5537,669741,0
3336,IJM,D,19940222,1.5603,1.5669,1.5603,1.5603,1193304,0
3336,IJM,D,19940223,1.5767,1.6194,1.5669,1.6194,1905560,0
3336,IJM,D,19940224,1.6260,1.6359,1.6096,1.6096,1308908,0
3336,IJM,D,19940225,1.6260,1.6359,1.6030,1.6260,1047126,0
3336,IJM,D,19940228,1.6359,1.6359,1.6260,1.6359,1059356,0
3336,IJM,D,19940301,1.6359,1.6753,1.6359,1.6424,1881100,0
3336,IJM,D,19940302,1.6424,1.6588,1.5931,1.5931,5266497,0
3336,IJM,D,19940303,1.5603,1.5603,1.4782,1.4946,340695,0
3336,IJM,D,19940304,1.4946,1.5833,1.4946,1.5833,261782,0
3336,IJM,D,19940307,1.5767,1.5833,1.5669,1.5669,961807,0
3336,IJM,D,19940308,1.5669,1.5833,1.5603,1.5767,986267,0
3336,IJM,D,19940309,1.5931,1.5931,1.5767,1.5767,1260279,0
3336,IJM,D,19940310,1.5603,1.5603,1.5373,1.5537,864549,0
3336,IJM,D,19940311,1.5439,1.5439,1.4946,1.4946,1473431,0
3336,IJM,D,19940317,1.5012,1.5012,1.3796,1.3796,2703134,0
3336,IJM,D,19940318,1.3632,1.4782,1.3304,1.4059,3646887,0
3336,IJM,D,19940321,1.3796,1.3796,1.2318,1.2647,1869161,0
3336,IJM,D,19940322,1.2647,1.3632,1.2482,1.3632,1028781,0
3336,IJM,D,19940323,1.3698,1.4782,1.3698,1.4782,608591,0
3336,IJM,D,19940324,1.4782,1.4782,1.3961,1.4191,1467316,0
3336,IJM,D,19940325,1.4059,1.4059,1.3139,1.3468,2173456,0
3336,IJM,D,19940328,1.3304,1.3304,1.2909,1.2975,876488,0
3336,IJM,D,19940329,1.3468,1.3468,1.3139,1.3468,1570689,0
3336,IJM,D,19940330,1.3468,1.3468,1.3139,1.3468,157084633,0
3336,IJM,D,19940331,1.3468,1.4125,1.3468,1.4059,1406457,0
3336,IJM,D,19940401,1.3796,1.3862,1.3796,1.3862,48629,0
3336,IJM,D,19940404,1.3238,1.3862,1.3238,1.3238,11939,0
3336,IJM,D,19940405,1.3238,1.3862,1.3238,1.3566,657511,0
3336,IJM,D,19940406,1.3796,1.3961,1.3698,1.3796,1193304,0
3336,IJM,D,19940407,1.3796,1.3862,1.3632,1.3862,748654,0
3336,IJM,D,19940408,1.3961,1.4125,1.3862,1.3862,925408,0
3336,IJM,D,19940411,1.3862,1.4289,1.3862,1.4125,407669,0
3336,IJM,D,19940412,1.4289,1.5439,1.4289,1.5110,2587531,0
3336,IJM,D,19940413,1.5012,1.5439,1.5012,1.5274,748654,0
3336,IJM,D,19940414,1.5209,1.5274,1.5012,1.5110,1400342,0
3336,IJM,D,19940415,1.5110,1.5110,1.4848,1.4946,1692407,0
3336,IJM,D,19940418,1.4848,1.5012,1.4848,1.4946,724485,0
3336,IJM,D,19940419,1.4848,1.4946,1.4782,1.4782,1540405,0
3336,IJM,D,19940420,1.4848,1.5439,1.4848,1.5439,955692,0
3336,IJM,D,19940421,1.5274,1.5373,1.5274,1.5274,535502,0
3336,IJM,D,19940422,1.5209,1.5274,1.4946,1.4946,998497,0
3336,IJM,D,19940425,1.5110,1.5373,1.5110,1.5274,1120215,0
3336,IJM,D,19940426,1.5373,1.5373,1.5209,1.5274,852319,0
3336,IJM,D,19940427,1.5274,1.5274,1.5209,1.5209,1467316,0
3336,IJM,D,19940428,1.5209,1.5209,1.5110,1.5110,2356034,0
3336,IJM,D,19940429,1.5110,1.5274,1.5012,1.5274,736715,0
3336,IJM,D,19940503,1.5274,1.5274,1.5209,1.5274,1540405,0
3336,IJM,D,19940504,1.5209,1.5209,1.5012,1.5110,389615,0
3336,IJM,D,19940505,1.4946,1.4946,1.4618,1.4683,791460,0
3336,IJM,D,19940506,1.4782,1.4848,1.4683,1.4782,1802187,0
3336,IJM,D,19940509,1.4782,1.4782,1.4683,1.4782,1126330,0
3336,IJM,D,19940510,1.4683,1.4683,1.4552,1.4552,1589034,0
3336,IJM,D,19940511,1.4683,1.4782,1.4683,1.4683,139772,0
3336,IJM,D,19940512,1.4618,1.4683,1.4618,1.4683,54744,0
3336,IJM,D,19940513,1.4782,1.4782,1.4782,1.4782,724485,0
