<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0166,INARI,D,20110719,0.1696,0.1741,0.1679,0.1735,115116099,0
0166,INARI,D,20110720,0.1735,0.1775,0.1730,0.1769,56887076,0
0166,INARI,D,20110721,0.1769,0.1769,0.1724,0.1730,15227968,0
0166,INARI,D,20110722,0.1730,0.1735,0.1707,0.1724,6435459,0
0166,INARI,D,20110725,0.1724,0.1724,0.1701,0.1718,7489826,0
0166,INARI,D,20110726,0.1718,0.1735,0.1718,0.1730,9239247,0
0166,INARI,D,20110727,0.1735,0.1735,0.1718,0.1718,4694842,0
0166,INARI,D,20110728,0.1724,0.1724,0.1718,0.1724,4497630,0
0166,INARI,D,20110729,0.1718,0.1724,0.1718,0.1718,2852540,0
0166,INARI,D,20110801,0.1718,0.1724,0.1713,0.1724,2248941,0
0166,INARI,D,20110802,0.1724,0.1724,0.1713,0.1724,1564898,0
0166,INARI,D,20110803,0.1713,0.1809,0.1713,0.1786,36881361,0
0166,INARI,D,20110804,0.1786,0.1792,0.1741,0.1741,9988069,0
0166,INARI,D,20110805,0.1724,0.1764,0.1713,0.1735,10360964,0
0166,INARI,D,20110808,0.1707,0.1724,0.1684,0.1713,6206588,0
0166,INARI,D,20110809,0.1673,0.1718,0.1662,0.1684,7899420,0
0166,INARI,D,20110810,0.1701,0.1713,0.1701,0.1701,2481272,0
0166,INARI,D,20110811,0.1690,0.1701,0.1690,0.1701,2414923,0
0166,INARI,D,20110812,0.1701,0.1707,0.1696,0.1701,1420658,0
0166,INARI,D,20110815,0.1696,0.1707,0.1696,0.1707,1060721,0
0166,INARI,D,20110816,0.1707,0.1707,0.1701,0.1707,641944,0
0166,INARI,D,20110817,0.1707,0.1752,0.1707,0.1747,7643656,0
0166,INARI,D,20110818,0.1752,0.1758,0.1735,0.1735,3600335,0
0166,INARI,D,20110819,0.1735,0.1735,0.1718,0.1730,2913466,0
0166,INARI,D,20110822,0.1718,0.1724,0.1718,0.1718,1281253,0
0166,INARI,D,20110823,0.1724,0.1724,0.1707,0.1724,1218208,0
0166,INARI,D,20110824,0.1718,0.1718,0.1707,0.1718,1661125,0
0166,INARI,D,20110825,0.1713,0.1713,0.1713,0.1713,2680067,0
0166,INARI,D,20110826,0.1707,0.1713,0.1701,0.1713,2451765,0
0166,INARI,D,20110829,0.1718,0.1718,0.1701,0.1701,270764,0
0166,INARI,D,20110902,0.1713,0.1713,0.1701,0.1701,622026,0
0166,INARI,D,20110905,0.1713,0.1713,0.1701,0.1701,868396,0
0166,INARI,D,20110906,0.1707,0.1707,0.1696,0.1696,2103652,0
0166,INARI,D,20110907,0.1701,0.1701,0.1696,0.1701,1055980,0
0166,INARI,D,20110908,0.1701,0.1707,0.1701,0.1707,59544,0
