<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5295,INNATURE,D,20200220,0.6968,0.7161,0.6194,0.6339,148493203,0
5295,INNATURE,D,20200221,0.6339,0.6339,0.5710,0.5710,35113597,0
5295,INNATURE,D,20200224,0.5468,0.5710,0.4839,0.5565,19268257,0
5295,INNATURE,D,20200225,0.5371,0.5903,0.5323,0.5903,16568983,0
5295,INNATURE,D,20200226,0.5855,0.6048,0.5613,0.5661,16088483,0
5295,INNATURE,D,20200227,0.5806,0.5806,0.5419,0.5419,2678917,0
5295,INNATURE,D,20200228,0.5323,0.5516,0.5032,0.5274,4481153,0
5295,INNATURE,D,20200302,0.5177,0.5323,0.5032,0.5226,5876360,0
5295,INNATURE,D,20200303,0.5323,0.5323,0.4984,0.4984,4579527,0
5295,INNATURE,D,20200304,0.4935,0.5081,0.4935,0.4984,1377330,0
5295,INNATURE,D,20200305,0.4984,0.5032,0.4887,0.4984,2247603,0
5295,INNATURE,D,20200306,0.4984,0.4984,0.4790,0.4839,1523650,0
5295,INNATURE,D,20200309,0.4645,0.4645,0.3871,0.4548,7556353,0
5295,INNATURE,D,20200310,0.4452,0.4500,0.4306,0.4452,1603217,0
5295,INNATURE,D,20200311,0.4452,0.4500,0.4210,0.4210,778927,0
5295,INNATURE,D,20200312,0.4161,0.4161,0.3677,0.3774,1767723,0
5295,INNATURE,D,20200313,0.3581,0.3581,0.3242,0.3339,7068517,0
5295,INNATURE,D,20200316,0.3290,0.3290,0.2903,0.3097,4506160,0
5295,INNATURE,D,20200317,0.2516,0.3000,0.2516,0.2952,894040,0
5295,INNATURE,D,20200318,0.2903,0.2903,0.2661,0.2806,635190,0
5295,INNATURE,D,20200319,0.2710,0.2710,0.2419,0.2516,1498127,0
5295,INNATURE,D,20200320,0.2516,0.3145,0.2516,0.3145,1694563,0
5295,INNATURE,D,20200323,0.2855,0.2855,0.2613,0.2661,930310,0
5295,INNATURE,D,20200324,0.2758,0.2855,0.2710,0.2758,1081073,0
5295,INNATURE,D,20200325,0.2855,0.3048,0.2758,0.2758,1424863,0
5295,INNATURE,D,20200326,0.2758,0.2952,0.2758,0.2903,1514763,0
5295,INNATURE,D,20200327,0.2903,0.3048,0.2903,0.3000,926280,0
5295,INNATURE,D,20200330,0.2950,0.2950,0.2850,0.2850,789800,0
5295,INNATURE,D,20200331,0.2900,0.3050,0.2800,0.3000,1364900,0
5295,INNATURE,D,20200401,0.3000,0.3400,0.2900,0.3100,1387000,0
5295,INNATURE,D,20200402,0.3000,0.3150,0.3000,0.3150,343500,0
5295,INNATURE,D,20200403,0.3200,0.3300,0.2950,0.3000,900500,0
5295,INNATURE,D,20200406,0.3100,0.3200,0.3050,0.3200,2196300,0
5295,INNATURE,D,20200407,0.3250,0.3350,0.3200,0.3250,1936200,0
5295,INNATURE,D,20200408,0.3250,0.3250,0.3100,0.3200,2364100,0
5295,INNATURE,D,20200409,0.3200,0.3300,0.3200,0.3200,640300,0
5295,INNATURE,D,20200410,0.3250,0.3250,0.3150,0.3150,926500,0
5295,INNATURE,D,20200413,0.3150,0.3200,0.3150,0.3200,298700,0
5295,INNATURE,D,20200414,0.3200,0.3250,0.3200,0.3250,621900,0
5295,INNATURE,D,20200415,0.3200,0.3850,0.3200,0.3600,5199500,0
5295,INNATURE,D,20200416,0.3600,0.3750,0.3600,0.3600,1663700,0
5295,INNATURE,D,20200417,0.3650,0.3950,0.3650,0.3700,4826500,0
5295,INNATURE,D,20200420,0.3700,0.3850,0.3600,0.3650,1782000,0
5295,INNATURE,D,20200421,0.3650,0.3650,0.3350,0.3500,1665700,0
5295,INNATURE,D,20200422,0.3300,0.3550,0.3250,0.3500,1509800,0
5295,INNATURE,D,20200423,0.3550,0.3650,0.3450,0.3500,698500,0
5295,INNATURE,D,20200424,0.3350,0.3500,0.3350,0.3400,296000,0
5295,INNATURE,D,20200427,0.3400,0.3650,0.3350,0.3600,2048000,0
5295,INNATURE,D,20200428,0.3650,0.3750,0.3500,0.3550,1121400,0
5295,INNATURE,D,20200429,0.3600,0.4050,0.3600,0.3850,5089900,0
5295,INNATURE,D,20200430,0.3950,0.4250,0.3900,0.3950,9490400,0
5295,INNATURE,D,20200504,0.3900,0.4100,0.3800,0.3900,2542500,0
5295,INNATURE,D,20200505,0.3950,0.4050,0.3950,0.4000,484600,0
5295,INNATURE,D,20200506,0.3950,0.3950,0.3800,0.3900,1105400,0
5295,INNATURE,D,20200508,0.3900,0.4000,0.3800,0.3900,1993200,0
5295,INNATURE,D,20200512,0.3900,0.4000,0.3800,0.3800,2286600,0
5295,INNATURE,D,20200513,0.3800,0.3850,0.3750,0.3800,717200,0
5295,INNATURE,D,20200514,0.3800,0.4250,0.3750,0.4150,6645100,0
5295,INNATURE,D,20200515,0.4150,0.4300,0.3950,0.4000,4081400,0
5295,INNATURE,D,20200518,0.4000,0.4000,0.3850,0.3950,1091600,0
5295,INNATURE,D,20200519,0.3950,0.4250,0.3900,0.3950,3484400,0
5295,INNATURE,D,20200520,0.3950,0.4050,0.3900,0.3950,1307500,0
5295,INNATURE,D,20200521,0.4000,0.4250,0.4000,0.4050,5859600,0
5295,INNATURE,D,20200522,0.4050,0.4100,0.3850,0.3950,2536100,0
5295,INNATURE,D,20200527,0.4050,0.4050,0.3900,0.3950,741300,0
5295,INNATURE,D,20200528,0.3900,0.3950,0.3850,0.3850,1171600,0
5295,INNATURE,D,20200529,0.3850,0.3850,0.3750,0.3800,1452300,0
5295,INNATURE,D,20200601,0.3700,0.3750,0.3600,0.3750,1234900,0
5295,INNATURE,D,20200602,0.3750,0.3850,0.3700,0.3800,3031200,0
5295,INNATURE,D,20200603,0.3800,0.3800,0.3250,0.3400,4003100,0
5295,INNATURE,D,20200604,0.3450,0.3550,0.3450,0.3450,2499700,0
5295,INNATURE,D,20200605,0.3450,0.3550,0.3400,0.3450,655900,0
5295,INNATURE,D,20200609,0.3550,0.3900,0.3550,0.3650,4824700,0
5295,INNATURE,D,20200610,0.3700,0.3800,0.3700,0.3700,779600,0
5295,INNATURE,D,20200611,0.3650,0.3700,0.3600,0.3650,1475800,0
5295,INNATURE,D,20200612,0.3400,0.3600,0.3400,0.3600,575300,0
5295,INNATURE,D,20200615,0.3600,0.3600,0.3300,0.3350,1638900,0
5295,INNATURE,D,20200616,0.3450,0.3450,0.3400,0.3400,273700,0
5295,INNATURE,D,20200617,0.3400,0.3400,0.3350,0.3350,782900,0
5295,INNATURE,D,20200618,0.3400,0.3400,0.3350,0.3400,84100,0
5295,INNATURE,D,20200619,0.3400,0.3400,0.3300,0.3350,845500,0
5295,INNATURE,D,20200622,0.3350,0.3350,0.3250,0.3300,1095700,0
5295,INNATURE,D,20200623,0.3350,0.3500,0.3300,0.3450,1269700,0
5295,INNATURE,D,20200624,0.3450,0.3500,0.3350,0.3400,424900,0
5295,INNATURE,D,20200625,0.3350,0.3500,0.3350,0.3450,1038400,0
5295,INNATURE,D,20200626,0.3350,0.3500,0.3350,0.3500,115000,0
