<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0192,INTA,D,20170525,0.3300,0.3300,0.2950,0.3050,126423200,0
0192,INTA,D,20170526,0.3100,0.3200,0.3000,0.3050,36249000,0
0192,INTA,D,20170529,0.3100,0.3100,0.3000,0.3050,17437800,0
0192,INTA,D,20170530,0.3050,0.3100,0.2950,0.3000,11112000,0
0192,INTA,D,20170531,0.2950,0.3050,0.2900,0.2950,15139000,0
0192,INTA,D,20170601,0.3050,0.3050,0.2950,0.3000,8196900,0
0192,INTA,D,20170602,0.2950,0.3200,0.2950,0.3100,27328400,0
0192,INTA,D,20170605,0.3150,0.3450,0.3100,0.3450,31935100,0
0192,INTA,D,20170606,0.3450,0.3600,0.3350,0.3400,25612500,0
0192,INTA,D,20170607,0.3400,0.3500,0.3350,0.3450,13988300,0
0192,INTA,D,20170608,0.3450,0.3500,0.3400,0.3450,9978300,0
0192,INTA,D,20170609,0.3450,0.3500,0.3400,0.3450,5772200,0
0192,INTA,D,20170613,0.3450,0.3450,0.3300,0.3400,8943600,0
0192,INTA,D,20170614,0.3400,0.3450,0.3350,0.3400,3762200,0
0192,INTA,D,20170615,0.3400,0.3500,0.3350,0.3350,12641800,0
0192,INTA,D,20170616,0.3400,0.3400,0.3250,0.3300,4056500,0
0192,INTA,D,20170619,0.3250,0.3300,0.3050,0.3050,13052200,0
0192,INTA,D,20170620,0.3100,0.3150,0.3050,0.3150,4428300,0
0192,INTA,D,20170621,0.3100,0.3100,0.3050,0.3100,7677400,0
0192,INTA,D,20170622,0.3100,0.3150,0.3050,0.3050,3821500,0
0192,INTA,D,20170623,0.3050,0.3100,0.3050,0.3100,4297500,0
0192,INTA,D,20170628,0.3100,0.3150,0.3050,0.3150,7082300,0
0192,INTA,D,20170629,0.3150,0.3150,0.3050,0.3100,2241600,0
0192,INTA,D,20170630,0.3100,0.3100,0.3050,0.3100,2392900,0
0192,INTA,D,20170703,0.3100,0.3200,0.3050,0.3150,6436500,0
0192,INTA,D,20170704,0.3200,0.3200,0.3100,0.3150,4023000,0
0192,INTA,D,20170705,0.3150,0.3150,0.3100,0.3150,996000,0
0192,INTA,D,20170706,0.3100,0.3150,0.3050,0.3050,2447400,0
0192,INTA,D,20170707,0.3050,0.3100,0.3000,0.3000,4196800,0
0192,INTA,D,20170710,0.3050,0.3100,0.3000,0.3050,3255100,0
