<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
1589,IWCITY,D,19940103,15.6000,15.9000,14.9000,15.1000,6090000,0
1589,IWCITY,D,19940104,14.9000,15.1000,14.4000,14.5000,9150000,0
1589,IWCITY,D,19940105,14.6000,15.0000,13.9000,14.0000,18090000,0
1589,IWCITY,D,19940106,13.9000,14.0000,13.2000,13.2000,5370000,0
1589,IWCITY,D,19940107,13.1000,13.5000,12.9000,13.1000,5620000,0
1589,IWCITY,D,19940110,13.5000,13.6000,13.3000,13.5000,5230000,0
1589,IWCITY,D,19940112,12.8000,12.8000,9.8000,11.8000,9040000,0
1589,IWCITY,D,19940113,12.0000,12.2000,10.5000,10.5000,7560000,0
1589,IWCITY,D,19940114,11.3000,11.9000,11.0000,11.6000,4620000,0
1589,IWCITY,D,19940117,11.8000,11.9000,11.1000,11.2000,5200000,0
1589,IWCITY,D,19940118,11.2000,11.2000,10.7000,10.8000,3990000,0
1589,IWCITY,D,19940119,10.9000,10.9000,10.7000,10.8000,2210000,0
1589,IWCITY,D,19940120,10.7000,10.8000,10.1000,10.7000,3900000,0
1589,IWCITY,D,19940121,10.6000,10.8000,10.5000,10.7000,1470000,0
1589,IWCITY,D,19940124,10.9000,10.9000,10.6000,10.6000,2190000,0
1589,IWCITY,D,19940125,9.8000,9.8000,8.6000,8.9000,5070000,0
1589,IWCITY,D,19940126,8.9000,9.4000,8.3500,9.2000,24160000,0
1589,IWCITY,D,19940127,9.3000,9.7500,9.2000,9.6000,20950000,0
1589,IWCITY,D,19940128,9.5000,9.9000,9.5000,9.5500,5160000,0
1589,IWCITY,D,19940131,9.5000,9.6000,9.3000,9.3000,1630000,0
1589,IWCITY,D,19940202,9.4000,10.1000,9.4000,9.6000,25200000,0
1589,IWCITY,D,19940203,9.8000,10.6000,9.7000,10.4000,14460000,0
1589,IWCITY,D,19940204,10.3000,11.4000,10.2000,11.1000,14490000,0
1589,IWCITY,D,19940207,10.3000,10.8000,9.9000,9.9500,8510000,0
1589,IWCITY,D,19940208,10.3000,10.4000,9.9000,9.9500,3010000,0
1589,IWCITY,D,19940214,10.1000,10.4000,10.0000,10.3000,7150000,0
1589,IWCITY,D,19940215,10.3000,10.5000,9.9500,10.0000,6750000,0
1589,IWCITY,D,19940216,9.9500,10.0000,9.5000,9.5000,9020000,0
1589,IWCITY,D,19940217,9.5000,9.5500,9.1500,9.2000,3350000,0
1589,IWCITY,D,19940218,9.5500,9.6500,9.2000,9.2000,2260000,0
1589,IWCITY,D,19940221,9.3000,9.6500,9.3000,9.6500,1760000,0
1589,IWCITY,D,19940222,9.7000,10.1000,9.6500,9.7000,3370000,0
1589,IWCITY,D,19940223,9.9000,10.5000,9.8000,10.2000,10290000,0
1589,IWCITY,D,19940224,10.8000,11.0000,10.2000,10.3000,16890000,0
1589,IWCITY,D,19940225,10.3000,11.0000,10.1000,11.0000,8400000,0
1589,IWCITY,D,19940228,11.0000,11.0000,10.6000,10.6000,4950000,0
1589,IWCITY,D,19940301,10.7000,10.7000,10.4000,10.5000,1160000,0
1589,IWCITY,D,19940302,10.4000,10.4000,9.9000,10.0000,3080000,0
1589,IWCITY,D,19940303,10.2000,10.3000,9.6000,9.6000,3300000,0
1589,IWCITY,D,19940304,9.7000,9.9000,9.0000,9.4000,8390000,0
1589,IWCITY,D,19940307,9.3000,9.4000,8.9500,9.0000,3230000,0
1589,IWCITY,D,19940308,9.0500,9.4500,8.5000,9.4500,4490000,0
1589,IWCITY,D,19940309,9.3000,9.5000,8.6500,8.6500,3590000,0
1589,IWCITY,D,19940310,8.8000,8.9000,8.6500,8.7500,4630000,0
1589,IWCITY,D,19940311,8.6000,8.9000,8.6000,8.8500,2880000,0
1589,IWCITY,D,19940317,8.8500,8.9000,7.8000,7.8000,11690000,0
1589,IWCITY,D,19940318,7.8000,8.2000,7.7000,8.0500,13440000,0
1589,IWCITY,D,19940321,7.9500,8.1000,6.7500,6.8500,12420000,0
1589,IWCITY,D,19940322,6.7500,7.4000,6.6500,7.1000,11020000,0
1589,IWCITY,D,19940323,7.3000,7.9000,7.1500,7.9000,11870000,0
1589,IWCITY,D,19940324,7.6500,7.9500,7.0000,7.4000,5900000,0
1589,IWCITY,D,19940325,7.2000,7.3000,7.0000,7.3000,6740000,0
1589,IWCITY,D,19940328,7.1000,7.2500,6.8500,7.2500,4020000,0
1589,IWCITY,D,19940329,6.9500,7.4500,6.9000,7.4500,5110000,0
1589,IWCITY,D,19940330,7.2500,7.7000,7.1000,7.5500,6430000,0
1589,IWCITY,D,19940331,7.1000,7.5500,6.9500,7.1000,5270000,0
1589,IWCITY,D,19940401,7.2000,7.2500,7.1500,7.2500,1990000,0
1589,IWCITY,D,19940404,6.8500,7.2500,6.6500,7.1000,2750000,0
1589,IWCITY,D,19940405,6.9000,7.0000,6.8500,7.0000,740000,0
1589,IWCITY,D,19940406,7.1500,7.2500,6.8000,6.8500,5680000,0
1589,IWCITY,D,19940407,6.8000,6.8000,6.6000,6.6500,1570000,0
1589,IWCITY,D,19940408,6.7000,6.7000,6.1500,6.2000,9370000,0
1589,IWCITY,D,19940411,6.2500,6.2500,5.8000,5.9000,5620000,0
1589,IWCITY,D,19940412,5.9000,6.9000,5.9000,6.5500,11030000,0
1589,IWCITY,D,19940413,6.6000,7.1000,6.6000,6.6500,18680000,0
1589,IWCITY,D,19940414,6.6500,7.2000,6.5500,6.9000,11120000,0
1589,IWCITY,D,19940415,7.0000,7.6000,7.0000,7.5500,26380000,0
1589,IWCITY,D,19940418,7.7000,7.8500,7.5000,7.7500,26710000,0
1589,IWCITY,D,19940419,7.7500,8.1500,7.6000,7.6500,31010000,0
1589,IWCITY,D,19940420,7.7500,8.2000,7.6500,8.1500,11990000,0
1589,IWCITY,D,19940421,8.1500,8.6000,8.0500,8.2000,38200000,0
1589,IWCITY,D,19940422,8.4000,8.4500,8.1000,8.1000,12870000,0
1589,IWCITY,D,19940425,8.2000,8.3000,8.0500,8.0500,8940000,0
1589,IWCITY,D,19940426,8.1500,8.2000,7.8500,7.9000,5140000,0
1589,IWCITY,D,19940427,7.9000,8.2000,7.7000,7.8000,22710000,0
1589,IWCITY,D,19940428,7.9000,7.9000,7.5000,7.6000,13280000,0
1589,IWCITY,D,19940429,7.5000,7.6000,7.0500,7.2500,13280000,0
1589,IWCITY,D,19940503,7.1500,7.3000,6.8000,6.8000,15280000,0
1589,IWCITY,D,19940504,6.9500,7.1000,6.4500,6.5000,37850000,0
1589,IWCITY,D,19940505,6.5000,6.6500,6.3500,6.4000,28710000,0
1589,IWCITY,D,19940506,6.4500,6.6000,6.3500,6.4500,21530000,0
1589,IWCITY,D,19940509,6.1500,6.5000,5.8000,5.8000,35040000,0
1589,IWCITY,D,19940510,5.8000,6.2500,5.6500,6.2000,27520000,0
1589,IWCITY,D,19940511,5.9500,6.4000,5.9000,5.9500,20310000,0
1589,IWCITY,D,19940512,5.8500,6.0000,5.8000,5.8500,14950000,0
1589,IWCITY,D,19940513,5.8500,6.1000,5.8500,6.0000,13750000,0
1589,IWCITY,D,19940516,6.0000,6.0000,5.7000,5.7000,9820000,0
1589,IWCITY,D,19940517,5.7000,5.7500,5.5500,5.5500,25580000,0
1589,IWCITY,D,19940518,5.6000,5.8000,5.6000,5.7000,16480000,0
1589,IWCITY,D,19940519,5.7000,5.8000,5.5000,5.5500,11730000,0
1589,IWCITY,D,19940520,5.5500,5.6500,5.4500,5.5000,12170000,0
1589,IWCITY,D,19940523,5.5000,5.6000,5.2000,5.2500,8810000,0
1589,IWCITY,D,19940524,5.2500,5.2500,4.9800,5.0000,25890000,0
1589,IWCITY,D,19940526,5.0000,5.2500,5.0000,5.0500,21800000,0
1589,IWCITY,D,19940527,5.0500,5.2500,5.0500,5.0500,12100000,0
