<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
4723,JAKS,D,20040701,0.6462,0.7431,0.5708,0.7054,92341235,0
4723,JAKS,D,20040702,0.7054,0.7269,0.6838,0.7054,25938530,0
4723,JAKS,D,20040705,0.7054,0.7054,0.6838,0.6946,9838586,0
4723,JAKS,D,20040706,0.7000,0.7808,0.6946,0.7485,38806860,0
4723,JAKS,D,20040707,0.7431,0.8077,0.7431,0.7969,31888817,0
4723,JAKS,D,20040708,0.8023,0.8131,0.7592,0.7646,21796730,0
4723,JAKS,D,20040709,0.7538,0.7808,0.7538,0.7754,10488215,0
4723,JAKS,D,20040712,0.7754,0.7754,0.7162,0.7162,6291258,0
4723,JAKS,D,20040713,0.7162,0.7431,0.7000,0.7269,10224872,0
4723,JAKS,D,20040714,0.7269,0.7377,0.7000,0.7000,5476529,0
4723,JAKS,D,20040715,0.7000,0.7162,0.6892,0.7054,2774572,0
4723,JAKS,D,20040716,0.7054,0.7108,0.6946,0.6946,2690814,0
4723,JAKS,D,20040719,0.7054,0.7108,0.6731,0.6892,3616972,0
4723,JAKS,D,20040720,0.6892,0.6892,0.6677,0.6677,3050915,0
4723,JAKS,D,20040721,0.6785,0.7054,0.6785,0.6946,2428214,0
4723,JAKS,D,20040722,0.6838,0.6892,0.6785,0.6785,1016414,0
4723,JAKS,D,20040723,0.6785,0.7000,0.6677,0.6785,2485786,0
4723,JAKS,D,20040726,0.6785,0.7485,0.6785,0.7377,6384486,0
4723,JAKS,D,20040727,0.7377,0.7754,0.7054,0.7054,9966729,0
4723,JAKS,D,20040728,0.7108,0.7269,0.7054,0.7108,2775500,0
4723,JAKS,D,20040729,0.7108,0.7162,0.7000,0.7108,1396572,0
4723,JAKS,D,20040730,0.7162,0.7162,0.6892,0.6892,1903572,0
4723,JAKS,D,20040802,0.6892,0.6946,0.6515,0.6569,4770443,0
4723,JAKS,D,20040803,0.6677,0.6785,0.6677,0.6785,1257286,0
4723,JAKS,D,20040804,0.6731,0.6785,0.6677,0.6677,293429,0
4723,JAKS,D,20040805,0.6731,0.6946,0.6677,0.6838,2242314,0
4723,JAKS,D,20040806,0.6838,0.6838,0.6569,0.6623,2792772,0
4723,JAKS,D,20040809,0.6623,0.6731,0.6569,0.6677,1996057,0
4723,JAKS,D,20040810,0.6677,0.6731,0.6623,0.6677,1188014,0
4723,JAKS,D,20040811,0.6677,0.6731,0.6408,0.6515,7849958,0
4723,JAKS,D,20040812,0.6462,0.6515,0.6462,0.6462,3255015,0
4723,JAKS,D,20040813,0.6462,0.6785,0.6462,0.6677,3522443,0
4723,JAKS,D,20040816,0.6677,0.6677,0.6569,0.6569,2084643,0
4723,JAKS,D,20040817,0.6623,0.6623,0.6462,0.6569,3274329,0
4723,JAKS,D,20040818,0.6569,0.6569,0.6462,0.6569,1812943,0
4723,JAKS,D,20040819,0.6569,0.6623,0.6515,0.6623,1438172,0
4723,JAKS,D,20040820,0.6623,0.6677,0.6569,0.6569,658171,0
4723,JAKS,D,20040823,0.6623,0.6623,0.6569,0.6569,2269057,0
4723,JAKS,D,20040824,0.6623,0.6623,0.6569,0.6569,594471,0
4723,JAKS,D,20040825,0.6569,0.6623,0.6569,0.6623,323886,0
4723,JAKS,D,20040826,0.6623,0.6731,0.6515,0.6515,7183243,0
4723,JAKS,D,20040827,0.6569,0.6623,0.6569,0.6569,194257,0
4723,JAKS,D,20040830,0.6569,0.6623,0.6569,0.6569,1028672,0
4723,JAKS,D,20040901,0.6569,0.6623,0.6569,0.6623,275971,0
4723,JAKS,D,20040902,0.6569,0.6731,0.6569,0.6623,2335729,0
4723,JAKS,D,20040903,0.6623,0.7108,0.6623,0.6838,5398715,0
4723,JAKS,D,20040906,0.6838,0.6838,0.6677,0.6838,1150500,0
4723,JAKS,D,20040907,0.6785,0.6785,0.6677,0.6677,516471,0
4723,JAKS,D,20040908,0.6677,0.6946,0.6623,0.6785,6957600,0
4723,JAKS,D,20040909,0.6785,0.6785,0.6515,0.6569,4783629,0
4723,JAKS,D,20040910,0.6515,0.6838,0.6515,0.6731,7890443,0
4723,JAKS,D,20040913,0.6785,0.6838,0.6731,0.6785,1934957,0
4723,JAKS,D,20040914,0.6785,0.6892,0.6785,0.6892,2129957,0
4723,JAKS,D,20040915,0.6892,0.6892,0.6677,0.6677,1934772,0
4723,JAKS,D,20040916,0.6731,0.6731,0.6623,0.6677,1849343,0
4723,JAKS,D,20040917,0.6785,0.6838,0.6731,0.6785,621586,0
4723,JAKS,D,20040920,0.6838,0.7054,0.6838,0.6946,3616229,0
4723,JAKS,D,20040921,0.6946,0.7000,0.6946,0.6946,1222929,0
4723,JAKS,D,20040922,0.6946,0.7000,0.6892,0.7000,948629,0
4723,JAKS,D,20040923,0.6838,0.6892,0.6838,0.6892,238086,0
4723,JAKS,D,20040924,0.6838,0.6892,0.6785,0.6785,1693157,0
4723,JAKS,D,20040927,0.6785,0.6785,0.6677,0.6731,2129400,0
4723,JAKS,D,20040928,0.6785,0.7000,0.6731,0.6946,3380929,0
4723,JAKS,D,20040929,0.6946,0.7162,0.6892,0.7000,8646115,0
4723,JAKS,D,20040930,0.7000,0.7054,0.6946,0.7000,1141214,0
4723,JAKS,D,20041001,0.7000,0.7108,0.7000,0.7054,2523857,0
4723,JAKS,D,20041004,0.7108,0.7485,0.7108,0.7323,6944972,0
4723,JAKS,D,20041005,0.7377,0.8023,0.7215,0.7700,18025430,0
4723,JAKS,D,20041006,0.7808,0.7808,0.7377,0.7431,6268415,0
4723,JAKS,D,20041007,0.7431,0.7485,0.7269,0.7323,1774872,0
4723,JAKS,D,20041008,0.7269,0.7538,0.7162,0.7377,3111086,0
4723,JAKS,D,20041011,0.7269,0.7323,0.7162,0.7269,2206472,0
